gene,effect_size,effect_size_class
FAM87B,0.00021573376,low
LINC00115,0.025128539,low
FAM41C,0.0098380668,low
SAMD11,0.006802734044,low
NOC2L,0.07702927999999998,low
KLHL17,0.0018705445000000002,low
PLEKHN1,0.0123755548,low
HES4,0.210545188,low
ISG15,0.67175408,high
AGRN,0.0056757155,low
RNF223,0.0010642179,low
C1orf159,0.005399505000000001,low
TTLL10,0.00125162061,low
TNFRSF18,0.15931207000000003,low
TNFRSF4,0.10537255499999999,low
SDF4,0.11928064,low
B3GALT6,0.04349478699999999,low
UBE2J2,0.026809470000000002,low
SCNN1D,0.00120977,low
ACAP3,0.023978908,low
PUSL1,0.029594585,low
TAS1R3,0.0278011749,low
DVL1,0.0012365587000000003,low
MXRA8,0.00256381579,low
AURKAIP1,0.27206275999999996,medium
CCNL2,0.11229515999999999,low
MRPL20,0.11961930000000004,low
ANKRD65,0.0006927223600000001,low
VWA1,0.00218766499,low
ATAD3C,0.0381772773,low
ATAD3B,0.032220834999999996,low
ATAD3A,0.014667409999999999,low
SSU72,0.046571379999999996,low
AL645728.1,0.0069514368,low
MIB2,0.047123269999999995,low
MMP23B,0.0073914985,low
CDK11B,0.125628786,low
SLC35E2B,0.042499064,low
CDK11A,0.11553980600000001,low
NADK,0.12086845,low
GNB1,0.0630495,low
TMEM52,0.023586635699999997,low
GABRD,0.0001230479,low
PRKCZ,0.03080375,low
SKI,0.028488712,low
MORN1,0.0098119796,low
RER1,0.16527983000000002,low
PEX10,0.023572252000000002,low
PLCH2,0.020207484,low
PANK4,0.038432365999999996,low
HES5,0.00017214359,low
TNFRSF14,0.43765497,medium
MMEL1,0.0006264058599999999,low
TTC34,0.0007503583000000001,low
PRDM16,0.00010238798,low
ARHGEF16,0.0015217210600000002,low
MEGF6,0.016266980799999997,low
TPRG1L,0.011435112,low
WRAP73,0.039333766000000006,low
TP73,0.00474389995,low
SMIM1,0.03349688000000001,low
LRRC47,0.027449718999999997,low
