gene,effect_size,effect_size_class
FAM87B,0.00086041976,low
LINC00115,0.0240710697,low
FAM41C,0.012540271,low
SAMD11,0.0010829499,low
NOC2L,0.08011645,low
KLHL17,0.013508284999999998,low
PLEKHN1,0.010889083599999998,low
HES4,0.58924061,high
ISG15,0.7557513299999999,high
AGRN,0.010091498099999999,low
RNF223,0.0006565011,low
C1orf159,0.015195611999999999,low
TTLL10,0.0019842689399999997,low
TNFRSF18,0.23550199,low
TNFRSF4,0.37887233,medium
SDF4,0.35051074000000004,medium
B3GALT6,0.051797141000000005,low
UBE2J2,0.06785675,low
SCNN1D,0.0015101535299999998,low
ACAP3,0.03470603400000001,low
PUSL1,0.08049630199999999,low
TAS1R3,0.0006941482,low
DVL1,0.004933766999999999,low
MXRA8,0.0023621795500000002,low
AURKAIP1,0.07402541999999995,low
CCNL2,0.18731360000000002,low
MRPL20,0.12498760000000003,low
ANKRD65,0.0014288638,low
VWA1,0.00224386427,low
ATAD3C,0.0069472113,low
ATAD3B,0.041929672,low
ATAD3A,0.023702394,low
SSU72,0.09664424000000005,low
AL645728.1,0.005014286999999999,low
MIB2,0.05508943000000001,low
MMP23B,0.0022141922,low
CDK11B,0.124206845,low
SLC35E2B,0.08688736,low
CDK11A,0.165863737,low
NADK,0.07669117,low
GNB1,0.018011339999999987,low
TMEM52,0.00333039696,low
GABRD,0.0005245685,low
PRKCZ,0.061079887,low
SKI,0.05396591,low
MORN1,0.007184567599999999,low
RER1,0.09961633999999997,low
PEX10,0.025566503,low
PLCH2,0.011955106999999998,low
PANK4,0.060281767,low
HES5,4.3817356e-05,low
TNFRSF14,0.41327900000000006,medium
MMEL1,0.0025517708000000004,low
TTC34,0.0013264549999999998,low
PRDM16,9.159251e-05,low
ARHGEF16,0.00052454014,low
MEGF6,0.020654454,low
TPRG1L,0.013172541,low
WRAP73,0.06784265,low
TP73,0.0014274958,low
SMIM1,0.007883215,low
LRRC47,0.051716685,low
CEP104,0.06275771,low
DFFB,0.010498681,low
C1orf174,0.040632085,low
AJAP1,0.00042905868,low
NPHP4,0.019829641500000002,low
KCNAB2,0.17714157000000003,low
RPL22,0.3002045999999998,medium
RNF207,0.011138425600000001,low
ICMT,0.03879889599999999,low
LINC00337,0.0016203758,low
GPR153,0.00110684732,low
ACOT7,0.03147371000000001,low
HES2,0.0027504556,low
ESPN,0.0031087351,low
TNFRSF25,0.27624336,medium
PLEKHG5,0.0030509313000000003,low
NOL9,0.046815887,low
TAS1R1,0.00011012459,low
ZBTB48,0.053729335,low
KLHL21,0.057377386,low
PHF13,0.078960117,low
THAP3,0.023507893000000002,low
DNAJC11,0.048616627999999995,low
CAMTA1,0.07758516999999998,low
VAMP3,0.07156871999999999,low
PER3,0.012723116,low
UTS2,0.04375927,low
TNFRSF9,0.05914333100000001,low
PARK7,0.05822331000000003,low
ERRFI1,0.046960163,low
SLC45A1,0.0034415299999999995,low
RERE,0.135782415,low
ENO1,0.29007616,medium
ENO1-AS1,0.00651772,low
CA6,0.0017880206000000002,low
SLC2A5,0.0017305574,low
GPR157,0.004807002,low
H6PD,0.026066697,low
SPSB1,0.055488465,low
SLC25A33,0.09475337,low
TMEM201,0.008672808,low
PIK3CD,0.21267951000000002,low
CLSTN1,0.08685617999999999,low
CTNNBIP1,0.035327042,low
LZIC,0.07059146000000001,low
NMNAT1,0.006130245999999999,low
RBP7,0.0010290069,low
UBE4B,0.041129694,low
KIF1B,0.019755573,low
PGD,0.135275333,low
CORT,0.00071692455,low
DFFA,0.02188870300000001,low
PEX14,0.023987536000000004,low
CASZ1,0.0216888453,low
C1orf127,0.00010324894,low
TARDBP,0.12279274000000001,low
MASP2,0.00068500254,low
SRM,0.12394671000000002,low
EXOSC10,0.112428985,low
MTOR,0.06732869,low
ANGPTL7,0.0,low
UBIAD1,0.05978385500000001,low
FBXO2,0.0123875892,low
FBXO44,0.079697094,low
FBXO6,0.030163778000000002,low
MAD2L2,0.07273863599999998,low
DRAXIN,0.0066228602000000004,low
AGTRAP,0.054506139999999995,low
C1orf167,0.0006510248,low
MTHFR,0.019135453,low
CLCN6,0.020618977599999998,low
KIAA2013,0.024224100999999998,low
PLOD1,0.013364965,low
MFN2,0.05596780700000001,low
MIIP,0.057973646000000004,low
TNFRSF8,0.009671581700000001,low
TNFRSF1B,0.58527801,high
VPS13D,0.089909447,low
DHRS3,0.0586004,low
HNRNPCL1,0.00084379787,low
PDPN,0.0012099069,low
PRDM2,0.13479016000000002,low
KAZN,0.00062458103,low
TMEM51-AS1,0.0004298634,low
TMEM51,0.00079886067,low
FHAD1,0.00068115524,low
EFHD2,0.15810449,low
CTRC,0.00042292927,low
CASP9,0.075834584,low
DNAJC16,0.021275381000000003,low
AGMAT,0.022390056,low
DDI2,0.052554834,low
PLEKHM2,0.017123712,low
SLC25A34,0.00131223185,low
TMEM82,0.00011855863,low
FBLIM1,0.008197496200000001,low
SPEN,0.13179580400000002,low
ZBTB17,0.056533557,low
HSPB7,7.278284e-05,low
CLCNKA,0.0,low
CLCNKB,0.0,low
EPHA2,0.0019403159,low
ARHGEF19,0.023176187999999997,low
FBXO42,0.07241687,low
SZRD1,0.18865815,low
SPATA21,0.0011828855,low
NECAP2,0.1488449,low
NBPF1,0.017217189,low
CROCC,0.018004680000000002,low
MFAP2,0.0005529981,low
