gene,effect_size,effect_size_class
FAM87B,0.0011709997,low
LINC00115,0.06276103100000001,low
FAM41C,0.012139624,low
SAMD11,0.023838744,low
NOC2L,0.05332006,low
KLHL17,0.011551494,low
PLEKHN1,0.005670085,low
HES4,0.20674779999999998,low
ISG15,0.4082732000000001,medium
AGRN,0.20593612999999997,low
RNF223,0.00015165586,low
C1orf159,0.020744712000000002,low
TTLL10,0.023354182,low
TNFRSF18,0.06093164,low
TNFRSF4,0.15761143,low
SDF4,0.10265518000000001,low
B3GALT6,0.026032745000000003,low
UBE2J2,0.06939995999999998,low
SCNN1D,0.0074355463,low
ACAP3,0.033852256000000004,low
PUSL1,0.019216315999999997,low
TAS1R3,0.0012619016,low
DVL1,0.07125132,low
MXRA8,0.018968344,low
AURKAIP1,0.26016254000000005,medium
CCNL2,0.31223374000000004,medium
MRPL20,0.19542241000000005,low
ANKRD65,0.213296946,low
VWA1,0.5220800999999999,high
ATAD3C,0.038012385,low
ATAD3B,0.033762855999999994,low
ATAD3A,0.054092446,low
SSU72,0.24461367999999994,low
AL645728.1,0.029824879000000002,low
MIB2,0.05067999399999999,low
MMP23B,0.008816742,low
CDK11B,0.25490183,medium
SLC35E2B,0.0925697,low
CDK11A,0.124346552,low
NADK,0.021108029999999986,low
GNB1,0.053224940000000054,low
TMEM52,0.0055707144,low
GABRD,0.085443514,low
PRKCZ,0.047186041,low
SKI,0.16541144000000002,low
MORN1,0.013094593,low
RER1,0.14501791999999997,low
PEX10,0.009307629999999997,low
PLCH2,0.0001974543,low
PANK4,0.030869910999999996,low
HES5,0.055486817,low
TNFRSF14,0.28814389999999995,medium
MMEL1,0.028302414,low
TTC34,0.0014917379,low
PRDM16,0.079036764,low
ARHGEF16,0.004364325,low
MEGF6,0.050346415,low
TPRG1L,0.074675626,low
WRAP73,0.0975651,low
TP73,0.0008650032,low
SMIM1,0.0050132154,low
LRRC47,0.056206279999999983,low
CEP104,0.03632125,low
DFFB,0.006288462999999998,low
C1orf174,0.027457141000000004,low
AJAP1,0.0033770965,low
NPHP4,0.049788276,low
KCNAB2,0.041402669,low
RPL22,0.4470040000000002,medium
RNF207,0.036533859,low
ICMT,0.24265951999999996,low
LINC00337,0.0016088018,low
GPR153,0.0029642931,low
ACOT7,0.169692545,low
HES2,0.0047489856,low
ESPN,0.002559525,low
TNFRSF25,0.05680806,low
PLEKHG5,0.036152032,low
NOL9,0.18908472999999998,low
TAS1R1,5.8975693e-05,low
ZBTB48,0.103411215,low
KLHL21,0.03629946,low
PHF13,0.0656403,low
THAP3,0.09327399,low
DNAJC11,0.06363612399999999,low
CAMTA1,0.11896425,low
VAMP3,0.22970959999999996,low
