gene,effect_size,effect_size_class
FAM87B,0.00086257956,low
LINC00115,0.071691874,low
FAM41C,0.007423398,low
SAMD11,0.0059201347,low
NOC2L,0.02311559000000002,low
KLHL17,0.0346993007,low
PLEKHN1,0.025718309199999997,low
HES4,0.1194386,low
ISG15,0.47035928000000005,medium
AGRN,0.234034502,low
RNF223,0.415253405,medium
C1orf159,0.141252147,low
TTLL10,0.0103426005,low
TNFRSF18,0.0028541039,low
TNFRSF4,0.002068118,low
SDF4,0.06629848000000005,low
B3GALT6,0.0188765,low
UBE2J2,0.02866093,low
SCNN1D,0.0137491841,low
ACAP3,0.20608527,low
PUSL1,0.028665511999999997,low
TAS1R3,0.13810998900000002,low
DVL1,0.08553368000000001,low
MXRA8,0.08614690436,low
AURKAIP1,0.49647169999999996,medium
CCNL2,0.46778471000000005,medium
MRPL20,0.43495168000000006,medium
ANKRD65,0.00311675761,low
VWA1,0.059824117,low
ATAD3C,0.0057514279,low
ATAD3B,0.18402049999999998,low
ATAD3A,0.029909414999999995,low
SSU72,0.30052264999999995,medium
AL645728.1,0.104037007,low
MIB2,0.41449055999999995,medium
MMP23B,0.006253700499999999,low
CDK11B,0.24595954999999997,low
SLC35E2B,0.09500419999999998,low
CDK11A,0.38977223,medium
NADK,0.0783121,low
GNB1,0.19201838,low
TMEM52,0.030445376999999996,low
GABRD,0.00028962607,low
PRKCZ,0.13422741,low
SKI,0.019605096,low
MORN1,0.028192966,low
RER1,0.36808098,medium
PEX10,0.06820727800000001,low
PLCH2,0.007310462700000001,low
PANK4,0.077681497,low
HES5,0.013741831,low
TNFRSF14,0.3538484,medium
MMEL1,0.045422166,low
TTC34,0.0039657843,low
PRDM16,0.003781141,low
ARHGEF16,0.21729301,low
MEGF6,0.130932053,low
TPRG1L,0.09999746000000001,low
WRAP73,0.011960711000000006,low
TP73,0.000587813,low
SMIM1,0.055984681999999994,low
LRRC47,0.046431150000000004,low
CEP104,0.05167217999999999,low
DFFB,0.002947822000000001,low
C1orf174,0.033359485999999994,low
AJAP1,0.000288545,low
NPHP4,0.042715471000000005,low
KCNAB2,0.0044454313,low
RPL22,1.0408952,high
RNF207,0.07669234,low
ICMT,0.082492922,low
LINC00337,0.00046630399999999996,low
GPR153,0.009753503,low
ACOT7,0.07929844999999999,low
HES2,0.05315072,low
ESPN,0.19575743,low
TNFRSF25,0.33164979,medium
PLEKHG5,0.070864812,low
NOL9,0.023711454999999992,low
TAS1R1,0.01023102823,low
ZBTB48,0.19851083700000002,low
KLHL21,0.09717050499999999,low
PHF13,0.017206329,low
THAP3,0.013811803000000004,low
DNAJC11,0.11214743999999999,low
CAMTA1,0.41253069000000003,medium
VAMP3,0.13493719,low
PER3,0.040666541,low
UTS2,0.002348752,low
TNFRSF9,0.00119535972,low
PARK7,0.6986421500000001,high
ERRFI1,0.09855641999999998,low
SLC45A1,0.00152326157,low
RERE,0.37253367000000004,medium
ENO1,0.8143901600000001,high
ENO1-AS1,0.0157326208,low
CA6,0.0,low
SLC2A5,0.025164353,low
GPR157,0.03725712,low
H6PD,0.017282209999999992,low
SPSB1,0.044522862999999996,low
SLC25A33,0.12745642000000001,low
TMEM201,0.0070973519999999995,low
PIK3CD,0.0039532039000000005,low
CLSTN1,0.04854096999999999,low
CTNNBIP1,0.0831428,low
LZIC,0.073986705,low
NMNAT1,0.015510298000000006,low
RBP7,0.0032132096,low
UBE4B,0.024240327,low
KIF1B,0.08422674000000001,low
PGD,0.09051125000000002,low
CORT,0.0031076871,low
DFFA,0.049849199999999996,low
PEX14,0.021583436000000004,low
CASZ1,0.13527117500000002,low
C1orf127,0.0016029121000000002,low
TARDBP,0.04047061000000002,low
MASP2,0.00044806718799999997,low
SRM,0.15204089,low
EXOSC10,0.136455404,low
MTOR,0.09553629,low
ANGPTL7,0.00019273203,low
UBIAD1,0.008716356000000001,low
FBXO2,0.0647988207,low
FBXO44,0.012997458500000001,low
FBXO6,0.040144373,low
MAD2L2,0.023411238,low
DRAXIN,0.00260647695,low
AGTRAP,0.055271360000000005,low
C1orf167,0.00579154346,low
MTHFR,0.11142551,low
CLCN6,0.044853049000000006,low
KIAA2013,0.170116025,low
PLOD1,0.020998283,low
MFN2,0.03192877999999999,low
MIIP,0.05315215000000001,low
TNFRSF8,0.00035248103,low
TNFRSF1B,0.0234728314,low
VPS13D,0.09586521,low
DHRS3,0.07755271000000001,low
HNRNPCL1,0.00014103024,low
PDPN,0.00124373324,low
PRDM2,0.05449309499999999,low
KAZN,0.041523305999999996,low
TMEM51-AS1,0.043531203600000005,low
TMEM51,0.054751706,low
FHAD1,0.00436842,low
EFHD2,0.17406738,low
CTRC,0.00192154006,low
CASP9,0.10894747200000002,low
DNAJC16,0.0074996369999999965,low
AGMAT,0.05700428799999999,low
DDI2,0.020821653999999995,low
PLEKHM2,0.025691052,low
SLC25A34,0.030756769999999996,low
TMEM82,0.04612698,low
FBLIM1,0.28081554,medium
SPEN,0.273982266,medium
ZBTB17,0.055967353,low
HSPB7,0.0007168432,low
CLCNKA,0.005389250323,low
CLCNKB,0.00190045757,low
EPHA2,0.33420334,medium
ARHGEF19,0.031493400000000005,low
FBXO42,0.05582490700000001,low
SZRD1,0.09844358500000001,low
SPATA21,0.0033789431,low
NECAP2,0.035063915000000015,low
NBPF1,0.0778041,low
CROCC,0.044927563000000004,low
MFAP2,0.120088868,low
ATP13A2,0.046782894000000005,low
SDHB,0.46635158,medium
PADI2,0.19402005,low
PADI1,0.0010982943999999998,low
PADI4,0.0005490387,low
PADI6,0.00017125624,low
RCC2,0.04900966,low
ARHGEF10L,0.29353094,medium
ACTL8,0.00137056391,low
IGSF21,0.06406539,low
KLHDC7A,0.0329150814,low
ALDH4A1,0.009907539600000001,low
IFFO2,0.013600468,low
UBR4,0.29342836,medium
EMC1,0.012032195000000002,low
MRTO4,0.07717162,low
AKR7A3,0.18503210000000003,low
AKR7A2,0.31149383999999997,medium
CAPZB,0.4248331000000001,medium
NBL1,0.5516899000000001,high
TMCO4,0.06308076900000001,low
RNF186,0.19430441999999998,low
OTUD3,0.031783424000000005,low
PLA2G2A,1.27553381,high
PLA2G5,7.4081865e-05,low
PLA2G2D,0.00049732625,low
PLA2G2F,0.0007289795,low
PLA2G2C,0.00023724674,low
UBXN10,0.0156260636,low
CAMK2N1,0.3792436,medium
MUL1,0.029485770999999997,low
CDA,0.201191745,low
PINK1,0.07981603999999999,low
PINK1-AS,0.0006499794999999999,low
DDOST,0.31679806499999996,medium
KIF17,0.001106606824,low
HP1BP3,0.23306211999999998,low
EIF4G3,0.10747972,low
ECE1,0.04008440999999999,low
NBPF3,0.0051402586,low
ALPL,0.00266869372,low
RAP1GAP,0.125471877,low
USP48,0.029926005000000006,low
LDLRAD2,0.0018921474200000001,low
HSPG2,0.08864996,low
CELA3B,0.0202344115,low
CELA3A,0.0086649125,low
CDC42,0.50949816,high
WNT4,0.0070063328,low
ZBTB40,0.046268296,low
C1QA,0.011293902499999998,low
C1QC,0.0152321815,low
C1QB,0.007894121,low
EPHB2,0.09585429000000001,low
KDM1A,0.03318437000000002,low
LUZP1,0.047815899999999995,low
HTR1D,0.0008856446499999999,low
HNRNPR,0.20809961,low
ZNF436,0.015118927,low
TCEA3,0.12696854000000002,low
ASAP3,0.032193847,low
E2F2,0.020223163,low
ID3,0.41144495000000003,medium
MDS2,0.0002060884,low
RPL11,1.4818958999999998,high
PITHD1,0.044710009999999994,low
LYPLA2,0.09275407999999999,low
GALE,0.22346533999999996,low
HMGCL,0.18197711,low
FUCA1,0.27927348399999996,medium
CNR2,0.0006322079800000001,low
PNRC2,0.1975106,low
SRSF10,0.52830541,high
MYOM3,0.0264278144,low
IL22RA1,0.020295197,low
IFNLR1,0.012151032999999999,low
GRHL3,0.00224614852,low
STPG1,0.019047983000000004,low
NIPAL3,0.009227209,low
RCAN3,0.029183486,low
NCMAP,0.070494369,low
SRRM1,0.09452992999999998,low
CLIC4,0.07558888600000001,low
RUNX3,0.0010028092,low
SYF2,0.21610205999999998,low
RHD,0.0010667858,low
TMEM50A,0.361937,medium
RHCE,0.05046298395,low
LDLRAP1,0.028223615999999993,low
MAN1C1,0.007791414100000001,low
MTFR1L,0.08510707,low
AUNIP,0.0019715666000000003,low
PAQR7,0.0138751386,low
STMN1,0.37185816,medium
PAFAH2,0.04393133900000001,low
SLC30A2,0.026250645000000003,low
TRIM63,0.027405696,low
PDIK1L,0.017763545,low
FAM110D,0.00050063044,low
ZNF593,0.15771154999999998,low
CNKSR1,0.22883704,low
CEP85,0.04184486,low
SH3BGRL3,0.9389918,high
UBXN11,0.103401283,low
CD52,0.0195874063,low
ZNF683,0.0012229941,low
LIN28A,0.00029353216,low
DHDDS,0.07077322,low
HMGN2,0.5128764,high
RPS6KA1,0.026200219999999996,low
ARID1A,0.011022349999999986,low
PIGV,0.018333286000000004,low
