gene,effect_size,effect_size_class
FAM87B,0.001521861,low
LINC00115,0.046501124399999996,low
FAM41C,0.029226342,low
SAMD11,0.029940505,low
NOC2L,0.06075852000000001,low
KLHL17,0.010527780499999998,low
PLEKHN1,0.0565472274,low
HES4,0.6389666129999999,high
ISG15,0.8756653000000001,high
AGRN,0.008970993,low
RNF223,0.0010527803,low
C1orf159,0.029498807000000002,low
TTLL10,0.0172420806,low
TNFRSF18,0.470075,medium
TNFRSF4,0.38779245,medium
SDF4,0.27772467,medium
B3GALT6,0.06013651499999999,low
UBE2J2,0.06147269999999999,low
SCNN1D,0.0026424076,low
ACAP3,0.019673204,low
PUSL1,0.06336103099999998,low
TAS1R3,0.003163102,low
DVL1,0.0159049626,low
MXRA8,0.002316467,low
AURKAIP1,0.14033074,low
CCNL2,0.14083787599999997,low
MRPL20,0.12667452000000007,low
ANKRD65,0.004380443,low
VWA1,0.0025075616,low
ATAD3C,0.014796842,low
ATAD3B,0.031020502000000002,low
ATAD3A,0.056565115,low
SSU72,0.11562659999999997,low
AL645728.1,0.020581776000000003,low
MIB2,0.17814140000000003,low
MMP23B,0.10875167700000002,low
CDK11B,0.131314704,low
SLC35E2B,0.03690604,low
CDK11A,0.128096985,low
NADK,0.08421383,low
GNB1,0.06786471,low
TMEM52,0.006398844,low
GABRD,0.0,low
PRKCZ,0.064203132,low
SKI,0.09485343,low
MORN1,0.008726818,low
RER1,0.10857240000000001,low
PEX10,0.028488285,low
PLCH2,0.024102075,low
PANK4,0.056384912999999995,low
HES5,0.00087184575,low
TNFRSF14,0.22890496999999999,low
MMEL1,0.004256691,low
TTC34,0.008331034,low
PRDM16,0.0045358306,low
ARHGEF16,0.002144986,low
MEGF6,0.01122029,low
TPRG1L,0.019281767,low
WRAP73,0.036617583999999995,low
TP73,0.0019299362,low
SMIM1,0.031715321,low
LRRC47,0.11396818,low
CEP104,0.047404115,low
DFFB,0.021843190999999998,low
C1orf174,0.07459495,low
AJAP1,0.008160039,low
NPHP4,0.0133600718,low
KCNAB2,0.16362274000000002,low
RPL22,0.2766149000000002,medium
RNF207,0.0428647106,low
ICMT,0.037219751,low
LINC00337,0.0062080636,low
GPR153,0.0169758962,low
ACOT7,0.07047393399999999,low
HES2,0.004950365,low
ESPN,0.058217384,low
TNFRSF25,0.53730991,high
PLEKHG5,0.008727036,low
NOL9,0.035318051,low
TAS1R1,0.0,low
ZBTB48,0.060599007999999996,low
KLHL21,0.076136241,low
PHF13,0.045742262,low
THAP3,0.040329734,low
DNAJC11,0.0480782645,low
CAMTA1,0.16558736,low
VAMP3,0.08704491,low
PER3,0.003528443000000001,low
UTS2,0.10456693,low
TNFRSF9,0.011437442999999999,low
PARK7,0.08355230000000002,low
ERRFI1,0.039446771,low
SLC45A1,0.001846737,low
RERE,0.12275665,low
ENO1,0.35710374,medium
ENO1-AS1,0.0020528862999999995,low
CA6,0.00096520496,low
SLC2A5,0.0025103495,low
GPR157,0.008171475599999999,low
H6PD,0.050259904,low
SPSB1,0.0648595,low
SLC25A33,0.17628438500000002,low
TMEM201,0.014527050299999998,low
PIK3CD,0.22015461,low
CLSTN1,0.0813159,low
CTNNBIP1,0.07556683,low
LZIC,0.068169645,low
NMNAT1,0.014339511000000001,low
RBP7,0.0,low
UBE4B,0.06939708800000001,low
KIF1B,0.022142555,low
PGD,0.23044898,low
CORT,0.00027278703,low
DFFA,0.03590472,low
PEX14,0.021525219,low
CASZ1,0.0712047233,low
C1orf127,0.001958891,low
TARDBP,0.10655618,low
MASP2,0.0,low
SRM,0.09139217,low
EXOSC10,0.12330284799999999,low
MTOR,0.102678051,low
ANGPTL7,0.0,low
UBIAD1,0.047446888000000007,low
FBXO2,0.038488891000000004,low
FBXO44,0.06789822,low
FBXO6,0.14702271,low
MAD2L2,0.08004637,low
DRAXIN,0.0134875225,low
AGTRAP,0.19856383000000002,low
C1orf167,0.0,low
MTHFR,0.024460759999999998,low
CLCN6,0.019747054,low
KIAA2013,0.060498281,low
PLOD1,0.028617108000000002,low
MFN2,0.039926157,low
MIIP,0.061013979999999995,low
TNFRSF8,0.0032390768,low
TNFRSF1B,0.77007008,high
VPS13D,0.084089134,low
DHRS3,0.34095326,medium
HNRNPCL1,0.0014546376,low
PDPN,0.00045397622,low
PRDM2,0.15356642,low
KAZN,0.0058615697,low
TMEM51-AS1,0.0,low
TMEM51,0.0018190022,low
FHAD1,0.007594436,low
EFHD2,0.9436095,high
CTRC,0.0035479583,low
CASP9,0.09640686,low
DNAJC16,0.016720482999999998,low
AGMAT,0.014272558099999999,low
DDI2,0.03722718,low
PLEKHM2,0.031188526999999997,low
SLC25A34,0.0013763593,low
TMEM82,0.0,low
FBLIM1,0.0069552412,low
SPEN,0.19037395000000001,low
ZBTB17,0.04298267100000001,low
HSPB7,0.0,low
CLCNKA,0.0,low
CLCNKB,0.0,low
EPHA2,0.0021413867,low
ARHGEF19,0.029321121999999998,low
FBXO42,0.07165677000000001,low
SZRD1,0.22688866000000002,low
SPATA21,0.0017075443,low
NECAP2,0.11682888,low
NBPF1,0.017843749,low
CROCC,0.041370174999999995,low
MFAP2,0.004119061,low
ATP13A2,0.0440151,low
SDHB,0.09929093,low
PADI2,0.0013279022,low
PADI1,0.0,low
PADI4,0.014462303,low
PADI6,0.0047061997,low
RCC2,0.060592150000000004,low
ARHGEF10L,0.0022316056,low
ACTL8,0.0,low
IGSF21,0.0,low
KLHDC7A,0.0,low
ALDH4A1,0.0098687836,low
IFFO2,0.073636873,low
UBR4,0.202425196,low
EMC1,0.03217786499999999,low
MRTO4,0.04039823399999999,low
AKR7A3,0.0014000668,low
AKR7A2,0.04264769999999998,low
CAPZB,0.3127118,medium
NBL1,0.361800964,medium
TMCO4,0.029310245,low
RNF186,0.0019485863,low
OTUD3,0.014749233,low
PLA2G2A,0.009636085,low
PLA2G5,0.0,low
PLA2G2D,0.002858771,low
PLA2G2F,0.0,low
PLA2G2C,0.0,low
UBXN10,0.0041411532,low
CAMK2N1,0.010383468,low
MUL1,0.018811513999999994,low
CDA,0.0081392957,low
PINK1,0.0416467,low
PINK1-AS,0.0070266407,low
DDOST,0.39141257,medium
KIF17,0.00080170267,low
HP1BP3,0.34940204,medium
EIF4G3,0.066753755,low
ECE1,0.169502,low
NBPF3,0.007951996000000001,low
ALPL,0.0035328222,low
RAP1GAP,0.0010466133,low
USP48,0.08120825,low
LDLRAD2,0.0038627493,low
HSPG2,0.00452933,low
CELA3B,0.0,low
CELA3A,0.0,low
CDC42,0.26821399999999995,medium
WNT4,0.0,low
ZBTB40,0.036017096,low
C1QA,0.011692769999999998,low
C1QC,0.0071771662000000005,low
C1QB,0.017650908,low
EPHB2,0.0042431518,low
KDM1A,0.06642620299999999,low
LUZP1,0.10561989000000001,low
HTR1D,0.0,low
HNRNPR,0.30484584,medium
ZNF436,0.018478451200000003,low
TCEA3,0.0248389016,low
ASAP3,0.0003689778,low
E2F2,0.0005685608,low
ID3,0.14183799,low
MDS2,0.002583431,low
RPL11,0.2331768999999997,low
PITHD1,0.20732900999999998,low
LYPLA2,0.09565668000000002,low
GALE,0.059556223000000005,low
HMGCL,0.05107832999999999,low
FUCA1,0.10041646000000001,low
CNR2,0.018127156,low
PNRC2,0.788576602,high
SRSF10,0.75551716,high
MYOM3,0.0003676893,low
IL22RA1,0.0,low
IFNLR1,0.0034258210000000003,low
GRHL3,0.0,low
STPG1,0.0086124964,low
NIPAL3,0.055537313,low
RCAN3,0.139761523,low
NCMAP,0.0046058378,low
SRRM1,0.4455241,medium
CLIC4,0.0118527344,low
RUNX3,0.1968198,low
SYF2,0.13135278,low
RHD,0.0037841934,low
TMEM50A,0.30930424,medium
RHCE,0.0053828056,low
LDLRAP1,0.020011130000000002,low
MAN1C1,0.019084043000000002,low
MTFR1L,0.03283864200000001,low
AUNIP,0.00058525486,low
PAQR7,0.0074991204999999995,low
STMN1,0.18121121999999998,low
PAFAH2,0.040253577,low
SLC30A2,0.0014133882,low
TRIM63,0.0,low
PDIK1L,0.021654258,low
FAM110D,0.0,low
ZNF593,0.09353379,low
CNKSR1,0.007887808,low
CEP85,0.010074254,low
SH3BGRL3,0.4844815999999996,medium
UBXN11,0.045221518,low
CD52,0.6968931,high
ZNF683,0.05356029999999999,low
LIN28A,0.0,low
DHDDS,0.032114987000000005,low
HMGN2,0.335982,medium
RPS6KA1,0.10851516999999997,low
ARID1A,0.11237803999999998,low
PIGV,0.05831302,low
ZDHHC18,0.010022453,low
SFN,0.006492254,low
GPN2,0.045487654999999995,low
GPATCH3,0.045744908,low
NUDC,0.19900789000000002,low
NR0B2,0.00036360722,low
TRNP1,0.0012375955,low
SLC9A1,0.071275348,low
WDTC1,0.05539617000000001,low
TMEM222,0.05970199999999999,low
SYTL1,0.16422414000000007,low
MAP3K6,0.020820742,low
FCN3,0.001571764,low
CD164L2,0.0,low
GPR3,0.003530051,low
WASF2,0.11773920000000004,low
AHDC1,0.055066197000000004,low
FGR,0.37523177,medium
IFI6,0.66366762,high
FAM76A,0.020795318999999993,low
STX12,0.06969865,low
PPP1R8,0.046511315,low
THEMIS2,0.19215659000000002,low
RPA2,0.14746727000000004,low
SMPDL3B,0.005532314,low
XKR8,0.030389215999999997,low
EYA3,0.056020636,low
PTAFR,0.0068164844,low
DNAJC8,0.09133665000000002,low
SESN2,0.10970248600000002,low
MED18,0.0080132415,low
PHACTR4,0.05931796,low
RCC1,0.043693669,low
TRNAU1AP,0.06373001,low
SNHG12,0.624411486,high
