gene,effect_size,effect_size_class
FAM87B,0.007969799,low
LINC00115,0.06455751400000001,low
FAM41C,0.0243905882,low
SAMD11,0.17105468,low
NOC2L,0.07599312999999999,low
KLHL17,0.015372985,low
PLEKHN1,0.028867076399999997,low
HES4,0.20334933,low
ISG15,0.9807509700000001,high
AGRN,0.39463768000000005,medium
RNF223,0.0003865101,low
C1orf159,0.014893937999999999,low
TTLL10,0.00076358125,low
TNFRSF18,0.025012856299999997,low
TNFRSF4,0.028914535,low
SDF4,0.25013551999999994,medium
B3GALT6,0.025087558000000003,low
UBE2J2,0.07364672,low
SCNN1D,0.011981228,low
ACAP3,0.1331196,low
PUSL1,0.060323767,low
TAS1R3,0.000468875,low
DVL1,0.045690604999999995,low
MXRA8,0.43773134999999996,medium
AURKAIP1,0.2133463,low
CCNL2,0.14673139000000002,low
MRPL20,0.09977889999999995,low
ANKRD65,0.050023418,low
VWA1,0.10400710999999999,low
ATAD3C,0.008464554,low
ATAD3B,0.050431504,low
ATAD3A,0.027684944,low
SSU72,0.12974398999999998,low
AL645728.1,0.032094505,low
MIB2,0.059765495,low
MMP23B,0.25114314,medium
CDK11B,0.136282536,low
SLC35E2B,0.11509059,low
CDK11A,0.167166313,low
NADK,0.015878750000000004,low
GNB1,0.17991429,low
TMEM52,0.008624635,low
GABRD,0.009024503,low
PRKCZ,0.034253313,low
SKI,0.21725541,low
MORN1,0.011578492000000003,low
RER1,0.13619641000000005,low
PEX10,0.059449565,low
PLCH2,0.0034464356,low
PANK4,0.022579070000000003,low
HES5,0.017597705,low
TNFRSF14,0.23052581000000003,low
MMEL1,0.0058832467,low
TTC34,0.007449129,low
PRDM16,0.005045144,low
ARHGEF16,0.0029304996,low
MEGF6,0.038376946,low
TPRG1L,0.023670679999999993,low
WRAP73,0.02617288000000001,low
TP73,0.0019424189,low
SMIM1,0.06843378,low
LRRC47,0.05833999000000001,low
CEP104,0.01077344999999999,low
DFFB,0.085078034,low
C1orf174,0.04444944499999999,low
AJAP1,0.00824219,low
NPHP4,0.009719980999999999,low
KCNAB2,0.028008658,low
RPL22,0.5110199999999998,high
RNF207,0.025385683,low
ICMT,0.11105778,low
LINC00337,0.00039453057,low
GPR153,0.019483544,low
ACOT7,0.07844148000000001,low
HES2,0.0031382262,low
ESPN,0.003445288,low
TNFRSF25,0.012832712,low
PLEKHG5,0.011373524,low
NOL9,0.053014491999999996,low
TAS1R1,0.00038791445,low
ZBTB48,0.083384407,low
KLHL21,0.0441503,low
PHF13,0.129360313,low
THAP3,0.042068910000000015,low
DNAJC11,0.06014441000000001,low
CAMTA1,0.1322697,low
VAMP3,0.06133598999999998,low
PER3,0.023348646999999993,low
UTS2,0.0012475459,low
TNFRSF9,0.003548033,low
PARK7,0.4734594000000001,medium
ERRFI1,0.15953488500000002,low
SLC45A1,0.0279215,low
RERE,0.20866542000000002,low
ENO1,0.6051474,high
ENO1-AS1,0.0049940804,low
CA6,5.1547366e-05,low
SLC2A5,0.0043462757,low
GPR157,0.0469142175,low
H6PD,0.06278412500000001,low
SPSB1,0.085326085,low
SLC25A33,0.08011757,low
TMEM201,0.0463674,low
PIK3CD,0.0068222876,low
CLSTN1,0.20408179,low
CTNNBIP1,0.07141044,low
LZIC,0.10522833000000001,low
NMNAT1,0.03907369399999999,low
RBP7,0.0063611977,low
UBE4B,0.042290182999999995,low
KIF1B,0.10127080000000001,low
PGD,0.093668436,low
CORT,0.003065392,low
DFFA,0.06247261999999999,low
PEX14,0.026925218,low
CASZ1,0.024739483,low
C1orf127,4.9833416e-05,low
TARDBP,0.015936320000000004,low
MASP2,0.00024691137,low
SRM,0.32724087,medium
EXOSC10,0.16504021,low
MTOR,0.06651645,low
ANGPTL7,0.0014460121,low
UBIAD1,0.037906983000000005,low
FBXO2,0.013898319000000001,low
FBXO44,0.15712055,low
FBXO6,0.134111514,low
MAD2L2,0.038266400000000006,low
DRAXIN,0.006753454,low
AGTRAP,0.12341823999999998,low
C1orf167,0.089684501,low
MTHFR,0.074604932,low
CLCN6,0.083161924,low
KIAA2013,0.03298643,low
PLOD1,0.13806602,low
MFN2,0.051336533999999996,low
MIIP,0.04889346400000001,low
TNFRSF8,0.00062136515,low
TNFRSF1B,0.14799636,low
VPS13D,0.099843136,low
DHRS3,0.14644378600000002,low
HNRNPCL1,0.00092615787,low
PDPN,0.53301519,high
PRDM2,0.22705062000000004,low
KAZN,0.08887271999999999,low
TMEM51-AS1,0.005209172,low
TMEM51,0.05157020999999999,low
FHAD1,0.0142136365,low
EFHD2,0.09531203400000002,low
CTRC,0.004230754,low
CASP9,0.044768134,low
DNAJC16,0.041403653,low
AGMAT,0.0047227223,low
DDI2,0.02135017,low
PLEKHM2,0.11243869999999999,low
SLC25A34,0.009621634,low
TMEM82,0.000392322,low
FBLIM1,0.25537614,medium
SPEN,0.23965796,low
ZBTB17,0.028975175000000006,low
HSPB7,0.0564178724,low
CLCNKA,0.0013138524,low
CLCNKB,0.005437169,low
EPHA2,0.038036063,low
ARHGEF19,0.017870601,low
FBXO42,0.10524550999999999,low
SZRD1,0.025720889999999996,low
SPATA21,0.0011765411,low
NECAP2,0.0819112,low
NBPF1,0.45635985400000006,medium
CROCC,0.094197336,low
MFAP2,0.6801485,high
ATP13A2,0.027095662,low
SDHB,0.08261415,low
PADI2,0.005919251,low
PADI1,0.00010602087,low
PADI4,6.858943e-05,low
PADI6,1.318185e-05,low
RCC2,0.07105771000000001,low
ARHGEF10L,0.03768806,low
ACTL8,0.000101917365,low
IGSF21,0.0011943401,low
KLHDC7A,0.00019843399,low
ALDH4A1,0.021438112,low
IFFO2,0.0505073505,low
UBR4,0.133860372,low
EMC1,0.022854396,low
MRTO4,0.115793787,low
AKR7A3,0.012404254,low
AKR7A2,0.42730437,medium
CAPZB,0.37943015,medium
NBL1,0.5771126599999999,high
TMCO4,0.022362801999999998,low
