gene,effect_size,effect_size_class
FAM87B,0.0019704686,low
LINC00115,0.018548272,low
FAM41C,0.02485007,low
SAMD11,0.003235502,low
NOC2L,0.06416683,low
KLHL17,0.0072317575,low
PLEKHN1,0.00256445016,low
HES4,0.5321888300000001,high
ISG15,0.7081932499999999,high
AGRN,0.0110930686,low
RNF223,0.00052714493,low
C1orf159,0.013536628300000002,low
TTLL10,0.01133886396,low
TNFRSF18,0.011892650000000001,low
TNFRSF4,0.088654333,low
SDF4,0.17099430000000002,low
B3GALT6,0.015857562,low
UBE2J2,0.08412235,low
SCNN1D,0.0015266163,low
ACAP3,0.016241846,low
PUSL1,0.013264065999999998,low
TAS1R3,0.00826138,low
DVL1,0.00853781,low
MXRA8,0.0069409697,low
AURKAIP1,0.11056857999999997,low
CCNL2,0.0653045,low
MRPL20,0.14677990000000002,low
ANKRD65,0.0069045947,low
VWA1,0.003887016,low
ATAD3C,0.011849703,low
ATAD3B,0.020402861999999997,low
ATAD3A,0.015358749999999997,low
SSU72,0.04607802999999999,low
AL645728.1,0.019410439,low
MIB2,0.017373078,low
MMP23B,0.0133616454,low
CDK11B,0.085953166,low
SLC35E2B,0.043627125999999995,low
CDK11A,0.095268908,low
NADK,0.02687771,low
GNB1,0.10651698999999998,low
TMEM52,0.0011893624,low
GABRD,0.00033153166,low
PRKCZ,0.015400575,low
SKI,0.02734069,low
MORN1,0.0033527343999999997,low
RER1,0.17146054,low
PEX10,0.02456745,low
PLCH2,0.0007204126,low
PANK4,0.013709695,low
HES5,0.0015249313,low
TNFRSF14,0.19193746,low
MMEL1,0.0066178013,low
TTC34,0.0026978648,low
PRDM16,0.0101688917,low
ARHGEF16,0.0020931996,low
MEGF6,0.0380538122,low
TPRG1L,0.026719236,low
WRAP73,0.041914067,low
TP73,0.00211504805,low
SMIM1,0.06802261899999999,low
LRRC47,0.025008339000000004,low
CEP104,0.024462648000000004,low
DFFB,0.010100876,low
C1orf174,0.045844245000000006,low
AJAP1,0.0013202078,low
NPHP4,0.011351526,low
KCNAB2,0.07050341,low
RPL22,0.5018678000000003,high
RNF207,0.0096201211,low
ICMT,0.027769465,low
LINC00337,0.0006040457,low
GPR153,0.008750477,low
ACOT7,0.20107849,low
HES2,0.001805028,low
ESPN,0.0017476848,low
TNFRSF25,0.0204952164,low
PLEKHG5,0.023323713,low
NOL9,0.022282769,low
TAS1R1,0.0,low
ZBTB48,0.06358672,low
KLHL21,0.049030456,low
PHF13,0.014439931999999999,low
THAP3,0.023511021,low
DNAJC11,0.038033752000000004,low
CAMTA1,0.11363448999999998,low
VAMP3,0.0419389,low
PER3,0.029044006000000004,low
UTS2,0.105522643,low
TNFRSF9,0.057455838999999995,low
PARK7,0.37154186999999994,medium
ERRFI1,0.0236906653,low
SLC45A1,0.00885993227,low
RERE,0.19360415000000003,low
ENO1,0.3547998600000001,medium
ENO1-AS1,0.0018323696000000001,low
CA6,0.00038403014,low
SLC2A5,0.012527824,low
GPR157,0.052252518,low
H6PD,0.020888833000000002,low
SPSB1,0.014957016600000001,low
SLC25A33,0.13748807999999998,low
TMEM201,0.0305217816,low
PIK3CD,0.08539670000000002,low
CLSTN1,0.044993829000000006,low
CTNNBIP1,0.08174465,low
LZIC,0.05519644000000001,low
NMNAT1,0.017376292,low
RBP7,0.24559572000000002,low
UBE4B,0.018480911999999995,low
KIF1B,0.061212403,low
PGD,0.34486032,medium
CORT,0.0,low
DFFA,0.035751194,low
PEX14,0.016393769000000002,low
CASZ1,0.0080692514,low
C1orf127,0.0046186072,low
TARDBP,0.039052909999999996,low
MASP2,0.0006449918,low
SRM,0.15708144,low
EXOSC10,0.058921198999999994,low
MTOR,0.057398416,low
ANGPTL7,0.0003424986,low
UBIAD1,0.040782083,low
FBXO2,0.0055192774,low
FBXO44,0.021034747,low
FBXO6,0.09126751500000001,low
MAD2L2,0.117614574,low
DRAXIN,0.007161253,low
AGTRAP,0.23557445999999999,low
C1orf167,0.0010965237,low
MTHFR,0.03596504099999999,low
CLCN6,0.03583159599999999,low
KIAA2013,0.068665459,low
PLOD1,0.025791742000000006,low
MFN2,0.024713966000000004,low
MIIP,0.07895233,low
TNFRSF8,0.0193675733,low
TNFRSF1B,0.12166512999999995,low
VPS13D,0.060849837000000004,low
DHRS3,0.110422976,low
HNRNPCL1,0.00089370314,low
PDPN,0.016619947,low
PRDM2,0.04992804000000001,low
KAZN,0.005566894899999999,low
TMEM51-AS1,0.0025722405,low
TMEM51,0.08036001300000001,low
FHAD1,0.0124379179,low
EFHD2,0.3528997,medium
CTRC,0.0017273853,low
CASP9,0.048644744999999996,low
DNAJC16,0.013547303000000004,low
AGMAT,0.0040045516,low
DDI2,0.024411224999999995,low
PLEKHM2,0.07842201,low
SLC25A34,0.0024163596,low
TMEM82,0.00040717205,low
FBLIM1,0.010546205,low
SPEN,0.14289651,low
ZBTB17,0.035418017999999996,low
HSPB7,0.00035866047,low
CLCNKA,0.0,low
CLCNKB,0.0,low
EPHA2,0.006703487499999999,low
ARHGEF19,0.010484705000000002,low
FBXO42,0.05524224,low
SZRD1,0.07053552999999999,low
SPATA21,0.00054545165,low
NECAP2,0.0661435,low
NBPF1,0.05953648500000001,low
CROCC,0.018324346,low
MFAP2,0.008241176,low
ATP13A2,0.04084803,low
SDHB,0.20032179,low
PADI2,0.020029753,low
PADI1,0.0,low
PADI4,0.044518739,low
PADI6,0.0013315375,low
RCC2,0.039650674999999996,low
ARHGEF10L,0.027806809000000002,low
ACTL8,0.0,low
IGSF21,0.03575616,low
KLHDC7A,0.007468017,low
ALDH4A1,0.013721585000000001,low
IFFO2,0.039706806,low
UBR4,0.200528679,low
EMC1,0.015473372999999999,low
MRTO4,0.041344215999999996,low
AKR7A3,0.0023761757,low
AKR7A2,0.11596583599999999,low
CAPZB,0.5150594,high
NBL1,0.054815726,low
TMCO4,0.040853173500000006,low
RNF186,0.0017944204,low
OTUD3,0.035742281,low
PLA2G2A,0.0154125813,low
PLA2G5,0.004006804,low
PLA2G2D,0.0549801435,low
PLA2G2F,0.0,low
PLA2G2C,0.0019854816700000002,low
UBXN10,0.032552184000000005,low
CAMK2N1,0.0037914376999999997,low
MUL1,0.028029663,low
CDA,0.259620972,medium
PINK1,0.06235305599999999,low
PINK1-AS,0.0059510255,low
DDOST,0.3437945,medium
KIF17,0.0184366872,low
HP1BP3,0.21334753,low
EIF4G3,0.054822455000000006,low
ECE1,0.07205376299999999,low
NBPF3,0.0078952087,low
ALPL,0.016828022249999998,low
RAP1GAP,0.00020364362,low
USP48,0.079999316,low
LDLRAD2,0.00957411777,low
HSPG2,0.033847048000000005,low
CELA3B,0.00052391586,low
CELA3A,0.0,low
CDC42,0.39121779999999995,medium
WNT4,0.00016628671,low
ZBTB40,0.019525878000000003,low
C1QA,1.9958275300000001,high
C1QC,1.7885061799999997,high
C1QB,1.8132682199999999,high
EPHB2,0.054876067,low
KDM1A,0.08558629599999999,low
LUZP1,0.07418052,low
HTR1D,0.0,low
HNRNPR,0.13864411999999998,low
ZNF436,0.00826176,low
TCEA3,0.009042204199999999,low
ASAP3,0.004423937,low
E2F2,0.006612373,low
ID3,0.24408974699999997,low
MDS2,0.0006956071,low
RPL11,0.3173379999999999,medium
PITHD1,0.11106075000000001,low
LYPLA2,0.040309620000000004,low
GALE,0.038709266000000006,low
HMGCL,0.053224299999999995,low
FUCA1,0.7447476700000001,high
CNR2,0.0048842164,low
PNRC2,0.604028169,high
SRSF10,0.61664592,high
MYOM3,0.0005244158,low
IL22RA1,0.0008511943,low
IFNLR1,0.0109001882,low
GRHL3,0.00047422948,low
STPG1,0.0053587439999999995,low
NIPAL3,0.017549693999999998,low
RCAN3,0.019474696,low
NCMAP,0.0020097673,low
SRRM1,0.21730469999999996,low
CLIC4,0.032423823000000004,low
RUNX3,0.14220059000000002,low
SYF2,0.06140039000000003,low
RHD,0.007917345,low
TMEM50A,0.16329925,low
RHCE,0.005256074,low
LDLRAP1,0.006862320999999998,low
MAN1C1,0.014202806,low
MTFR1L,0.038586510000000004,low
AUNIP,0.0052995125,low
PAQR7,0.040850204,low
STMN1,0.5008675,high
PAFAH2,0.027035864000000003,low
SLC30A2,0.00456115864,low
TRIM63,0.0178600425,low
PDIK1L,0.010654523,low
FAM110D,0.0003517535,low
ZNF593,0.07172687000000003,low
CNKSR1,0.0016600662,low
CEP85,0.027995897999999998,low
SH3BGRL3,0.6918479999999998,high
UBXN11,0.07419988000000001,low
CD52,0.9300146999999999,high
ZNF683,0.0,low
LIN28A,0.00051270967,low
DHDDS,0.021880232,low
HMGN2,0.21848880000000004,low
RPS6KA1,0.047511544,low
ARID1A,0.04861890000000002,low
PIGV,0.017694934,low
ZDHHC18,0.028533846,low
SFN,0.009681351,low
GPN2,0.02254449,low
GPATCH3,0.046184021000000006,low
NUDC,0.17183753999999998,low
NR0B2,0.0004554637,low
TRNP1,0.004781863,low
SLC9A1,0.043521845,low
WDTC1,0.023499055999999997,low
TMEM222,0.029348024999999996,low
SYTL1,0.039377353000000004,low
MAP3K6,0.008616859,low
FCN3,0.0012459209,low
CD164L2,0.0014111998,low
GPR3,0.009176845,low
WASF2,0.18663564,low
AHDC1,0.011151851,low
FGR,0.3432604,medium
IFI6,0.9375103599999999,high
FAM76A,0.023118143,low
STX12,0.06374955999999998,low
PPP1R8,0.011635284000000003,low
THEMIS2,0.10488481000000005,low
RPA2,0.07050146000000002,low
SMPDL3B,0.0025190272999999997,low
XKR8,0.018009375,low
EYA3,0.022623993999999994,low
PTAFR,0.12026354999999997,low
DNAJC8,0.21279255000000002,low
SESN2,0.042241429999999996,low
MED18,0.009011020599999999,low
PHACTR4,0.07127524,low
RCC1,0.02576493,low
TRNAU1AP,0.05264395499999999,low
SNHG12,0.273607484,medium
TAF12,0.04614760000000001,low
RAB42,0.14487608,low
GMEB1,0.098204578,low
YTHDF2,0.08495069999999999,low
EPB41,0.044401073,low
TMEM200B,0.00057140336,low
SRSF4,0.23812472,low
MECR,0.013962394999999999,low
PTPRU,0.0009053753,low
MATN1,0.00055082893,low
MATN1-AS1,0.0030140208000000003,low
LAPTM5,0.3691369999999998,medium
SDC3,0.088633132,low
PUM1,0.03818383,low
SNRNP40,0.06886919000000001,low
ZCCHC17,0.04621575,low
FABP3,0.1075277103,low
SERINC2,0.038048037,low
TINAGL1,0.0065365946,low
PEF1,0.13904296,low
COL16A1,0.0018063717,low
SPOCD1,0.0023507322,low
PTP4A2,0.47851421999999993,medium
KHDRBS1,0.33533098,medium
TMEM39B,0.06048077999999999,low
KPNA6,0.004074309999999998,low
TXLNA,0.029650382000000003,low
CCDC28B,0.037929873999999995,low
IQCC,0.0019053316400000002,low
DCDC2B,0.00027146732,low
TMEM234,0.032021767,low
EIF3I,0.15214353000000003,low
FAM167B,0.0013551158,low
LCK,0.013528254599999998,low
HDAC1,0.04559052999999999,low
MARCKSL1,0.22620313999999997,low
TSSK3,0.0016285746,low
