gene,effect_size,effect_size_class
FAM87B,0.0003392551,low
LINC00115,0.051374782,low
FAM41C,0.010766125,low
SAMD11,0.08684201,low
NOC2L,0.241464625,low
KLHL17,0.10972072,low
PLEKHN1,0.0016877291,low
HES4,0.37614563,medium
ISG15,0.74425823,high
AGRN,0.37728616800000003,medium
RNF223,0.0,low
C1orf159,0.086612293,low
TTLL10,0.0005761921,low
TNFRSF18,0.001092018,low
TNFRSF4,0.009350479,low
SDF4,0.34524653,medium
B3GALT6,0.092926,low
UBE2J2,0.13172282000000002,low
SCNN1D,0.010740553,low
ACAP3,0.2246988,low
PUSL1,0.0663727,low
TAS1R3,0.0010606921,low
DVL1,0.079411775,low
MXRA8,0.45253081000000006,medium
AURKAIP1,0.13614750000000003,low
CCNL2,0.18608626999999997,low
MRPL20,0.25532944,medium
ANKRD65,0.10493232,low
VWA1,0.62484858,high
ATAD3C,0.10243424,low
ATAD3B,0.056995254,low
ATAD3A,0.08335905,low
SSU72,0.15623745,low
AL645728.1,0.02131994,low
MIB2,0.224388653,low
MMP23B,0.099587766,low
CDK11B,0.10756612200000001,low
SLC35E2B,0.22299000000000002,low
CDK11A,0.302924044,medium
NADK,0.07979417,low
GNB1,0.18082386,low
TMEM52,0.009931899,low
GABRD,0.004770944,low
PRKCZ,0.0929999,low
SKI,0.18075803000000001,low
MORN1,0.018195065,low
RER1,0.20302546999999999,low
PEX10,0.405490085,medium
PLCH2,0.0036443747,low
PANK4,0.06994025,low
HES5,0.12084205,low
TNFRSF14,0.18905482199999998,low
MMEL1,0.007430251,low
TTC34,0.0032407637,low
PRDM16,0.33934486,medium
ARHGEF16,0.024994573,low
MEGF6,0.096182856,low
TPRG1L,0.058929697,low
WRAP73,0.30059839,medium
TP73,0.002678263,low
SMIM1,0.19985174,low
LRRC47,0.14017853,low
CEP104,0.10778077999999999,low
DFFB,0.026474882,low
C1orf174,0.15612406,low
AJAP1,0.008751051,low
NPHP4,0.03455608,low
KCNAB2,0.20884493,low
RPL22,1.2134703000000002,high
RNF207,0.011416869,low
ICMT,0.34897825499999996,medium
LINC00337,0.00097054656,low
GPR153,0.11367093,low
ACOT7,0.11249139,low
HES2,0.0033617895,low
ESPN,0.056677617,low
TNFRSF25,0.2924601,medium
PLEKHG5,0.02784091,low
NOL9,0.10742964,low
TAS1R1,0.0073351734,low
ZBTB48,0.06951568,low
KLHL21,0.078685574,low
PHF13,0.14067465,low
THAP3,0.11115382,low
DNAJC11,0.043834878,low
CAMTA1,0.28463990000000006,medium
VAMP3,0.25048446,medium
PER3,0.19386357599999998,low
UTS2,0.0,low
TNFRSF9,0.0019507138,low
PARK7,0.2855679,medium
ERRFI1,0.12103369,low
SLC45A1,0.022011153,low
RERE,0.22991104,low
ENO1,0.4633809,medium
ENO1-AS1,0.0036256856,low
CA6,0.0,low
SLC2A5,0.000639171,low
GPR157,0.1433151,low
H6PD,0.17504893,low
SPSB1,0.10868298199999998,low
SLC25A33,0.119682174,low
TMEM201,0.041353982,low
PIK3CD,0.016290108,low
CLSTN1,0.24085285,low
CTNNBIP1,0.11130854999999999,low
LZIC,0.12508267,low
NMNAT1,0.046129417,low
RBP7,0.328636032,medium
UBE4B,0.06343966300000001,low
KIF1B,0.38991412,medium
PGD,0.308367895,medium
CORT,0.0070273597,low
DFFA,0.24660864999999998,low
PEX14,0.05792651100000001,low
CASZ1,0.056065343,low
C1orf127,0.0,low
TARDBP,0.32408193,medium
MASP2,0.0013473429,low
SRM,0.23612385000000002,low
EXOSC10,0.07820814999999999,low
MTOR,0.13928586,low
ANGPTL7,0.396316103,medium
UBIAD1,0.11377876,low
FBXO2,0.020513928,low
FBXO44,0.06963694599999999,low
FBXO6,0.098700255,low
MAD2L2,0.33337566,medium
DRAXIN,0.05334525,low
AGTRAP,0.12600266999999998,low
C1orf167,0.032895096,low
MTHFR,0.053403370000000006,low
CLCN6,0.09632618100000001,low
KIAA2013,0.08412945,low
PLOD1,0.1613992,low
MFN2,0.108519226,low
MIIP,0.244628753,low
TNFRSF8,0.001614722,low
TNFRSF1B,0.055831041,low
VPS13D,0.35269772,medium
DHRS3,0.39526266,medium
HNRNPCL1,8.041534e-05,low
PDPN,0.61834013,high
PRDM2,0.12136071999999998,low
KAZN,0.21869324,low
TMEM51-AS1,0.006621235,low
TMEM51,0.10021496,low
FHAD1,0.0022840516,low
EFHD2,0.06871115,low
CTRC,0.002216291,low
CASP9,0.046639826,low
DNAJC16,0.048717935,low
AGMAT,0.10972072,low
DDI2,0.038089410000000004,low
PLEKHM2,0.09998245,low
SLC25A34,0.033802457,low
TMEM82,0.0,low
FBLIM1,0.12319753,low
SPEN,0.17137913000000002,low
ZBTB17,0.314781768,medium
HSPB7,0.11501502,low
CLCNKA,0.00018805456,low
CLCNKB,0.000705413,low
EPHA2,0.07094122,low
ARHGEF19,0.028255623,low
FBXO42,0.10039738,low
SZRD1,0.2242362,low
SPATA21,0.0022580095,low
NECAP2,0.134740906,low
NBPF1,0.09501368,low
CROCC,0.174901638,low
MFAP2,0.29092193,medium
ATP13A2,0.0853904,low
SDHB,0.29024905,medium
PADI2,0.0022470572,low
PADI1,0.0,low
PADI4,0.0,low
PADI6,0.0,low
RCC2,0.156974256,low
ARHGEF10L,0.024263275999999993,low
ACTL8,0.0,low
IGSF21,0.0025289874,low
KLHDC7A,4.228439e-05,low
ALDH4A1,0.0345787,low
IFFO2,0.197364706,low
UBR4,0.36559136400000003,medium
EMC1,0.203793626,low
MRTO4,0.21568409299999997,low
AKR7A3,0.0039974754,low
AKR7A2,0.14439254999999998,low
CAPZB,0.052995899999999985,low
NBL1,0.085236553,low
TMCO4,0.03994239,low
RNF186,0.003970514,low
OTUD3,0.11837547500000001,low
PLA2G2A,0.02686632,low
PLA2G5,0.029039016,low
PLA2G2D,0.00038836073,low
PLA2G2F,0.0,low
PLA2G2C,0.0007557513,low
UBXN10,0.004192262,low
CAMK2N1,0.49956974,medium
MUL1,0.10295076,low
CDA,0.0045462544,low
PINK1,0.20284241399999997,low
PINK1-AS,0.004710284,low
DDOST,0.22249995,low
KIF17,0.001739911,low
HP1BP3,0.23514966000000004,low
EIF4G3,0.23930262,low
ECE1,0.11954908,low
NBPF3,0.19402360400000002,low
ALPL,0.025026428,low
RAP1GAP,0.07556483,low
USP48,0.21220050000000001,low
LDLRAD2,0.0023864335,low
HSPG2,1.26074337,high
CELA3B,0.0,low
CELA3A,0.0,low
CDC42,0.47589610000000004,medium
WNT4,0.019591806,low
ZBTB40,0.063934304,low
C1QA,0.03514035,low
C1QC,0.018083846,low
C1QB,0.006801162,low
EPHB2,0.09099785,low
KDM1A,0.282297847,medium
