gene,H_statistic,p_value,FDR
HES4,5504.770423610566,0.0,0.0
ISG15,5380.306359495373,0.0,0.0
TNFRSF18,3225.841628442001,0.0,0.0
TNFRSF4,2058.388100189296,0.0,0.0
CDK11B,1621.6334219643816,0.0,0.0
CDK11A,2002.1489644394749,0.0,0.0
TNFRSF14,2589.943508663135,0.0,0.0
RPL22,6439.067829889639,0.0,0.0
RERE,2591.1666135448045,0.0,0.0
ENO1,2205.2774339952307,0.0,0.0
SLC2A5,1881.2654979267816,0.0,0.0
SLC25A33,1743.51326595643,0.0,0.0
PIK3CD,2654.055856976584,0.0,0.0
SRM,9555.909114630738,0.0,0.0
PRDM2,3182.069983222545,0.0,0.0
CASP9,1582.9046612440377,0.0,0.0
SPEN,2206.3133164537985,0.0,0.0
SZRD1,1703.9601787705735,0.0,0.0
UBR4,2471.274808365043,0.0,0.0
CAPZB,4203.350398262758,0.0,0.0
PLA2G2A,2541.6487918385715,0.0,0.0
HP1BP3,2599.801092737037,0.0,0.0
CDC42,5001.573540602551,0.0,0.0
HNRNPR,2677.066496053871,0.0,0.0
ID3,2751.4360172592897,0.0,0.0
RPL11,3070.742203552586,0.0,0.0
PNRC2,11604.033849362677,0.0,0.0
SRSF10,12259.176992112525,0.0,0.0
SRRM1,2910.1220553483663,0.0,0.0
SYF2,1918.8191762917415,0.0,0.0
STMN1,3395.536545249127,0.0,0.0
SH3BGRL3,4336.936427403377,0.0,0.0
CD52,7481.611746988765,0.0,0.0
HMGN2,6735.739437467885,0.0,0.0
ARID1A,1452.9329648938722,0.0,0.0
WASF2,3319.4576090787937,0.0,0.0
IFI6,5581.655769484491,0.0,0.0
STX12,2485.5717770271403,0.0,0.0
DNAJC8,1622.0624701494467,0.0,0.0
SNHG12,4795.51378571773,0.0,0.0
EPB41,1668.9688555213218,0.0,0.0
SRSF4,2469.488465247062,0.0,0.0
LAPTM5,15093.680402374936,0.0,0.0
PUM1,1771.0344694945168,0.0,0.0
KHDRBS1,4401.0677902743855,0.0,0.0
EIF3I,1540.6461091077665,0.0,0.0
LCK,3613.9434209019028,0.0,0.0
HDAC1,3637.5160401106546,0.0,0.0
MARCKSL1,6703.071254909821,0.0,0.0
RBBP4,2549.523684155206,0.0,0.0
SYNC,1893.7538647812191,0.0,0.0
SFPQ,5296.194759789059,0.0,0.0
THRAP3,3453.0927584921646,0.0,0.0
SF3A3,1582.5498940344262,0.0,0.0
AKIRIN1,2081.224860942829,0.0,0.0
MACF1,2192.7410640192516,0.0,0.0
CAP1,3271.0839213054455,0.0,0.0
RLF,1928.5969519456814,0.0,0.0
SMAP2,4637.58140252574,0.0,0.0
NFYC,1680.7353105779491,0.0,0.0
PPIH,2242.9300804828845,0.0,0.0
ELOVL1,2624.0176883058866,0.0,0.0
RNF220,1538.8594278414757,0.0,0.0
RPS8,8517.27877656004,0.0,0.0
NASP,2747.028518202859,0.0,0.0
PIK3R3,1527.3211928356604,0.0,0.0
EPS15,2450.8072486280216,0.0,0.0
MAGOH,1915.7226181780384,0.0,0.0
TMEM59,8801.459618393907,0.0,0.0
JUN,6837.581968723328,0.0,0.0
JAK1,7027.118560367373,0.0,0.0
PDE4B,4173.086787252983,0.0,0.0
SERBP1,2542.092963986751,0.0,0.0
GADD45A,2472.165473904206,0.0,0.0
SRSF11,3131.5063328450237,0.0,0.0
ZRANB2,1951.4437100334987,0.0,0.0
IFI44L,25697.593678851157,0.0,0.0
IFI44,7428.0285571981685,0.0,0.0
PRKACB,1511.6072670309234,0.0,0.0
GNG5,1723.5682883644977,0.0,0.0
MCOLN2,1873.7022387884576,0.0,0.0
BCL10,1680.9196438954268,0.0,0.0
LMO4,1969.187489827394,0.0,0.0
PKN2,1868.2182825396387,0.0,0.0
GTF2B,3363.1943255519127,0.0,0.0
GBP2,2070.470067373352,0.0,0.0
GBP4,5067.081120803063,0.0,0.0
ZNF644,1681.6456058368844,0.0,0.0
RPL5,4010.465792531905,0.0,0.0
DR1,1760.3571276701841,0.0,0.0
DNTTIP2,1582.8706037163367,0.0,0.0
RWDD3,2602.3620205938983,0.0,0.0
DPYD,1721.2760583543209,0.0,0.0
S1PR1,4414.787995424455,0.0,0.0
RNPC3,1489.4389691804452,0.0,0.0
VAV3,1843.1062181152695,0.0,0.0
PRPF38B,1805.599925416313,0.0,0.0
GNAI3,1461.3043450374464,0.0,0.0
GSTM1,4457.577557285402,0.0,0.0
CD53,5902.954168013756,0.0,0.0
CEPT1,1829.4217584773796,0.0,0.0
DENND2D,1485.0635081691328,0.0,0.0
CHI3L2,7438.291079705667,0.0,0.0
WDR77,2341.1636284939723,0.0,0.0
C1orf162,3212.326141712391,0.0,0.0
CAPZA1,3522.54057300766,0.0,0.0
RSBN1,1547.6940009101702,0.0,0.0
PTPN22,1888.403801167665,0.0,0.0
BCAS2,1983.460709237553,0.0,0.0
AMPD1,1769.010151294593,0.0,0.0
NOTCH2,1685.4709688609523,0.0,0.0
NBPF15,2083.9786643316365,0.0,0.0
POLR3C,1756.8951987430964,0.0,0.0
RBM8A,4666.401836705541,0.0,0.0
TXNIP,2156.1263943411936,0.0,0.0
GPR89B,1952.4680875812676,0.0,0.0
HIST2H2AA3,1724.648228608527,0.0,0.0
HIST2H2AA4,3071.732576169921,0.0,0.0
SF3B4,2984.62095119315,0.0,0.0
ANP32E,1474.768521883733,0.0,0.0
APH1A,2810.069076669481,0.0,0.0
MCL1,2498.5766015531162,0.0,0.0
C1orf56,2052.658542436015,0.0,0.0
CDC42SE1,2948.768363910236,0.0,0.0
RFX5,1857.2478324668086,0.0,0.0
POGZ,1779.163640468291,0.0,0.0
S100A6,5653.303991678971,0.0,0.0
ILF2,1569.112240380645,0.0,0.0
CRTC2,1871.075175767284,0.0,0.0
JTB,2940.038331377877,0.0,0.0
RPS27,1926.7280094015305,0.0,0.0
TPM3,6214.950164687917,0.0,0.0
ADAR,2512.626705324696,0.0,0.0
KCNN3,1519.60106319876,0.0,0.0
PMVK,1630.48353687897,0.0,0.0
SSR2,1575.8175115712968,0.0,0.0
LMNA,6921.817321250982,0.0,0.0
FCRL5,2313.887797485517,0.0,0.0
FCRL3,1677.2798805917478,0.0,0.0
FCRL1,5437.479381475202,0.0,0.0
CD1C,3058.741417431958,0.0,0.0
IFI16,2452.3665765354312,0.0,0.0
TAGLN2,8969.1247003578,0.0,0.0
PEA15,1756.271307198677,0.0,0.0
DCAF8,1712.1580899426797,0.0,0.0
SLAMF1,1721.8298503899816,0.0,0.0
CD48,3783.7875116554387,0.0,0.0
SLAMF7,3431.800066478673,0.0,0.0
LY9,9153.025359904583,0.0,0.0
ITLN1,1812.6256183882233,0.0,0.0
USF1,1964.3604920312011,0.0,0.0
ARHGAP30,1694.2569276475099,0.0,0.0
FCGR2B,2045.6794974997244,0.0,0.0
FCRLA,7174.212212057473,0.0,0.0
UHMK1,2612.036643516873,0.0,0.0
UAP1,3117.677032736156,0.0,0.0
MGST3,2213.7726770452446,0.0,0.0
RCSD1,12417.52632780668,0.0,0.0
SFT2D2,1641.0812999969253,0.0,0.0
SELL,5787.697459211984,0.0,0.0
PRRC2C,4780.14814491462,0.0,0.0
RC3H1,3013.6302034024156,0.0,0.0
RABGAP1L,2889.5264801307876,0.0,0.0
KIAA0040,1536.634679051252,0.0,0.0
RALGPS2,5731.650713810166,0.0,0.0
IER5,2102.8263079199323,0.0,0.0
RGS16,1773.4795986061863,0.0,0.0
DHX9,1822.8828192682624,0.0,0.0
ARPC5,2531.3135934174875,0.0,0.0
IVNS1ABP,1472.9960071471614,0.0,0.0
TPR,1859.2356877723444,0.0,0.0
RGS1,3056.4109640501083,0.0,0.0
RGS13,5321.4775646694125,0.0,0.0
RGS2,2011.2985449964992,0.0,0.0
NEK7,1562.4443139622451,0.0,0.0
PTPRC,13472.31258656945,0.0,0.0
CHI3L1,1563.7874265174112,0.0,0.0
BTG2,2222.3496301230616,0.0,0.0
NUAK2,1964.4204527800948,0.0,0.0
NUCKS1,2331.0673527488407,0.0,0.0
RASSF5,1615.62343025962,0.0,0.0
PIGR,4013.9131519070697,0.0,0.0
CD55,9739.378019552929,0.0,0.0
CR2,9369.8517408364,0.0,0.0
CR1,4737.0599042626945,0.0,0.0
TRAF5,2848.418140930254,0.0,0.0
LPGAT1,1878.0519644559051,0.0,0.0
NENF,2345.409664002601,0.0,0.0
ATF3,1496.2328009257826,0.0,0.0
DEGS1,2119.7200464474254,0.0,0.0
LBR,4608.068330380307,0.0,0.0
SRP9,1674.6850834603906,0.0,0.0
SDE2,2423.206451890556,0.0,0.0
H3F3A,8224.780049572157,0.0,0.0
PARP1,3341.4123254598103,0.0,0.0
GUK1,2895.47160620165,0.0,0.0
NUP133,1848.0356433170368,0.0,0.0
LINC00582,1931.4318499769827,0.0,0.0
IRF2BP2,2140.477567383608,0.0,0.0
TOMM20,2037.1996853719777,0.0,0.0
ARID4B,3648.76626426991,0.0,0.0
LYST,1722.7754342740548,0.0,0.0
KMO,2211.1891738541317,0.0,0.0
OPN3,2074.085189970887,0.0,0.0
CEP170,2111.5380396467194,0.0,0.0
HNRNPU,6045.632372636367,0.0,0.0
CNST,3497.6363303596913,0.0,0.0
TMEM18,1560.2432956404498,0.0,0.0
RPS7,6064.523220450277,0.0,0.0
CMPK2,3228.463689452687,0.0,0.0
RSAD2,2296.024120261671,0.0,0.0
PDIA6,5814.7896871927915,0.0,0.0
SMC6,2820.487132817448,0.0,0.0
SDC1,7268.789665947257,0.0,0.0
PUM2,3135.289457915576,0.0,0.0
RHOB,2704.362190807887,0.0,0.0
ATAD2B,1598.2869044130716,0.0,0.0
ITSN2,4873.977690235493,0.0,0.0
HADHA,1486.2917180126894,0.0,0.0
OST4,2916.5149729153454,0.0,0.0
ATRAID,2332.255300969378,0.0,0.0
PPP1CB,2656.015128045379,0.0,0.0
LBH,3793.7486548037236,0.0,0.0
BIRC6,2172.9283878721735,0.0,0.0
EIF2AK2,4026.912983294564,0.0,0.0
CEBPZ,1987.1141509124163,0.0,0.0
PRKD3,1783.2514159706598,0.0,0.0
SRSF7,2692.913988971595,0.0,0.0
EML4,4665.328555560944,0.0,0.0
ZFP36L2,4228.458062784367,0.0,0.0
LRPPRC,2395.344025538014,0.0,0.0
PPM1B,1665.7686843252532,0.0,0.0
PRKCE,1674.8039667334212,0.0,0.0
TTC7A,1634.4211759670911,0.0,0.0
CALM2,3027.0563249375814,0.0,0.0
MSH6,1563.5461184223223,0.0,0.0
FOXN2,1455.067324001078,0.0,0.0
PPP1R21,1712.0155792847736,0.0,0.0
ERLEC1,5784.301714914838,0.0,0.0
ACYP2,1663.3210986533502,0.0,0.0
SPTBN1,1745.8474595652744,0.0,0.0
RPS27A,2903.4352875074806,0.0,0.0
CCDC88A,2397.7443825687005,0.0,0.0
BCL11A,5577.130750373011,0.0,0.0
REL,13914.812508094261,0.0,0.0
C2orf74,1796.2364436439855,0.0,0.0
USP34,3377.841025798189,0.0,0.0
XPO1,1545.7667365290934,0.0,0.0
CCT4,1692.675017804,0.0,0.0
MDH1,1652.888118948095,0.0,0.0
PELI1,1749.9992829069695,0.0,0.0
AC012368.1,1618.8568251548134,0.0,0.0
AFTPH,1810.907189159982,0.0,0.0
RAB1A,1526.653355373302,0.0,0.0
ACTR2,6718.435922598484,0.0,0.0
SPRED2,1923.6617812854802,0.0,0.0
C1D,1571.0794015333595,0.0,0.0
PPP3R1,2106.0298539243568,0.0,0.0
ARHGAP25,3409.943663341701,0.0,0.0
TIA1,1981.309356598839,0.0,0.0
