gene,H_statistic,p_value,FDR
HES4,3138.4572581456046,0.0,0.0
TNFRSF9,2492.2567130328375,0.0,0.0
TNFRSF1B,1636.0735376049129,0.0,0.0
RPL11,2174.241192024058,0.0,0.0
PNRC2,2944.5217322692656,0.0,0.0
SRSF10,2754.220181155724,0.0,0.0
SH3BGRL3,3431.8813262155145,0.0,0.0
CD52,2312.4232230181146,0.0,0.0
SNHG12,2132.0139742656584,0.0,0.0
SFPQ,1459.1111304589554,0.0,0.0
ZC3H12A,2505.8118435499887,0.0,0.0
RPS8,1877.1499489799771,0.0,0.0
JAK1,2020.270903397517,0.0,0.0
PDE4B,2418.469326388662,0.0,0.0
IFI44L,2375.6400133334037,0.0,0.0
GTF2B,1987.9968886267889,0.0,0.0
VCAM1,1888.8064852864443,0.0,0.0
GSTM2,1777.5018316279572,0.0,0.0
GSTM1,3141.062192378387,0.0,0.0
RHOC,1489.6000698874177,0.0,0.0
PTPN22,2186.168603922418,0.0,0.0
CD2,1806.8163461803165,0.0,0.0
CD160,3512.8791279203033,0.0,0.0
HIST2H2AA4,1544.1073839194148,0.0,0.0
MCL1,1854.2951912111012,0.0,0.0
C1orf56,2639.674433034197,0.0,0.0
S100A11,1547.0674165042544,0.0,0.0
S100A6,3849.7927125989318,0.0,0.0
S100A4,3340.7056605473263,0.0,0.0
RPS27,5690.48746709495,0.0,0.0
KRTCAP2,1792.9648991401996,0.0,0.0
LMNA,1831.0101739082788,0.0,0.0
SH2D2A,2636.302581805329,0.0,0.0
TAGLN2,1614.0105488277384,0.0,0.0
FCER1G,2143.328019450463,0.0,0.0
SH2D1B,1600.546167327467,0.0,0.0
XCL2,1832.5668076466907,0.0,0.0
XCL1,2368.0340041431746,0.0,0.0
SELL,1880.351884048817,0.0,0.0
PRRC2C,1496.7807863109215,0.0,0.0
IVNS1ABP,2162.544280667923,0.0,0.0
RGS1,1616.29647948853,0.0,0.0
PTPRC,2029.6658191342697,0.0,0.0
BTG2,1714.3794338190287,0.0,0.0
PPP1R15B,1486.7922155286733,0.0,0.0
CD55,2172.4971454504143,0.0,0.0
ATF3,1869.8947527688754,0.0,0.0
LYST,2345.899648908284,0.0,0.0
FOSL2,1696.4817948637901,0.0,0.0
YPEL5,2619.344413670177,0.0,0.0
SRSF7,1682.064865430817,0.0,0.0
ZFP36L2,4045.210965271353,0.0,0.0
RPS27A,3246.024849334407,0.0,0.0
REL,3794.7398491237172,0.0,0.0
TMSB10,2367.6489961529883,0.0,0.0
