gene,H_statistic,p_value,FDR
S100A6,2872.3089108886898,0.0,0.0
LMNA,2111.767689035581,0.0,0.0
RPL31,1575.6703915392316,0.0,0.0
SULT1C4,1875.6559659572945,0.0,0.0
FN1,2041.6111515461298,0.0,0.0
RBP1,1541.3723272949535,0.0,0.0
IGFBP7,1988.3391270159184,0.0,0.0
CD74,1620.5403992013153,0.0,0.0
HLA-A,2155.344463870768,0.0,0.0
HLA-C,1616.4821333434784,0.0,0.0
HLA-B,1844.1698385309335,0.0,0.0
AKAP12,1649.9985604218823,0.0,0.0
RAMP3,2216.4846669368576,0.0,0.0
POLR2J3,1807.7984472013288,0.0,0.0
GNG10,2362.321493876419,0.0,0.0
PDLIM1,1894.6854965525727,0.0,0.0
RPL27A,2029.3913085402905,0.0,0.0
CD59,3093.9384215547902,0.0,0.0
EEF1G,3846.776395487385,0.0,0.0
P2RY6,1449.5911809874315,0.0,0.0
PRSS23,1722.6529844031381,0.0,0.0
CARD16,1513.0117506527229,0.0,0.0
MGP,2566.7135689880774,0.0,0.0
RPL21,1730.6685250299568,0.0,0.0
IFI27,2587.075496046565,0.0,0.0
MEG3,3097.2868432559944,0.0,0.0
CRIP1,2164.638979049564,0.0,0.0
IGHA2,1798.6201101585846,0.0,0.0
IGHA1,2521.844029459267,0.0,0.0
IGHM,1798.9568499897764,0.0,0.0
B2M,1790.616976219791,0.0,0.0
RPS17,3696.7485264025895,0.0,0.0
ATP6V0C,1961.97208619839,0.0,0.0
RNASEK,3212.90280632098,0.0,0.0
C17orf49,1906.4669650566539,0.0,0.0
GABARAP,1653.6521038803153,0.0,0.0
EIF4A1,1930.0684773076866,0.0,0.0
NME2,2895.17048950876,0.0,0.0
RPL17,3675.853235799053,0.0,0.0
TRAPPC5,1761.5811654687336,0.0,0.0
RPL13A,1859.365792025254,0.0,0.0
GNAS,1460.838445889391,0.0,0.0
XIST,1601.5596607359741,0.0,0.0
RPL36A,2152.6516277543747,0.0,0.0
RPS4Y1,2243.0499176176363,0.0,0.0
MT-ND2,2984.798996207804,0.0,0.0
MT-ATP8,1517.949796605896,0.0,0.0
PSMA6,1438.9252028230383,1.0534718786102e-311,3.449242509216393e-309
ENG,1432.9511219927692,2.08437545784557e-310,6.685315243979781e-308
HLA-DRA,1419.0405639736252,2.1752036652252187e-307,6.837100160535907e-305
U2AF1,1416.6194273992262,7.292438362412079e-307,2.2472149275229067e-304
RPS20,1414.62280456693,1.9775527134427578e-306,5.976772777781996e-304
FABP4,1409.3539357317586,2.750674830195865e-305,8.156529364407209e-303
RELL1,1381.9998552559991,2.3716598762145298e-299,6.902408632331028e-297
IER5L,1345.7346069568691,1.7546284968647973e-291,5.013771173950392e-289
TMSB4X,1337.4640808103013,1.0933783163053305e-289,3.0684881462597455e-287
HLA-DRB1,1329.898937380746,4.789504423987265e-288,1.3205587987260327e-285
MYH10,1324.0385119226694,8.951755858828132e-287,2.4256171565059125e-284
MRPS24,1312.5451167674448,2.791110005131878e-284,7.43476014248349e-282
SPARC,1287.8622562606945,6.331052658329308e-279,1.6583137263050568e-276
DDX3Y,1257.8339153757256,2.0745899680119655e-272,5.344959989717385e-270
FAM107B,1239.6413747439722,1.8375269345807185e-268,4.6578344038500925e-266
ALDOA,1222.5063243987536,9.595001435897158e-265,2.393572104231107e-262
FAM167B,1205.1911532000288,5.481434110870067e-261,1.3460346638505307e-258
TCF15,1204.218589909717,8.910634288110688e-261,2.154454284183809e-258
S100A11,1198.3223722492112,1.695086858321077e-259,4.036361373541522e-257
FCN3,1196.5927550846448,4.022170027379237e-259,9.434690171685387e-257
TOMM5,1187.9813463526334,2.9705599587103765e-257,6.865488281042982e-255
TMSB10,1186.99695297923,4.857545995207284e-257,1.1063940994301112e-254
CD36,1179.8500553844176,1.725984267947627e-255,3.875081250723558e-253
EGLN2,1166.200071502643,1.5796853571782393e-252,3.496666911748339e-250
AQP1,1157.90544056506,9.958168979911816e-251,2.1736469956707513e-248
RPL30,1151.8013268259635,2.1014795638166147e-249,4.524226414375605e-247
ITM2C,1150.5602820772726,3.906437869697692e-249,8.296429400022828e-247
NNMT,1149.7528950004057,5.847236082626295e-249,1.225268830327398e-246
WARS,1145.5244972016858,4.834336422931698e-248,9.996898845104548e-246
