gene,H_statistic,p_value,FDR
ISG15,1859.9389736440328,0.0,0.0
RNF223,2864.8664085455966,0.0,0.0
MXRA8,3921.7024330032186,0.0,0.0
AURKAIP1,1681.4690889750234,0.0,0.0
MRPL20,4660.015058130521,0.0,0.0
SSU72,2847.8076057872727,0.0,0.0
CDK11A,1813.1978260217857,0.0,0.0
GNB1,2545.0414421522723,0.0,0.0
RER1,3646.771087407505,0.0,0.0
MEGF6,2230.0293886403147,0.0,0.0
TPRG1L,1509.265391529048,0.0,0.0
SMIM1,2048.8460279512983,0.0,0.0
RPL22,4942.8878638655715,0.0,0.0
ESPN,2108.59464395911,0.0,0.0
CAMTA1,4440.822301284159,0.0,0.0
VAMP3,1744.9723955325167,0.0,0.0
PARK7,6745.846583188294,0.0,0.0
ENO1,5302.556888575571,0.0,0.0
SRM,2318.365014947285,0.0,0.0
FBXO2,1945.4666540866267,0.0,0.0
KIAA2013,2428.46742469648,0.0,0.0
EFHD2,2006.2374104613941,0.0,0.0
EPHA2,1915.1763875380757,0.0,0.0
MFAP2,6275.472246610999,0.0,0.0
SDHB,5515.143743046954,0.0,0.0
AKR7A3,1588.3028076498638,0.0,0.0
AKR7A2,3957.637182400355,0.0,0.0
CAPZB,3941.4428866551293,0.0,0.0
NBL1,4832.135413704409,0.0,0.0
RNF186,1849.7191450507637,0.0,0.0
PLA2G2A,16650.34292632434,0.0,0.0
CAMK2N1,3520.6136907147406,0.0,0.0
DDOST,3919.1016512988062,0.0,0.0
CDC42,4498.567159436947,0.0,0.0
EPHB2,1480.6679233302239,0.0,0.0
HNRNPR,2320.900437362867,0.0,0.0
ID3,2146.8725633102163,0.0,0.0
RPL11,11264.907265068352,0.0,0.0
HMGCL,2777.041209674992,0.0,0.0
FUCA1,3165.196089153938,0.0,0.0
PNRC2,2294.18236019665,0.0,0.0
SRSF10,1763.9097897830654,0.0,0.0
SYF2,2321.0503747897524,0.0,0.0
TMEM50A,4057.1122948244406,0.0,0.0
STMN1,2943.1219374016537,0.0,0.0
SLC30A2,1459.7647454101282,0.0,0.0
ZNF593,1629.1895493596492,0.0,0.0
SH3BGRL3,3300.2816473294697,0.0,0.0
HMGN2,2444.9156939307745,0.0,0.0
NUDC,2544.914655015605,0.0,0.0
SLC9A1,2794.8586002240904,0.0,0.0
IFI6,5813.012790133627,0.0,0.0
DNAJC8,2736.1239878713304,0.0,0.0
SNHG12,7473.104662774155,0.0,0.0
SNRNP40,1556.400040831912,0.0,0.0
FABP3,2154.7071244246995,0.0,0.0
SERINC2,1613.1953189984135,0.0,0.0
PTP4A2,2592.6763685308056,0.0,0.0
EIF3I,4014.6970147635775,0.0,0.0
HDAC1,2055.8290757814543,0.0,0.0
TMEM54,3664.1138176488644,0.0,0.0
AK2,3090.9545421012012,0.0,0.0
SMIM12,1878.68778020819,0.0,0.0
PSMB2,4139.475991173918,0.0,0.0
TRAPPC3,2226.6956234175354,0.0,0.0
LSM10,1479.715508477775,0.0,0.0
MRPS15,2781.4699495994196,0.0,0.0
MEAF6,1579.1016540684957,0.0,0.0
RHBDL2,3393.7244998187793,0.0,0.0
NDUFS5,4524.59489495424,0.0,0.0
PPIE,1704.277280279319,0.0,0.0
CAP1,3852.3861907449777,0.0,0.0
ZMPSTE24,1811.9289813167413,0.0,0.0
COL9A2,2881.4878449750386,0.0,0.0
GUCA2B,1881.0738543450116,0.0,0.0
GUCA2A,3908.6501555063273,0.0,0.0
PPCS,3652.2354887649117,0.0,0.0
YBX1,4917.939926323637,0.0,0.0
EBNA1BP2,2457.989237894356,0.0,0.0
C1orf210,2094.774686903566,0.0,0.0
ATP6V0B,4298.694719590969,0.0,0.0
ERI3,1494.5294832260888,0.0,0.0
RPS8,5030.428976578261,0.0,0.0
PLK3,3070.055292506677,0.0,0.0
PTCH2,2706.966500507516,0.0,0.0
PRDX1,2978.4298747591106,0.0,0.0
AKR1A1,1857.701694145263,0.0,0.0
PIK3R3,3850.961470457863,0.0,0.0
TSPAN1,1924.7063248602096,0.0,0.0
UQCRH,10729.337017879476,0.0,0.0
ATPAF1,1574.533837058615,0.0,0.0
PDZK1IP1,6096.600591629793,0.0,0.0
CMPK1,3228.5411398974466,0.0,0.0
FOXD2,1842.114542558282,0.0,0.0
TXNDC12,2780.975565431424,0.0,0.0
BTF3L4,1521.2907594462856,0.0,0.0
PRPF38A,1918.3517819506403,0.0,0.0
SCP2,7220.011239931606,0.0,0.0
MAGOH,3292.5290012323153,0.0,0.0
HSPB11,1618.6919586434924,0.0,0.0
TMEM59,9804.317143013399,0.0,0.0
MRPL37,2513.7280744344307,0.0,0.0
DHCR24,1481.1552071397773,0.0,0.0
DAB1,1607.7763625708162,0.0,0.0
JUN,10175.76531655861,0.0,0.0
NFIA,1783.5025980082912,0.0,0.0
PGM1,1641.2427523911392,0.0,0.0
AK4,1654.761088750945,0.0,0.0
LEPROT,2059.1015013513625,0.0,0.0
SERBP1,4123.130796953076,0.0,0.0
GNG12,2188.8184801549432,0.0,0.0
ACADM,2663.6070831445295,0.0,0.0
GIPC2,1522.4079070114333,0.0,0.0
IFI44L,6366.450234013933,0.0,0.0
IFI44,2483.11957240455,0.0,0.0
RPF1,1727.4295230825396,0.0,0.0
GNG5,5026.049777487313,0.0,0.0
MCOLN3,3365.2137017810664,0.0,0.0
DDAH1,1869.3317449399856,0.0,0.0
SH3GLB1,1520.0155554487342,0.0,0.0
RPL5,13050.029267046157,0.0,0.0
SLC44A3,1876.615974495632,0.0,0.0
SNX7,2267.6824620694674,0.0,0.0
SLC35A3,2097.3024686758044,0.0,0.0
RNPC3,1676.7303252952543,0.0,0.0
KIAA1324,2052.7298153496613,0.0,0.0
SARS,2272.409681977655,0.0,0.0
PSMA5,3721.633609716506,0.0,0.0
GSTM4,1663.0212786987108,0.0,0.0
GSTM3,2389.3255866582163,0.0,0.0
AHCYL1,1495.7091768012974,0.0,0.0
LAMTOR5,7607.895702221033,0.0,0.0
DRAM2,1744.4001963119838,0.0,0.0
RAP1A,3482.203908203509,0.0,0.0
KCND3,1694.9546917025932,0.0,0.0
CAPZA1,2396.257758122206,0.0,0.0
RHOC,2192.3047050202804,0.0,0.0
BCL2L15,1621.6606985617454,0.0,0.0
BCAS2,1960.2763306905774,0.0,0.0
CSDE1,3609.6339128220948,0.0,0.0
PTGFRN,1456.5557628803308,0.0,0.0
PHGDH,5873.330321474423,0.0,0.0
HMGCS2,9065.942393822865,0.0,0.0
REG4,3807.931644674244,0.0,0.0
RBM8A,3206.6158395409784,0.0,0.0
TXNIP,6967.6251947938845,0.0,0.0
HIST2H2BF,3448.9480186111973,0.0,0.0
HIST2H2AA4,6488.571563715946,0.0,0.0
APH1A,2878.0539446949624,0.0,0.0
ENSA,2456.5176077682395,0.0,0.0
CTSS,4963.7199541411865,0.0,0.0
CERS2,1455.2835076283527,0.0,0.0
PSMD4,2868.571513776062,0.0,0.0
PSMB4,3270.381393654819,0.0,0.0
MRPL9,1826.6118915289778,0.0,0.0
S100A10,11830.05599680217,0.0,0.0
S100A11,4235.834716169934,0.0,0.0
S100A6,7347.340829622171,0.0,0.0
S100A16,5588.111566281633,0.0,0.0
S100A14,6311.801414520686,0.0,0.0
ILF2,2870.822686632869,0.0,0.0
JTB,4525.582480388649,0.0,0.0
RAB13,3724.507062089716,0.0,0.0
RPS27,3160.816351986288,0.0,0.0
C1orf43,1887.6495611777211,0.0,0.0
HAX1,1898.7731426440541,0.0,0.0
PMVK,2860.2749596138615,0.0,0.0
CKS1B,3311.867514379235,0.0,0.0
ADAM15,3235.2606656803814,0.0,0.0
EFNA1,1942.2721748394454,0.0,0.0
DPM3,2474.4932223561964,0.0,0.0
MUC1,7712.777921908995,0.0,0.0
MTX1,1787.664721152289,0.0,0.0
SSR2,5145.442200879555,0.0,0.0
LAMTOR2,4907.694687850184,0.0,0.0
RAB25,2844.9947468183314,0.0,0.0
LMNA,1648.110984542488,0.0,0.0
PMF1,2228.4867011254687,0.0,0.0
CCT3,3645.81004014672,0.0,0.0
MRPL24,2835.6474536057285,0.0,0.0
HDGF,2231.678037673348,0.0,0.0
DUSP23,2580.8882473327526,0.0,0.0
TAGLN2,2620.5501171979945,0.0,0.0
ITLN1,2963.4199899506316,0.0,0.0
TSTD1,6517.482120199898,0.0,0.0
PFDN2,3595.2414027579034,0.0,0.0
UFC1,4754.566173702828,0.0,0.0
NDUFS2,3489.299215425758,0.0,0.0
SDHC,5994.943337331306,0.0,0.0
MGST3,12100.15065162594,0.0,0.0
ALDH9A1,2256.7367492919952,0.0,0.0
TMCO1,4995.579303102883,0.0,0.0
GPA33,1950.3465886780934,0.0,0.0
MPZL1,1657.2258608389232,0.0,0.0
MPC2,10654.678665792768,0.0,0.0
FMO1,2061.9345331073223,0.0,0.0
PRDX6,10515.375867227907,0.0,0.0
CACYBP,4414.522127015467,0.0,0.0
MRPS14,2711.025747211937,0.0,0.0
QSOX1,2595.404623220762,0.0,0.0
DHX9,1473.3597016504423,0.0,0.0
ARPC5,2771.3998678011844,0.0,0.0
LAD1,1725.9250919161393,0.0,0.0
TIMM17A,2729.469272392056,0.0,0.0
RNPEP,2006.9419793729319,0.0,0.0
ELF3,14119.69898731164,0.0,0.0
PPP1R12B,2562.7752102591885,0.0,0.0
TMEM183A,2299.4374771781568,0.0,0.0
BTG2,1631.0193240971646,0.0,0.0
ZC3H11A,2834.2887520048384,0.0,0.0
SNRPE,5791.886225570494,0.0,0.0
GOLT1A,3517.1747734239707,0.0,0.0
NUAK2,1929.3031851380956,0.0,0.0
NUCKS1,1617.7203876443534,0.0,0.0
CTSE,1532.3340900460323,0.0,0.0
