gene,H_statistic,p_value,FDR
TMSB10,1824.681783632335,0.0,0.0
GNLY,1562.6440578860077,0.0,0.0
RPL31,2221.7524560058355,0.0,0.0
FGFBP2,1920.5373960344293,0.0,0.0
HLA-C,1570.994489404461,0.0,0.0
TNFAIP3,1676.7764094683885,0.0,0.0
RPS20,2231.358547991821,0.0,0.0
RPL7,2417.7173531515236,0.0,0.0
IFITM1,2555.7606598166863,0.0,0.0
RPLP2,1496.2337171917861,0.0,0.0
RPL27A,2833.6826453619683,0.0,0.0
EEF1G,3319.2942625264845,0.0,0.0
MALAT1,2708.0649449162293,0.0,0.0
KLRK1,1661.4891074534492,0.0,0.0
RPL41,3067.318369153427,0.0,0.0
RPL21,2919.0442630363655,0.0,0.0
GZMB,1451.709089940399,0.0,0.0
NFKBIA,1536.9864056318593,0.0,0.0
RPS29,1551.834034318285,0.0,0.0
RPS17,1506.3015307272892,0.0,0.0
ATP6V0C,2223.107917434357,0.0,0.0
RNASEK,2338.8798953585524,0.0,0.0
GABARAP,2076.9229246196846,0.0,0.0
EIF4A1,1777.8118459038217,0.0,0.0
NME2,1832.543365974047,0.0,0.0
RPL17,3038.8887971676363,0.0,0.0
ZFP36,2133.8348240579,0.0,0.0
RPL13A,2828.0765361969493,0.0,0.0
NKG7,1658.3968679364243,0.0,0.0
MIF,1523.9420213912297,0.0,0.0
TMSB4X,2138.795078065835,0.0,0.0
MT-ND2,1946.2104699682063,0.0,0.0
MT-ATP8,3073.0957662611067,0.0,0.0
MT-ND4L,3180.2188032405365,0.0,0.0
MT-ND4,1870.7817091808442,0.0,0.0
PNRC1,1438.8352152155637,2.6211214873877e-310,1.0669420632272042e-307
MT-CO2,1328.8915742073946,1.8112308924297235e-286,7.173453377747342e-284
RPS10,1322.4628646250585,4.485878185027159e-285,1.7298962874575785e-282
PRF1,1299.434751141874,4.412872669768269e-280,1.658108618020108e-277
CTSW,1288.172421956648,1.2204794206777237e-277,4.471226357652841e-275
FCGR3A,1286.4365640921997,2.903237022670778e-277,1.0376593982979898e-274
CD69,1279.3262981862845,1.0103080562921403e-275,3.52501291831072e-273
KLRF1,1186.2711789742882,1.507898236349051e-255,5.138776919874184e-253
B2M,1185.8760313182497,1.8366771045383678e-255,6.1169696113421e-253
FOS,1156.575505174999,4.12776007099057e-249,1.3441821351176847e-246
SQSTM1,1152.7993245942096,2.7182150894221493e-248,8.659287808780907e-246
ZFP36L1,1145.7635055791309,9.108322440444973e-247,2.8398586604740558e-244
MAP3K8,1144.4398583801008,1.7634518208529782e-246,5.3836714547457375e-244
RPL23A,1142.341385613063,5.026266343557169e-246,1.5031613673160561e-243
IL7R,1134.6035776250394,2.390796260822538e-244,7.006945681218694e-242
RELB,1128.0350342207796,6.344049085188248e-243,1.8228567704774233e-240
PLAC8,1124.0290613865188,4.685006244255659e-242,1.320270798140816e-239
SPON2,1119.078159719662,5.544611277100667e-241,1.5330327104647769e-238
AREG,1113.7536622922505,7.906849251794839e-240,2.1456846099222516e-237
