gene,H_statistic,p_value,FDR
ISG15,3845.400544362055,0.0,0.0
TNFRSF14,1877.5624159365761,0.0,0.0
RPL22,6998.573890371778,0.0,0.0
PDPN,7692.554396686496,0.0,0.0
MFAP2,7294.495658272353,0.0,0.0
NBL1,5184.036329845406,0.0,0.0
CAMK2N1,2313.9901162800397,0.0,0.0
HNRNPR,1981.6566082404,0.0,0.0
RPL11,6925.974539075594,0.0,0.0
PNRC2,2023.7817228778115,0.0,0.0
SRSF10,3239.4334501045564,0.0,0.0
STMN1,14045.343196768692,0.0,0.0
HMGN2,8367.023326007571,0.0,0.0
IFI6,2615.3333604841214,0.0,0.0
KHDRBS1,2797.6587029113207,0.0,0.0
MARCKSL1,7594.918692217552,0.0,0.0
SFPQ,2160.8825836375827,0.0,0.0
ZC3H12A,3223.652728929731,0.0,0.0
BMP8A,1721.4789850996603,0.0,0.0
RPS8,12543.618651410832,0.0,0.0
NASP,1884.1821862383217,0.0,0.0
UQCRH,1611.4018555131224,0.0,0.0
BEND5,2210.695165645139,0.0,0.0
GPX7,1641.0199276668718,0.0,0.0
TMEM59,2969.8748517464555,0.0,0.0
JUN,3740.5645726591074,0.0,0.0
PDE4B,3390.9139821186623,0.0,0.0
SGIP1,8385.027859910655,0.0,0.0
SERBP1,2268.519053459396,0.0,0.0
PTGER3,1968.6997522667195,0.0,0.0
DNAJB4,2289.2827401641493,0.0,0.0
GBP3,2465.7153705849373,0.0,0.0
GBP2,3386.8798894536085,0.0,0.0
GBP4,2309.4123293559223,0.0,0.0
RPL5,13764.80681132695,0.0,0.0
F3,5493.577491596335,0.0,0.0
VCAM1,2813.0344656793204,0.0,0.0
GSTM2,2739.6663991540972,0.0,0.0
GSTM5,1575.1198636498007,0.0,0.0
CHI3L2,2362.3629943095275,0.0,0.0
OLFML3,1676.770327337716,0.0,0.0
PHGDH,4064.1784040405387,0.0,0.0
NBPF10,1816.46253147179,0.0,0.0
ECM1,5934.367918976009,0.0,0.0
MCL1,3512.120004278285,0.0,0.0
CTSS,4316.436955559289,0.0,0.0
CTSK,13414.6801121293,0.0,0.0
MLLT11,3581.017605487239,0.0,0.0
S100A10,2593.2591360800757,0.0,0.0
S100A11,4672.621160855848,0.0,0.0
S100A6,19882.25050677569,0.0,0.0
S100A4,15151.479777436587,0.0,0.0
S100A3,3621.274556838908,0.0,0.0
S100A13,4936.740374479465,0.0,0.0
ILF2,2257.5283511350667,0.0,0.0
KRTCAP2,2017.9915073192922,0.0,0.0
SSR2,1455.1992462502776,0.0,0.0
MEX3A,2780.3738753029907,0.0,0.0
LMNA,6280.272382514884,0.0,0.0
CRABP2,2341.590631202576,0.0,0.0
TAGLN2,6704.1867248103745,0.0,0.0
ATP1B1,1980.5834611674784,0.0,0.0
PRRX1,4557.124913995531,0.0,0.0
CACYBP,2646.304552780598,0.0,0.0
ABL2,4999.767201883981,0.0,0.0
QSOX1,2928.6500993834497,0.0,0.0
PTGS2,4676.602934031627,0.0,0.0
CFH,8953.461946800242,0.0,0.0
CHI3L1,20903.46410960257,0.0,0.0
BTG2,1704.392709857947,0.0,0.0
ZC3H11A,2549.3783099763023,0.0,0.0
NUCKS1,2126.7080653368635,0.0,0.0
DYRK3,2827.364987291309,0.0,0.0
IL24,2952.990367069629,0.0,0.0
CD55,1528.7079885526095,0.0,0.0
HSD11B1,1574.6765564513767,0.0,0.0
ATF3,2654.985198686995,0.0,0.0
BATF3,1971.7607357260974,0.0,0.0
CENPF,1706.7343141592326,0.0,0.0
H3F3A,6722.223758446668,0.0,0.0
GUK1,2089.987162709773,0.0,0.0
