gene,H_statistic,p_value,FDR
C1QA,2917.0981654524026,0.0,0.0
C1QC,3208.1233951160175,0.0,0.0
C1QB,2617.892625434208,0.0,0.0
PNRC2,1884.7977853068796,0.0,0.0
SRSF10,1625.5241607853065,0.0,0.0
CTSS,1916.7155363197194,0.0,0.0
S100A9,3714.346437657353,0.0,0.0
S100A12,2643.5466208512325,0.0,0.0
S100A8,3673.3711950087513,0.0,0.0
S100A6,3446.445928402831,0.0,0.0
S100A4,2335.431992395529,0.0,0.0
RPS27,1596.801552827044,0.0,0.0
WBP1,1543.581123241407,0.0,0.0
SLC40A1,1450.8590580138912,0.0,0.0
DNASE1L3,1867.544137687218,0.0,0.0
CSTA,2076.2772178547834,0.0,0.0
CPA3,1597.744982639304,0.0,0.0
RPL9,1521.2736248127756,0.0,0.0
RPL34,2225.970184288947,0.0,0.0
VCAN,2118.42877422771,0.0,0.0
CD74,1741.758747486851,0.0,0.0
RAB24,1587.3808984048844,0.0,0.0
DDX39B,2542.877782244576,0.0,0.0
LST1,1702.806937155411,0.0,0.0
ABHD16A,1456.350445727577,0.0,0.0
HSPA1A,1671.8120341747986,0.0,0.0
HLA-DRB5,2279.3400845600036,0.0,0.0
HLA-DQA1,1678.6442148755593,0.0,0.0
HLA-DQB1,1731.1847685868447,0.0,0.0
HLA-DPA1,1626.4425420499688,0.0,0.0
RPS18,1460.0392797740271,0.0,0.0
RPS10,2065.531360813938,0.0,0.0
MRPS24,3205.242752755135,0.0,0.0
PPIA,1534.911605915185,0.0,0.0
HSPB1,1602.977321076896,0.0,0.0
RPS20,2830.0036874190837,0.0,0.0
RPL7,3781.8076689998315,0.0,0.0
RPL30,2463.885054441156,0.0,0.0
GNG10,2635.488404829339,0.0,0.0
RPL35,1559.539552168838,0.0,0.0
RPL7A,2052.0103336146863,0.0,0.0
FCN1,2248.464461299704,0.0,0.0
IFITM1,2859.135803273365,0.0,0.0
RPLP2,2123.871320476634,0.0,0.0
RPL27A,3546.794560655424,0.0,0.0
MS4A2,2606.5281301503937,0.0,0.0
EEF1G,7862.541419236537,0.0,0.0
NEAT1,2335.1899970274712,0.0,0.0
MALAT1,1650.9478345002485,0.0,0.0
POLD4,2760.0074863987875,0.0,0.0
FOLR2,1527.4235510580734,0.0,0.0
A2M,1682.1301764949662,0.0,0.0
RPL41,5101.354103721915,0.0,0.0
LYZ,2206.4999080860493,0.0,0.0
RPLP0,2044.7467305677192,0.0,0.0
RPL21,4868.536786980638,0.0,0.0
RNASE1,2229.360760037894,0.0,0.0
PSMA6,2842.361972854933,0.0,0.0
RPS29,1605.4407994723342,0.0,0.0
LGMN,2121.8765339200218,0.0,0.0
IGHA2,1717.5556216236596,0.0,0.0
IGHA1,2606.9895384813367,0.0,0.0
RPS17,4228.6545029852505,0.0,0.0
TPSD1,3374.466955012347,0.0,0.0
ATP6V0C,6726.312683206528,0.0,0.0
PAGR1,1644.7896354949044,0.0,0.0
RNASEK,6812.677992164883,0.0,0.0
C17orf49,3438.5940550672694,0.0,0.0
GABARAP,5798.837948079851,0.0,0.0
