gene,H_statistic,p_value,FDR
RPL22,1770.654210913185,0.0,0.0
RPL11,2028.583012334944,0.0,0.0
STMN1,2210.4178744513956,0.0,0.0
IFI6,1809.4795830853816,0.0,0.0
MARCKSL1,1989.1749470512705,0.0,0.0
RPS8,2303.5041535877203,0.0,0.0
GBP1,2188.35321033504,0.0,0.0
GBP2,2629.415602764366,0.0,0.0
GBP4,1527.2117842665439,0.0,0.0
RPL5,2280.054271595114,0.0,0.0
ECM1,1456.7349289205913,0.0,0.0
S100A10,2153.45443247334,0.0,0.0
S100A11,2259.1471790734745,0.0,0.0
S100A6,2549.1085120605044,0.0,0.0
S100A4,2639.2998340481804,0.0,0.0
RPS7,2021.6949218735413,0.0,0.0
RPS27A,1729.7805583820818,0.0,0.0
VAMP5,2950.4826435608325,0.0,0.0
ARHGAP15,1700.5458716023302,0.0,0.0
SCN7A,1514.6463114955218,0.0,0.0
GPR155,1982.386542179722,0.0,0.0
RPL32,1837.5321436402498,0.0,0.0
RPL15,1612.4417818191375,0.0,0.0
RPSA,1509.8787994879942,0.0,0.0
RPL14,1679.2441703068644,0.0,0.0
RPL29,1954.6849378593076,0.0,0.0
RPL24,1678.351736874605,0.0,0.0
IGFBP7,2314.974485615443,0.0,0.0
ARHGAP24,1492.1564163621567,0.0,0.0
SPARCL1,2181.6651421800716,0.0,0.0
RPS3A,2303.7755328077665,0.0,0.0
RPL37,1605.7031886964603,0.0,0.0
RPS23,2006.8929063812013,0.0,0.0
MYOT,2770.615722085142,0.0,0.0
CD74,4991.922926573833,0.0,0.0
GPX3,1653.4425190377985,0.0,0.0
NPM1,1647.9268237707963,0.0,0.0
NRN1,1929.7526894138016,0.0,0.0
HLA-F,2321.02067956194,0.0,0.0
HLA-A,3470.661670051316,0.0,0.0
HLA-E,1928.561551809654,0.0,0.0
HLA-C,3991.9887009074373,0.0,0.0
HLA-B,4705.5834832767205,0.0,0.0
HLA-DRA,5063.704410663907,0.0,0.0
HLA-DRB5,4589.012465905416,0.0,0.0
HLA-DRB1,4857.142556007004,0.0,0.0
HLA-DQA1,3907.9207179353566,0.0,0.0
HLA-DQB1,4155.357363841883,0.0,0.0
HLA-DQA2,1766.0927416429067,0.0,0.0
PSMB9,2595.90245610142,0.0,0.0
HLA-DMB,1921.5624918631206,0.0,0.0
HLA-DMA,3962.716240031497,0.0,0.0
HLA-DPA1,4111.267312632863,0.0,0.0
