gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.00021573376,0.0002904085,0.0,2.2740207,0.0001100393,0.000114934104,0.0,1.1548164,0.0,0.0,0.0,0.0,0.00020247577,0.00025048203,0.0,1.92595,0.0,0.0,0.0,0.0
LINC00115,0.01855501,0.0239388,0.0,2.8287072,0.012191429,0.016699152,0.0,2.6588748,0.004175906,0.0057459753,0.0,2.5147595,0.020678276,0.025843075,0.0,2.8654125,0.029304445,0.03647928,0.0,2.6663167
FAM41C,0.0031121804,0.0035862213,0.0,2.4759707,0.0074047036,0.010752745,0.0,2.5877733,0.010237508,0.014662043,0.0,2.146267,0.0021456394,0.0035355173,0.0,2.2755864,0.0003994412,0.0005831211,0.0,1.5187106
SAMD11,0.0013368529,0.0012734194,0.0,2.3215222,0.0052048233,0.0052922573,0.0,1.8907442,0.006833726,0.0073250877,0.0,2.0592318,0.0006093431,0.000576264,0.0,2.195094,3.0991956e-05,7.009026e-06,0.0,0.2262103
NOC2L,0.15120278,0.1737851,0.0,3.580001,0.1583147,0.18859266,0.0,2.966982,0.15806939,0.18925813,0.0,2.9085948,0.1793854,0.20589752,0.0,3.5027342,0.22823206,0.24622495,0.0,2.9118779
KLHL17,0.0038751306,0.005301871,0.0,2.663829,0.004144475,0.004908084,0.0,2.6750803,0.0031796575,0.0035708703,0.0,1.8594266,0.0047841016,0.0061717704,0.0,2.8050528,0.005050202,0.0062081013,0.0,2.6237786
PLEKHN1,0.0038303672,0.0038218505,0.0,2.2166584,0.012848656,0.013599017,0.0,2.4591775,0.016205922,0.018361611,0.0,2.3657956,0.004582972,0.0036663236,0.0,2.7877176,0.0042252014,0.004900603,0.0,2.800687
HES4,0.006504112,0.008618792,0.0,2.8101737,0.041509453,0.06369286,0.0,3.1461735,0.017278481,0.024379475,0.0,2.6249654,0.024112089,0.04170274,0.0,3.5859525,0.2170493,0.3698891,0.0,4.7009463
ISG15,0.21228892,0.26030776,0.0,4.9604125,0.296948,0.37738553,0.0,3.786921,0.2979089,0.39756104,0.0,4.8948255,0.22517926,0.26911443,0.0,3.9510107,0.884043,1.0226841,0.0,4.683453
AGRN,0.0018573854,0.0024382335,0.0,2.5231566,0.0015824845,0.0018563484,0.0,1.7114898,0.0021813787,0.002942425,0.0,2.131728,0.002328313,0.0030024375,0.0,2.4355497,0.0072582,0.010139916,0.0,2.5911927
RNF223,0.00013312539,0.00015301509,0.0,1.5285342,0.00029623954,0.0004189277,0.0,2.1661913,0.0,0.0,0.0,0.0,0.00025315964,0.0003806239,0.0,2.8622952,0.0010642179,0.001423751,0.0,1.6802341
C1orf159,0.010518588,0.01337789,0.0,2.7349663,0.012382521,0.015839694,0.0,2.431281,0.010657027,0.014163753,0.0,2.478969,0.0142039135,0.0179354,0.0,2.8939679,0.015918093,0.020269733,0.0,2.595773
TTLL10,0.00031506276,0.00031369575,0.0,1.4725213,0.00056919135,0.00061432883,0.0,1.536216,0.0013213098,0.0020745208,0.0,2.502318,6.968919e-05,6.818252e-05,0.0,1.3436116,0.00054088834,0.00086165906,0.0,2.1706495
TNFRSF18,0.18867841,0.20839036,0.0,3.7698345,0.1540776,0.17417446,0.0,3.027072,0.19569056,0.21644194,0.0,3.0269165,0.05693543,0.055175852,0.0,3.3509297,0.03637849,0.044304445,0.0,3.093432
TNFRSF4,0.11338965,0.11971772,0.0,3.559876,0.085625626,0.09178692,0.0,3.920859,0.102879904,0.1075667,0.0,2.9323938,0.033159398,0.02795061,0.0,2.7877176,0.008017095,0.007837975,0.0,2.0363026
SDF4,0.27491325,0.27317622,0.0,3.4345922,0.31315967,0.30545607,0.0,3.1185617,0.38259262,0.3751798,0.0,3.2169578,0.26527,0.26213416,0.0,3.1633656,0.26331198,0.2645883,0.0,2.848401
