gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.0004165671,0.0006434478,0.0,1.7867769,0.00015070969,0.00021189543,0.0,1.4062722,0.0,0.0,0.0,0.0,0.00086041976,0.0015413179,0.0,2.5753508,0.0,0.0,0.0,0.0
LINC00115,0.017473742,0.026063092,0.0,2.5911927,0.012747852,0.019528849,0.0,2.5992243,0.0049279593,0.008140739,0.0,2.4006271,0.025506698,0.039843082,0.0,2.8716798,0.028999029,0.03592364,0.0,2.3340514
FAM41C,0.0051916325,0.010662524,0.0,2.8219905,0.008425548,0.015219562,0.0,2.5074797,0.012540271,0.022547193,0.0,2.6508842,0.00031331927,0.00058468006,0.0,2.0598288,0.0,0.0,0.0,0.0
SAMD11,0.0010829499,0.0018251515,0.0,2.4870176,0.00044535048,0.0009250588,0.0,2.0921447,0.001078762,0.0022019574,0.0,2.256228,0.00066618284,0.00089173525,0.0,1.6682588,0.0,0.0,0.0,0.0
NOC2L,0.15433288,0.23379634,0.0,4.535187,0.16490687,0.24929887,0.0,3.0044668,0.15498738,0.25258204,0.0,2.9731224,0.18973874,0.25109038,0.0,2.8955812,0.23444933,0.2596418,0.0,2.9234643
KLHL17,0.005650918,0.008476648,0.0,2.5380533,0.006003324,0.009637038,0.0,2.6663167,0.004305941,0.007516253,0.0,2.5348392,0.008161369,0.012845673,0.0,2.7554133,0.017814226,0.03160813,0.0,2.8362303
PLEKHN1,0.0062713884,0.010541655,0.0,2.7417293,0.010021109,0.015843129,0.0,2.4621167,0.013803682,0.023825116,0.0,2.3298538,0.0067397873,0.009304626,0.0,2.8035953,0.017160472,0.022439843,0.0,2.4417539
HES4,0.07004709,0.12566422,0.0,3.8599632,0.19295757,0.35275012,0.0,3.8793628,0.13388653,0.263521,0.0,3.8001144,0.14832066,0.25655016,0.0,3.973568,0.6592877,1.0509143,0.0,4.397615
ISG15,0.5220315,0.82244796,0.0,4.862108,0.5267738,0.74395233,0.0,5.102107,0.60730386,0.9143047,0.0,4.9622684,0.43319067,0.54708683,0.0,4.193657,1.188942,1.4220626,0.0,4.725656
AGRN,0.0039582215,0.0064656767,0.0,2.7512858,0.003963641,0.0066880384,0.0,3.1558044,0.0023118139,0.0042662825,0.0,2.2771552,0.005472502,0.0075816736,0.0,2.357095,0.012403312,0.018014232,0.0,2.6084962
RNF223,0.00028788048,0.0004710528,0.0,2.2181168,0.0006565011,0.0013927772,0.0,2.4533293,0.0,0.0,0.0,0.0,0.00016706032,0.0001640193,0.0,1.010965,0.0,0.0,0.0,0.0
C1orf159,0.01669627,0.026895108,0.0,3.2898855,0.01298611,0.021163257,0.0,2.7116978,0.010656027,0.018491719,0.0,2.5753508,0.01879245,0.026738375,0.0,2.8748298,0.025851639,0.029372547,0.0,2.4417539
TTLL10,0.0007468304,0.0015626895,0.0,3.038826,0.0023704988,0.003934434,0.0,2.1747873,0.0016990339,0.0032404154,0.0,2.3754728,0.00038622986,0.00068483315,0.0,2.1065965,0.0015956304,0.0032751702,0.0,2.4749737
TNFRSF18,0.17713405,0.32176575,0.0,4.5240426,0.41263604,0.752227,0.0,4.209052,0.38840955,0.7843797,0.0,4.1822963,0.22573204,0.37412393,0.0,3.815133,0.38601637,0.59242135,0.0,3.4965076
TNFRSF4,0.35339937,0.6159226,0.0,5.7747087,0.63576525,1.1724335,0.0,5.482509,0.54625005,1.0862923,0.0,5.4730973,0.44503886,0.7216437,0.0,5.3952394,0.7322717,1.2859191,0.0,4.878179
SDF4,0.33182302,0.44415224,0.0,3.5601525,0.31811875,0.44645384,0.0,3.3392706,0.23153256,0.36710298,0.0,2.915999,0.4165813,0.47971877,0.0,3.3125494,0.5820433,0.54354733,0.0,3.0628002
B3GALT6,0.029157769,0.0440822,0.0,2.626154,0.04402883,0.06968163,0.0,2.965235,0.05014422,0.0810989,0.0,2.8907495,0.042201165,0.056329183,0.0,2.6864786,0.08095491,0.092548445,0.0,2.606169
UBE2J2,0.18228374,0.26884022,0.0,3.5296664,0.16664934,0.24738742,0.0,3.0579545,0.16869822,0.26946616,0.0,2.8693242,0.20620368,0.2610598,0.0,2.9251318,0.23450609,0.24671274,0.0,2.8182807
SCNN1D,0.0010318748,0.0014821328,0.0,2.089038,0.0022312936,0.0037386592,0.0,2.3510587,0.00072114007,0.0013015103,0.0,1.9703016,0.002124695,0.0035464822,0.0,2.8939679,0.0018327562,0.0031113762,0.0,2.200788
ACAP3,0.027910702,0.04522075,0.0,2.8748298,0.03632686,0.060083654,0.0,2.7934585,0.039091732,0.067136236,0.0,2.7834363,0.03353369,0.048850104,0.0,2.9251318,0.062616736,0.083883025,0.0,2.6688116
PUSL1,0.053903542,0.0838961,0.0,3.0210197,0.041514803,0.06316532,0.0,2.7242525,0.032534618,0.057311036,0.0,2.7784677,0.062018678,0.08273897,0.0,2.7805936,0.11303092,0.1253233,0.0,2.6688116
TAS1R3,0.0009612415,0.0017537492,0.0,2.270898,0.00033858482,0.00053964753,0.0,1.7322443,0.0002670933,0.0005332515,0.0,1.9967896,0.0007383373,0.0009865423,0.0,1.9493465,0.00050839206,0.0005859344,0.0,1.1530331
DVL1,0.008038572,0.013128224,0.0,2.7417293,0.009728198,0.016367601,0.0,2.5753508,0.010340806,0.0179519,0.0,2.5554028,0.010570622,0.015648298,0.0,2.6405444,0.012972339,0.017372295,0.0,2.3248446
MXRA8,0.00084382825,0.0015038953,0.0,2.2954166,0.002110394,0.003572711,0.0,2.1624384,0.0031547286,0.0054426813,0.0,2.4024532,0.00079254905,0.0010191514,0.0,1.7564029,0.0013042075,0.0023105561,0.0,2.1383035
AURKAIP1,0.43638736,0.5761208,0.0,3.7356803,0.42185998,0.55610025,0.0,3.505863,0.43780306,0.62111145,0.0,3.234365,0.47384068,0.50420177,0.0,3.29989,0.4958854,0.41332322,0.0,2.7905834
CCNL2,0.1548345,0.2338112,0.0,3.2832754,0.14578958,0.22086754,0.0,3.244574,0.09687446,0.16421334,0.0,3.047384,0.21995875,0.30548286,0.0,3.466479,0.28418806,0.356264,0.0,3.4148295
MRPL20,0.44093013,0.5873153,0.0,3.4417613,0.40294948,0.5357278,0.0,3.345412,0.38764936,0.5665915,0.0,3.2398481,0.51263696,0.5506236,0.0,3.341021,0.49683994,0.44922793,0.0,2.8654125
ANKRD65,0.00027492823,0.0005648985,0.0,2.357961,0.0001831414,0.00031293268,0.0,1.7088923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014288638,0.0024670293,0.0,2.038042
VWA1,0.0005135311,0.00082508166,0.0,2.2677875,0.001233412,0.0020851663,0.0,2.050332,0.0025803044,0.0050401334,0.0,2.254699,0.00033644013,0.00035139528,0.0,1.382556,0.0011722718,0.0015717837,0.0,1.4586917
ATAD3C,0.007946643,0.013028069,0.0,2.626154,0.009291327,0.01558618,0.0,2.5815396,0.011738024,0.020279715,0.0,2.3408122,0.0047908127,0.0067307814,0.0,2.3834753,0.008465962,0.010202232,0.0,2.1110485
ATAD3B,0.03414249,0.05197178,0.0,2.729593,0.035724737,0.054298766,0.0,2.9127007,0.026642008,0.044705153,0.0,2.4839904,0.058236808,0.08574082,0.0,3.1590374,0.06857168,0.0926786,0.0,2.7376652
ATAD3A,0.024600046,0.036436483,0.0,2.7417293,0.025671812,0.039650783,0.0,2.7862883,0.03093542,0.052532017,0.0,2.7735267,0.03646644,0.049760226,0.0,2.7992365,0.04830244,0.050079353,0.0,2.595773
