gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.000652627,0.00048480096,0.0,0.91249764,0.0011709997,0.001274021,0.0,1.2661365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
LINC00115,0.01916458,0.023982435,0.0,2.6915927,0.012249258,0.016640449,0.0,2.549943,0.008295685,0.0111095905,0.0,1.6318907,0.071056716,0.100872226,0.0,1.7992991,,,,
FAM41C,0.0073100035,0.008410754,0.0,2.2173874,0.012139624,0.012846901,0.0,2.357095,0.010299942,0.011178029,0.0,1.7647772,0.0,0.0,0.0,0.0,,,,
SAMD11,0.023838744,0.028634697,0.0,2.692876,0.012595936,0.013884401,0.0,2.6750803,0.0082990425,0.012226931,0.0,2.299441,0.0,0.0,0.0,0.0,,,,
NOC2L,0.2001143,0.22488451,0.0,2.978419,0.19093189,0.20617568,0.0,3.344972,0.18475847,0.23353745,0.0,3.0044668,0.14679424,0.18860921,0.0,1.7442198,,,,
KLHL17,0.011551494,0.014943919,0.0,2.5686498,0.008766146,0.010877534,0.0,2.4700055,0.008730051,0.009605567,0.0,1.5553873,0.0,0.0,0.0,0.0,,,,
PLEKHN1,0.00051446556,0.00043622,0.0,1.0211964,0.005670085,0.006632743,0.0,2.1651661,0.0010822845,0.0010998922,0.0,1.0173475,0.0,0.0,0.0,0.0,,,,
HES4,0.36914322,0.5079901,0.0,4.2170596,0.21954608,0.29391682,0.0,3.7386138,0.22167313,0.36592445,0.0,3.4659781,0.16239542,0.22144245,0.0,1.7712249,,,,
ISG15,0.6028469,0.7566438,0.0,4.2929015,0.90776426,0.9298394,0.0,4.6901364,1.0111201,0.9951343,0.0,3.7761867,0.71109843,0.81890875,0.0,2.7019117,,,,
AGRN,0.29785976,0.34339052,0.0,3.451373,0.1487699,0.1748424,0.0,3.2100859,0.09192363,0.1456438,0.0,3.0044668,0.22170322,0.18016605,0.0,1.3136184,,,,
RNF223,6.8728004e-05,2.8867958e-05,0.0,0.4201343,0.00015165586,0.00016261949,0.0,1.0725102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
C1orf159,0.032997057,0.041839913,0.0,2.6202278,0.030504825,0.036694776,0.0,2.6073318,0.023627168,0.03379874,0.0,2.3165638,0.04437188,0.068910226,0.0,1.5973877,,,,
TTLL10,0.014754662,0.019683693,0.0,2.7417293,0.021710683,0.028048733,0.0,2.5054111,0.0149400085,0.019595267,0.0,2.0216713,0.038108844,0.050829947,0.0,1.3719184,,,,
TNFRSF18,0.025698382,0.034431398,0.0,2.5608974,0.040639013,0.054370727,0.0,2.923742,0.06093164,0.08037557,0.0,2.4533293,0.0,0.0,0.0,0.0,,,,
TNFRSF4,0.39572927,0.54590553,0.0,5.5082803,0.5533407,0.68787915,0.0,4.3313503,0.39879814,0.56204283,0.0,3.4555228,0.4239398,0.64467835,0.0,2.5769217,,,,
SDF4,0.48954222,0.4970568,0.0,3.1345382,0.5921974,0.5176269,0.0,3.402584,0.55935955,0.58698976,0.0,3.8504086,0.57039285,0.6966754,0.0,2.7019117,,,,
B3GALT6,0.07087377,0.07915734,0.0,3.373107,0.055578552,0.060494576,0.0,3.228526,0.05269428,0.07122977,0.0,2.6393359,0.044841025,0.0343123,0.0,0.8555342,,,,
UBE2J2,0.2115596,0.22585046,0.0,2.7902246,0.22692224,0.22830567,0.0,3.2308571,0.25080132,0.3082846,0.0,3.1137543,0.18140136,0.19130182,0.0,1.7992991,,,,
