gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,6.223979e-05,7.484471e-05,0.0,1.5867883,0.00016840624,0.0002943617,0.0,1.9421482,0.0,0.0,0.0,0.0,0.00086257956,0.0015836617,0.0,2.1085014,0.0006167809,0.0015650486,0.0,2.5380533
LINC00115,0.023075351,0.029779082,0.0,2.9556878,0.024401248,0.03978134,0.0,3.2390628,0.008968016,0.009472128,0.0,2.3942668,0.059753392,0.11003595,0.0,3.5184834,0.08065989,0.15006573,0.0,2.8530083
FAM41C,0.007423398,0.007825236,0.0,2.6345193,0.0072522224,0.0064568417,0.0,2.4446328,0.0071032355,0.0065129083,0.0,2.615516,0.00018712289,0.00029013125,0.0,1.5506874,0.0,0.0,0.0,0.0
SAMD11,0.0072825104,0.011778124,0.0,3.1976185,0.0035756913,0.0059833787,0.0,3.7670786,0.0013623757,0.0016424069,0.0,2.9184804,0.0052174097,0.010680683,0.0,3.144047,0.004477269,0.009241182,0.0,2.7458122
NOC2L,0.17646961,0.17770164,0.0,3.5782306,0.18372796,0.20966083,0.0,3.5601525,0.18176427,0.15959601,0.0,3.1220114,0.19056927,0.3231253,0.0,3.1240873,0.16745368,0.2890046,0.0,3.4934096
KLHL17,0.0070605073,0.008944526,0.0,3.0210197,0.022302091,0.039237127,0.0,3.6385603,0.0054161563,0.0046863044,0.0,3.4872441,0.040115457,0.077918075,0.0,2.8748298,0.029610775,0.057529874,0.0,3.0072045
PLEKHN1,0.0017423758,0.002418243,0.0,2.696737,0.013170044,0.021245684,0.0,3.9425807,0.0027422311,0.0030185124,0.0,2.5391273,0.0053579635,0.011025955,0.0,2.8971977,0.027460685,0.05292497,0.0,2.7791758
HES4,0.2023778,0.2961916,0.0,4.457162,0.23109503,0.37174144,0.0,4.0365887,0.22178996,0.28697973,0.0,4.0917606,0.3214389,0.6582265,0.0,4.42169,0.3218164,0.6572443,0.0,4.2996554
ISG15,0.23409417,0.4112358,0.0,5.671472,0.41219187,0.75519425,0.0,5.9772635,0.27937746,0.45142516,0.0,5.7413754,0.19622672,0.4410492,0.0,5.6181026,0.666586,1.2514454,0.0,5.430541
AGRN,0.088112794,0.10708704,0.0,3.7359467,0.11799752,0.18287148,0.0,3.66972,0.049070038,0.044299223,0.0,2.6694365,0.18151897,0.34707633,0.0,3.2756903,0.28310454,0.51510173,0.0,3.5746486
RNF223,0.06740229,0.08424683,0.0,3.7096777,0.10214001,0.18213707,0.0,4.027974,0.030602925,0.03195851,0.0,4.0199957,0.34030277,0.62214977,0.0,3.9499695,0.44585633,0.7881482,0.0,4.340652
C1orf159,0.044066902,0.053937983,0.0,3.234365,0.086875446,0.13807882,0.0,3.6828535,0.037441313,0.03445407,0.0,2.7417293,0.17869346,0.32865706,0.0,3.599698,0.16708666,0.31195658,0.0,3.341021
TTLL10,0.008053738,0.008549049,0.0,2.7862883,0.008060311,0.010724738,0.0,2.9118779,0.0064099105,0.004576286,0.0,1.7103754,0.014625691,0.027310532,0.0,2.6309242,0.016752511,0.03523931,0.0,2.8654125
