gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001521861,0.0032037937,0.0,2.3248446,0.0,0.0,0.0,0.0
LINC00115,0.037185602,0.051667824,0.0,2.3701801,0.017659895,0.031477276,0.0,2.7058132,0.0074294936,0.014459492,0.0,2.2516496,0.0468308,0.0637685,0.0,2.460156,0.053930618,0.06615074,0.0,2.8453426
FAM41C,0.007593739,0.014508703,0.0,2.528447,0.013294376,0.028867155,0.0,2.6725674,0.029226342,0.05295321,0.0,2.1803377,0.0011920605,0.0019682196,0.0,1.8293965,0.0,0.0,0.0,0.0
SAMD11,0.029940505,0.040692262,0.0,2.2478545,0.004712156,0.00745223,0.0,1.9037514,0.0,0.0,0.0,0.0,0.028919559,0.038800895,0.0,2.5764725,0.0047524907,0.0047086338,0.0,1.0425875
NOC2L,0.18797818,0.25971517,0.0,2.7410505,0.18544322,0.30411106,0.0,2.7262514,0.19306897,0.33468673,0.0,2.8661933,0.21597798,0.2782002,0.0,2.6131697,0.24620174,0.2525721,0.0,3.2312462
KLHL17,0.009240907,0.013988777,0.0,2.2321055,0.007555339,0.013069468,0.0,2.2803018,0.0059987116,0.013002377,0.0,2.6993206,0.016292406,0.025557991,0.0,2.577596,0.0057646255,0.0057230773,0.0,1.3148127
PLEKHN1,0.047978073,0.06870717,0.0,2.2938123,0.011930366,0.020791782,0.0,2.1416118,0.0071508926,0.01368155,0.0,2.1383035,0.06369812,0.09174252,0.0,2.7255845,0.037395343,0.039947756,0.0,1.9056978
HES4,0.0947852,0.17947473,0.0,3.525746,0.09294705,0.18463303,0.0,3.0182397,0.052806627,0.107930064,0.0,2.9920979,0.09663916,0.18859243,0.0,3.3868086,0.69177324,1.037697,0.0,3.8469622
ISG15,0.5295594,0.7303811,0.0,3.8764663,0.54385287,0.8333454,0.0,3.3604977,0.63932544,0.9674395,0.0,4.267622,0.5008766,0.6313806,0.0,4.062903,1.3765419,1.443747,0.0,4.749406
AGRN,0.008970993,0.011753991,0.0,1.967121,0.003955402,0.0056589837,0.0,2.0622213,0.0,0.0,0.0,0.0,0.0067847976,0.009091698,0.0,1.9299668,0.008777172,0.008487975,0.0,1.2561662
RNF223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010527803,0.0020575435,0.0,2.3002484,0.0009212448,0.00053042447,0.0,0.57669926
C1orf159,0.019446641,0.0315956,0.0,2.6738229,0.009996044,0.016929701,0.0,2.127809,0.009876748,0.017183036,0.0,1.9918545,0.027673852,0.037081737,0.0,2.185927,0.039375555,0.042300195,0.0,1.7679937
TTLL10,0.015345656,0.024176592,0.0,2.5168512,0.0076842443,0.0127366185,0.0,1.9457388,0.024441076,0.048497785,0.0,2.5832353,0.013772618,0.019166874,0.0,2.3002484,0.0071989954,0.006912137,0.0,1.1902205
TNFRSF18,0.902828,1.1019061,0.0,3.9879663,0.526393,0.893845,0.0,3.8710444,0.534323,0.87508506,0.0,3.802467,0.996468,1.0564104,0.0,3.6871138,0.88760316,0.83848,0.0,3.4785786
TNFRSF4,0.5466176,0.8256035,0.0,3.573245,0.259029,0.4968515,0.0,3.7322912,0.20892401,0.38627073,0.0,3.4802036,0.59671646,0.8123596,0.0,3.714548,0.34066978,0.43616733,0.0,3.2112277
SDF4,0.4503037,0.534958,0.0,4.298382,0.43165097,0.6670466,0.0,3.2123709,0.39668503,0.63082075,0.0,3.116842,0.55445874,0.5758446,0.0,3.0228775,0.6744097,0.50693345,0.0,3.0136254
B3GALT6,0.07804768,0.10453941,0.0,2.390654,0.088976525,0.15914832,0.0,2.7485447,0.12684546,0.22867289,0.0,2.713668,0.066708945,0.09273802,0.0,2.6309242,0.08685009,0.11395178,0.0,2.573111
UBE2J2,0.18414754,0.25696796,0.0,2.7058132,0.17376104,0.29153398,0.0,2.6663167,0.23523374,0.3916677,0.0,2.7071173,0.22066417,0.2668927,0.0,2.7163024,0.22622237,0.23134659,0.0,2.4398398
SCNN1D,0.0009428712,0.0012374662,0.0,1.3134196,0.0032920605,0.007366888,0.0,2.6539488,0.0014718745,0.0022530528,0.0,1.5322214,0.0035852788,0.005415218,0.0,2.2662368,0.0012091623,0.00091379764,0.0,0.7569356
ACAP3,0.028079433,0.037511557,0.0,2.4690154,0.033630345,0.05911746,0.0,2.2577596,0.047752637,0.08776721,0.0,2.7693136,0.031267256,0.04309584,0.0,2.010108,0.040402606,0.046827145,0.0,2.208684
PUSL1,0.051157534,0.06935164,0.0,2.2358274,0.038098495,0.068033904,0.0,2.5792837,0.03991761,0.07361411,0.0,2.7071173,0.052651543,0.06836398,0.0,2.1097739,0.101459526,0.093829684,0.0,1.4044144
TAS1R3,0.003163102,0.006959812,0.0,2.2321055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013625688,0.0017853269,0.0,1.6285896,0.0012237412,0.00093595986,0.0,0.766062
DVL1,0.016738726,0.027929273,0.0,2.5168512,0.006715992,0.014559332,0.0,2.4153492,0.0054432624,0.010464863,0.0,2.1610782,0.021348225,0.027823675,0.0,1.7265224,0.015153566,0.016801754,0.0,1.4521409
MXRA8,0.0014917209,0.0015817243,0.0,1.1930938,0.0,0.0,0.0,0.0,0.0012533518,0.0016337124,0.0,1.3047392,0.002316467,0.00411123,0.0,2.511632,0.0,0.0,0.0,0.0
AURKAIP1,0.45356303,0.54959613,0.0,2.9061403,0.48619676,0.7188553,0.0,3.3331692,0.59389377,0.8151851,0.0,3.2874012,0.4911248,0.5249357,0.0,3.0598898,0.5272246,0.41770607,0.0,2.4398398
CCNL2,0.17518555,0.26073822,0.0,2.9195857,0.12343732,0.21810275,0.0,2.782014,0.102186814,0.17897922,0.0,2.4388847,0.1590003,0.20733523,0.0,2.6369243,0.24302469,0.2415947,0.0,2.3701801
MRPL20,0.46669137,0.5828264,0.0,3.1147823,0.40786478,0.6302938,0.0,3.1615596,0.48615757,0.71693254,0.0,3.1622815,0.5345393,0.5596506,0.0,2.9963024,0.5321922,0.41266435,0.0,2.6642432
ANKRD65,0.0014947929,0.003110326,0.0,2.0822465,0.0022911571,0.003612698,0.0,1.881255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004380443,0.004451597,0.0,1.1648862
VWA1,0.0025075616,0.0045898654,0.0,2.1350088,0.0011753798,0.0017503833,0.0,1.4903817,0.001764979,0.0032397558,0.0,1.8373431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAD3C,0.007988201,0.011572699,0.0,1.8594266,0.011136479,0.02023293,0.0,2.1590421,0.021905497,0.036022004,0.0,2.0185518,0.014226489,0.019784773,0.0,2.188033,0.007108655,0.0066335523,0.0,1.2286537
ATAD3B,0.056289256,0.08130347,0.0,2.4341242,0.03106266,0.04938124,0.0,2.1563354,0.029942498,0.060287748,0.0,2.6466115,0.053525645,0.07077598,0.0,2.464082,0.060963,0.06607662,0.0,2.4398398
ATAD3A,0.059705775,0.08120396,0.0,2.4779685,0.03771819,0.061948765,0.0,2.197936,0.048951767,0.08469456,0.0,2.4446328,0.03914969,0.04952189,0.0,2.0853262,0.094283305,0.09932322,0.0,2.4910707
SSU72,0.5171019,0.623752,0.0,3.5825472,0.5133882,0.74002665,0.0,3.083438,0.4601165,0.68713677,0.0,3.10761,0.5302517,0.5792438,0.0,3.0182397,0.5757431,0.43511036,0.0,2.3223517
AL645728.1,0.028697653,0.042008705,0.0,2.4650664,0.013805069,0.023646483,0.0,2.3165638,0.024884645,0.04200579,0.0,2.297829,0.032311138,0.046886515,0.0,2.4670386,0.011729362,0.012565475,0.0,1.3556689
MIB2,0.24812412,0.36487392,0.0,3.482137,0.37736592,0.6306246,0.0,3.004163,0.35014024,0.56846917,0.0,2.8674965,0.19922452,0.2708764,0.0,3.232025,0.3064705,0.29171202,0.0,2.4910707
MMP23B,0.06612347,0.111536905,0.0,2.911056,0.1615244,0.28830028,0.0,2.6539488,0.13688248,0.24310482,0.0,2.9343588,0.052772723,0.07590754,0.0,2.4951432,0.122915715,0.14293326,0.0,1.904724
CDK11B,0.12364698,0.17219491,0.0,2.563105,0.09500404,0.16279861,0.0,2.8732533,0.075728126,0.13431291,0.0,2.4910707,0.14273074,0.19075546,0.0,2.7019117,0.20704283,0.21094191,0.0,2.4153492
SLC35E2B,0.09328383,0.13347341,0.0,2.7149842,0.092714496,0.16875517,0.0,2.6453948,0.06559775,0.1249146,0.0,2.662588,0.090448365,0.118388414,0.0,2.3132746,0.10250379,0.12240509,0.0,2.573111
CDK11A,0.114264496,0.15254313,0.0,2.549943,0.06359349,0.112504885,0.0,2.6539488,0.061107915,0.1139843,0.0,2.5575964,0.15239957,0.20034888,0.0,2.681394,0.1892049,0.1943546,0.0,2.2306216
NADK,0.09117063,0.13151711,0.0,2.911056,0.08404962,0.14917056,0.0,2.6663167,0.116526514,0.20390384,0.0,2.565873,0.087472655,0.115193374,0.0,2.449453,0.16826345,0.17592725,0.0,2.573111
GNB1,0.2824451,0.37953225,0.0,3.2568953,0.21458039,0.35569346,0.0,2.7269187,0.24673904,0.41326025,0.0,2.9428298,0.22533385,0.27888787,0.0,2.6225934,0.21963827,0.23431434,0.0,2.339964
TMEM52,0.0023421715,0.003819109,0.0,1.682013,0.0010519343,0.0014019882,0.0,1.3338528,0.0,0.0,0.0,0.0,0.0006221331,0.0005820689,0.0,1.121108,0.006398844,0.010604501,0.0,2.1901448
GABRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ,0.0705176,0.09342298,0.0,2.5273862,0.035705153,0.061163582,0.0,2.4779685,0.046874303,0.088892944,0.0,2.7403724,0.09512849,0.12451088,0.0,2.4051998,0.099908285,0.10386474,0.0,2.0497425
