gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.007969799,0.010290893,0.0,2.4992356,0.0033846041,0.004103557,0.0,2.317388,0.00085811596,0.0018613875,0.0,2.606169,0.0015661146,0.0012950331,0.0,0.82847464,0.0,0.0,0.0,0.0
LINC00115,0.020448772,0.027422685,0.0,2.8507018,0.011629456,0.016148783,0.0,2.7123542,0.023313671,0.034733795,0.0,2.4739776,0.07618697,0.09564838,0.0,2.299441,0.027197544,0.042903006,0.0,1.604655
FAM41C,0.006881489,0.008605099,0.0,3.1677144,0.01210857,0.014440221,0.0,2.6675632,0.008415442,0.01323776,0.0,2.2779405,0.0023790298,0.0029883457,0.0,1.2585068,0.026769618,0.041563578,0.0,1.5794075
SAMD11,0.22008185,0.29984158,0.0,3.5832274,0.32462677,0.3882421,0.0,3.1731794,0.31342375,0.40186903,0.0,3.4570093,0.34208566,0.442349,0.0,3.148305,0.39113653,0.46575612,0.0,2.270898
NOC2L,0.21887371,0.26371095,0.0,3.4694893,0.228232,0.27048108,0.0,3.461483,0.21903197,0.28782636,0.0,4.237298,0.27357483,0.33373854,0.0,2.7363145,0.1975817,0.26240695,0.0,2.1600595
KLHL17,0.013454777,0.01790289,0.0,2.8028674,0.013621595,0.017083276,0.0,2.7189443,0.009237284,0.012842327,0.0,2.418139,0.015372985,0.029051555,0.0,2.6478302,0.0,0.0,0.0,0.0
PLEKHN1,0.0061979936,0.009002233,0.0,2.6776004,0.023651335,0.030945009,0.0,3.204398,0.015902411,0.019735692,0.0,2.2631438,0.008839204,0.009563829,0.0,1.4206275,0.03506507,0.07131458,0.0,2.068839
HES4,0.40437713,0.5566383,0.0,4.1388144,0.43006447,0.5499181,0.0,3.721409,0.27947652,0.41480225,0.0,4.3267326,0.29567462,0.43559825,0.0,3.2791677,0.48282585,0.6941049,0.0,2.9499505
ISG15,0.38496047,0.5073238,0.0,4.9976096,0.7997295,0.8642073,0.0,5.3721886,0.7275202,0.86544114,0.0,4.3838573,0.35256633,0.4431757,0.0,3.199873,1.3333173,2.3408473,0.0,4.1455193
AGRN,0.12291927,0.15937808,0.0,3.7446423,0.06962918,0.089423835,0.0,2.8087075,0.03165924,0.04729438,0.0,2.5210495,0.104467094,0.143111,0.0,2.7363145,0.42629692,0.5537851,0.0,2.7651205
RNF223,0.0003865101,0.00057525496,0.0,2.2662368,8.784484e-05,0.00011462095,0.0,1.3049351,0.00027686535,0.00031171142,0.0,1.1260114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf159,0.028565409,0.036410846,0.0,2.9909003,0.023961512,0.029719362,0.0,2.6663167,0.018260185,0.025170177,0.0,2.3091817,0.032235563,0.0431565,0.0,2.4015396,0.033154123,0.06375335,0.0,1.9560932
TTLL10,0.00022018573,0.00023703511,0.0,1.6455964,0.00042282976,0.0005650281,0.0,1.7851238,0.00076358125,0.001199706,0.0,1.7253836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF18,0.004153819,0.0056557087,0.0,2.5456004,0.0184802,0.02299807,0.0,3.3542564,0.020197343,0.026421541,0.0,2.37902,0.0039828517,0.0029861175,0.0,0.90894425,0.028995708,0.048763502,0.0,1.7107468
TNFRSF4,0.007759931,0.010883547,0.0,2.7390177,0.028914535,0.03861632,0.0,2.913004,0.020385189,0.03096079,0.0,2.7149842,0.02804627,0.036513794,0.0,1.9581814,0.0,0.0,0.0,0.0
SDF4,0.40116414,0.44062015,0.0,3.9800742,0.52398163,0.48631224,0.0,3.1622815,0.547097,0.59603417,0.0,3.4515703,0.65129966,0.5575174,0.0,2.7934585,0.45211917,0.5412639,0.0,2.4470394
B3GALT6,0.063445926,0.07674481,0.0,2.8971977,0.04346876,0.050665557,0.0,2.6478302,0.051502336,0.07749819,0.0,2.8955812,0.050371204,0.07445435,0.0,2.5002618,0.038358368,0.085339256,0.0,2.2631438
UBE2J2,0.20143813,0.2318532,0.0,3.6579916,0.19264725,0.2025008,0.0,3.250913,0.20855996,0.2674644,0.0,3.326245,0.19983347,0.22946264,0.0,2.6750803,0.26629397,0.3268307,0.0,2.285838
SCNN1D,0.009188517,0.012110517,0.0,2.7229226,0.0043035867,0.0060584163,0.0,2.6453948,0.002927531,0.005079211,0.0,2.418139,0.011981228,0.012686359,0.0,1.2266064,0.0,0.0,0.0,0.0
ACAP3,0.08276642,0.1083488,0.0,3.527526,0.091756664,0.11876215,0.0,3.1376967,0.06448398,0.08506289,0.0,3.2714128,0.08465422,0.11940207,0.0,2.3745885,0.19760358,0.38100052,0.0,2.9168253
PUSL1,0.044488475,0.055781834,0.0,3.439325,0.052199945,0.057836667,0.0,3.144047,0.060323767,0.07913172,0.0,2.8622952,0.05443767,0.06093746,0.0,2.2539356,0.0,0.0,0.0,0.0
TAS1R3,0.000468875,0.0005194583,0.0,1.9984417,0.00038523745,0.0005693802,0.0,2.0034199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVL1,0.047281362,0.06007785,0.0,2.8227344,0.036447965,0.047568765,0.0,2.6225934,0.021546705,0.031393923,0.0,2.5742302,0.06723731,0.10351431,0.0,2.6750803,0.043479975,0.1096495,0.0,2.5653186
MXRA8,0.57838005,0.6078867,0.0,3.6121418,0.65614414,0.6213356,0.0,3.4857092,0.64518636,0.7219134,0.0,3.3997808,0.8910353,0.778127,0.0,3.0275393,1.0161114,0.9426097,0.0,3.8208473
AURKAIP1,0.49274695,0.4942539,0.0,4.793809,0.59796214,0.5348338,0.0,3.58766,0.6430226,0.6806904,0.0,4.385461,0.45887145,0.46689653,0.0,2.8499343,0.4296763,0.5810555,0.0,2.9020646
CCNL2,0.3085726,0.36294562,0.0,3.396056,0.29133475,0.34637505,0.0,3.2907152,0.18592598,0.2508239,0.0,3.2234955,0.33265737,0.44991294,0.0,3.1893997,0.28896162,0.4919759,0.0,2.7651205
MRPL20,0.4766535,0.49221787,0.0,4.5532537,0.524775,0.49749038,0.0,3.8918204,0.5764324,0.63722426,0.0,3.489808,0.5344199,0.51588917,0.0,2.6044276,0.5571886,0.5472304,0.0,2.5434372
ANKRD65,0.06479463,0.08401185,0.0,3.0256717,0.052235927,0.061120357,0.0,2.8094404,0.070892826,0.09746839,0.0,3.2457592,0.090647675,0.10858333,0.0,2.4572234,0.040624257,0.032704063,0.0,0.93813443
VWA1,0.13376641,0.16603939,0.0,3.4446933,0.09808587,0.11512724,0.0,3.4872441,0.11006592,0.15025425,0.0,3.356926,0.09384866,0.12394047,0.0,2.193677,0.19785577,0.36023986,0.0,2.8175406
