gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.0019704686,0.002699527,0.0,1.7442198,0.00010359565,5.449667e-05,0.0,0.5261623,0.0005396182,0.0007046293,0.0,1.5573063,0.00046215867,0.00041716156,0.0,0.90305805,0.0,0.0,0.0,0.0
LINC00115,0.014052705,0.019432886,0.0,2.2343366,0.014211756,0.024534812,0.0,2.519998,0.010547398,0.018599018,0.0,2.4890418,0.024205258,0.02432653,0.0,2.2986348,0.02909567,0.04107918,0.0,2.1631196
FAM41C,0.02485007,0.034857947,0.0,2.5923355,0.015815396,0.024226194,0.0,2.6607294,0.012749962,0.020905051,0.0,2.479971,0.0004612253,0.00021880196,0.0,0.55513155,0.0,0.0,0.0,0.0
SAMD11,0.003235502,0.0037414082,0.0,2.3374248,0.000622939,0.0011320947,0.0,2.1929693,0.001240539,0.0018638631,0.0,1.8494285,0.00035747956,0.00024957594,0.0,0.69851506,0.0,0.0,0.0,0.0
NOC2L,0.11152298,0.13665669,0.0,3.1688046,0.07383795,0.11291796,0.0,2.813113,0.08785838,0.12887406,0.0,2.7163024,0.13301659,0.15211435,0.0,2.6393359,0.13800478,0.16526262,0.0,2.4660518
KLHL17,0.0057417355,0.00712274,0.0,2.2834606,0.0022017688,0.002731843,0.0,1.853502,0.0072317575,0.013798224,0.0,2.5327032,0.0032321801,0.0027124968,0.0,1.2016445,0.0,0.0,0.0,0.0
PLEKHN1,0.00045266154,0.0004786977,0.0,1.1791918,0.002009822,0.0028232455,0.0,2.1330388,0.0012525237,0.0019512129,0.0,2.071866,0.0030171117,0.0039324393,0.0,2.0089893,0.0017842102,0.00085952075,0.0,0.48352095
HES4,0.28540123,0.43212917,0.0,3.8168685,0.20921263,0.35503888,0.0,3.5393586,0.2552546,0.39625287,0.0,3.5137308,0.08871767,0.1359845,0.0,3.0653656,0.6209065,0.9958923,0.0,4.3378525
ISG15,0.57776105,0.8406253,0.0,4.7473454,0.45632732,0.7422877,0.0,4.7975955,0.7206909,1.1272035,0.0,5.221299,0.36510065,0.5036138,0.0,4.020779,1.0732939,1.7332904,0.0,4.6576123
AGRN,0.010780468,0.012541247,0.0,2.417208,0.0071675144,0.01030002,0.0,2.554308,0.008572796,0.012328267,0.0,2.4484868,0.0131728,0.016793212,0.0,2.299441,0.018260583,0.021393368,0.0,1.916002
RNF223,0.000308204,0.00022392209,0.0,0.8243551,0.0,0.0,0.0,0.0,0.00052714493,0.0012354844,0.0,2.3442135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf159,0.014394876,0.017809745,0.0,2.1496089,0.0074091177,0.011525769,0.0,2.4042833,0.010115237,0.015401948,0.0,2.528447,0.011216694,0.016796818,0.0,3.1387522,0.020945746,0.032508645,0.0,2.5054111
TTLL10,0.0012889723,0.0019927397,0.0,2.1291132,0.0013906464,0.0020975673,0.0,1.8077706,0.00052219804,0.000436867,0.0,1.0627427,0.0022432024,0.0036864032,0.0,2.1922622,0.011861062,0.013814335,0.0,1.3621154
TNFRSF18,0.018299818,0.029048892,0.0,2.6909518,0.030192468,0.056479715,0.0,3.3471742,0.02379445,0.03968713,0.0,2.8116422,0.021524087,0.030587904,0.0,2.5375168,0.020889591,0.014145821,0.0,0.95168793
TNFRSF4,0.038918547,0.06046663,0.0,3.3496025,0.058634818,0.11180121,0.0,3.1842077,0.04507578,0.08212339,0.0,2.8821177,0.07164447,0.12021464,0.0,3.1775749,0.12757288,0.2227739,0.0,3.1568809
SDF4,0.24471176,0.27652583,0.0,3.0483398,0.17085923,0.25239998,0.0,3.021948,0.1879986,0.26577592,0.0,3.021948,0.30305725,0.3149354,0.0,2.889145,0.34185353,0.38827112,0.0,2.580975
B3GALT6,0.047549516,0.060509145,0.0,2.7992365,0.041682485,0.0626273,0.0,2.6381292,0.041290272,0.062058102,0.0,2.7103868,0.031691954,0.03182858,0.0,2.417208,0.045934882,0.048621677,0.0,1.9756327
UBE2J2,0.14045796,0.16291481,0.0,3.1808853,0.10312211,0.15479514,0.0,2.6663167,0.103419565,0.14957204,0.0,3.085428,0.13421865,0.14145645,0.0,2.5369806,0.18724446,0.25080204,0.0,2.9436815
SCNN1D,0.0015266163,0.00233069,0.0,1.9125514,0.00088767015,0.0013891733,0.0,1.9365404,0.001286264,0.002526712,0.0,2.222508,0.0014381959,0.0023201082,0.0,1.9477983,0.0,0.0,0.0,0.0
ACAP3,0.029802496,0.037341878,0.0,2.5221024,0.046044342,0.08045778,0.0,2.6225934,0.043456994,0.075474896,0.0,3.0445225,0.032688804,0.045658406,0.0,2.85147,0.031540584,0.054222673,0.0,2.3969865
PUSL1,0.046680335,0.05415954,0.0,2.6237786,0.033665974,0.05246063,0.0,2.464082,0.04693004,0.07371027,0.0,2.5980725,0.03971312,0.041221663,0.0,2.5708776,0.03644496,0.031802375,0.0,1.7026241
TAS1R3,0.0,0.0,0.0,0.0,0.0002022336,0.00020765427,0.0,1.0271444,0.00029313375,0.0003820589,0.0,1.3035657,0.0,0.0,0.0,0.0,0.00826138,0.01097853,0.0,1.6131281
DVL1,0.016623413,0.020574713,0.0,2.6084962,0.013808445,0.025318624,0.0,2.5742302,0.008085603,0.0114239855,0.0,2.2771552,0.012838992,0.016005365,0.0,2.3256774,0.01199338,0.007057128,0.0,0.8076113
MXRA8,0.0069409697,0.00898377,0.0,2.3623042,0.001625632,0.0029617108,0.0,2.3067355,0.00028983192,0.00018883741,0.0,0.71381956,0.0008978626,0.001574353,0.0,1.7544235,0.0,0.0,0.0,0.0
AURKAIP1,0.5773777,0.5925279,0.0,3.379476,0.50837725,0.6825591,0.0,3.4091578,0.54936963,0.69460624,0.0,3.2812192,0.46680912,0.49724042,0.0,3.2238812,0.53865856,0.6371926,0.0,3.1630042
CCNL2,0.10874089,0.14413127,0.0,3.3722007,0.058439936,0.09531743,0.0,2.7905834,0.05962271,0.09199645,0.0,3.0765066,0.123744436,0.15111034,0.0,3.0569885,0.12015362,0.14422484,0.0,2.5054111
MRPL20,0.5648208,0.5920067,0.0,3.5816977,0.4180409,0.59037626,0.0,3.3965206,0.47032496,0.62543505,0.0,4.3075733,0.54363334,0.5752425,0.0,3.3061981,0.4253619,0.44889712,0.0,2.5627367
ANKRD65,0.00785635,0.009636658,0.0,3.0322251,0.0031487013,0.0034378914,0.0,1.8993901,0.008920011,0.009474278,0.0,2.3657956,0.007888952,0.008980486,0.0,2.285838,0.010053296,0.006051479,0.0,0.8928014
VWA1,0.003887016,0.005343341,0.0,2.297829,0.00089978665,0.0015440362,0.0,2.1129642,0.0018635677,0.0026561806,0.0,1.8686359,0.001815127,0.0014352492,0.0,0.9911536,0.0,0.0,0.0,0.0
ATAD3C,0.011849703,0.016010158,0.0,2.3666706,0.005434866,0.008595797,0.0,2.5210495,0.009227218,0.014850703,0.0,2.4079556,0.0020591856,0.0029882502,0.0,1.6630416,0.0,0.0,0.0,0.0
ATAD3B,0.037909094,0.047457118,0.0,2.4079556,0.017506232,0.026845215,0.0,2.7471774,0.020255826,0.03299534,0.0,2.5137157,0.0335257,0.03556099,0.0,2.8407748,0.029468609,0.046719074,0.0,2.606169
ATAD3A,0.04232829,0.05258642,0.0,2.5900514,0.02696954,0.04154106,0.0,2.423746,0.035418585,0.05077436,0.0,2.6108298,0.03313215,0.03502728,0.0,2.4931047,0.03907833,0.043669645,0.0,2.1734056
SSU72,0.45901754,0.49353784,0.0,3.6619263,0.47480565,0.6603754,0.0,3.247342,0.44719493,0.5959617,0.0,3.3914208,0.49327296,0.51179945,0.0,3.0435705,0.45309117,0.54004943,0.0,3.0760136
AL645728.1,0.010421588,0.012340326,0.0,2.0676317,0.012804628,0.022201898,0.0,2.546684,0.011024615,0.017544465,0.0,2.5137157,0.01010195,0.01442118,0.0,2.472983,0.029512389,0.05858082,0.0,2.3657956
MIB2,0.049902987,0.06995143,0.0,3.4949572,0.04494197,0.07449327,0.0,2.5327032,0.040518865,0.06758172,0.0,2.609662,0.057891943,0.085430674,0.0,2.7905834,0.052642934,0.09536731,0.0,2.6490505
MMP23B,0.0052886233,0.00740552,0.0,2.5434372,0.0048374846,0.008435551,0.0,2.35623,0.006704523,0.0096997265,0.0,2.417208,0.010455983,0.013529989,0.0,2.2247128,0.01819913,0.023369253,0.0,1.722356
CDK11B,0.06430264,0.07932934,0.0,2.5642111,0.048028864,0.07897591,0.0,2.579847,0.048791725,0.07584468,0.0,2.4951432,0.11433492,0.14288422,0.0,2.6750803,0.13398203,0.18498276,0.0,2.842295
SLC35E2B,0.04306254,0.058306694,0.0,2.8317087,0.05625958,0.09178795,0.0,2.7891493,0.05532955,0.08740065,0.0,2.6514962,0.05864643,0.06979681,0.0,3.0579545,0.086689666,0.14403482,0.0,2.8123772
CDK11A,0.05543576,0.07257754,0.0,2.7992365,0.031311028,0.052246828,0.0,2.696737,0.022007542,0.035041265,0.0,2.5664275,0.11727645,0.13837366,0.0,2.546684,0.06138056,0.068573885,0.0,2.288222
NADK,0.1657872,0.20350534,0.0,3.144401,0.154729,0.2501014,0.0,3.0062912,0.15276252,0.22989391,0.0,3.2013788,0.16815673,0.1969734,0.0,2.7471774,0.17964023,0.24772239,0.0,2.842295
GNB1,0.3510948,0.3842203,0.0,3.021948,0.29338956,0.43570724,0.0,3.2127523,0.33766478,0.47072163,0.0,3.3697882,0.25289187,0.26626483,0.0,2.9574163,0.24457781,0.32288313,0.0,2.6429663
TMEM52,0.00041955468,0.00041240136,0.0,1.1028973,0.00084457756,0.00092640624,0.0,1.3216275,0.0011893624,0.0018671912,0.0,2.2015028,0.00054568256,0.00031206128,0.0,0.67785585,0.0,0.0,0.0,0.0
GABRD,0.00033153166,0.0005043993,0.0,1.5220618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ,0.013795626,0.019613871,0.0,2.7651205,0.007825921,0.013001057,0.0,2.5620005,0.009595895,0.016485916,0.0,2.5532148,0.022761405,0.034828268,0.0,2.6601107,0.023226496,0.029011453,0.0,1.7122338
SKI,0.06719002,0.09182611,0.0,2.9326742,0.0450682,0.07571398,0.0,2.7471774,0.044945296,0.0736486,0.0,2.633919,0.03984933,0.053847115,0.0,2.5231566,0.053126037,0.09835333,0.0,2.5866365
MORN1,0.00432085,0.004590278,0.0,1.616192,0.0041923104,0.0062940125,0.0,2.554308,0.003428805,0.006235791,0.0,2.4379303,0.0062366673,0.006384412,0.0,2.2388175,0.0067815394,0.00790048,0.0,1.4009464
RER1,0.4391171,0.4891896,0.0,3.1805167,0.26765656,0.39514735,0.0,3.5502458,0.32237047,0.44905177,0.0,4.2258244,0.35518005,0.39969274,0.0,3.2653363,0.2968623,0.33584824,0.0,2.4890418
PEX10,0.045299638,0.05609517,0.0,2.7609472,0.02137752,0.03441078,0.0,2.6688116,0.022809075,0.032496583,0.0,2.6369243,0.04407696,0.047753245,0.0,2.4209378,0.04594497,0.06469126,0.0,2.4341242
PLCH2,0.0,0.0,0.0,0.0,0.0007204126,0.0013181197,0.0,1.8709565,0.00015732161,0.000110042216,0.0,0.6996092,0.0003469801,0.00023513094,0.0,0.6779991,0.0,0.0,0.0,0.0
PANK4,0.024523884,0.034417186,0.0,2.5664275,0.011434132,0.019055178,0.0,3.3087335,0.010814189,0.018226195,0.0,2.4042833,0.0234207,0.028049901,0.0,2.5445182,0.023030097,0.029197732,0.0,2.288222
HES5,0.0015249313,0.0020184473,0.0,1.661657,0.00055868155,0.00056161336,0.0,1.2391808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.40390268,0.44347358,0.0,3.8770447,0.24282302,0.3591508,0.0,3.0994813,0.28298616,0.38683465,0.0,3.2710066,0.39519167,0.43357888,0.0,2.6564083,0.43476048,0.52353156,0.0,3.0072045
MMEL1,0.0019066699,0.0024987475,0.0,1.9279557,0.0028483106,0.0051289536,0.0,2.696737,0.00430705,0.0072823935,0.0,2.3182132,0.0066178013,0.009384281,0.0,2.2755864,0.0,0.0,0.0,0.0
TTC34,0.00043354667,0.00043702452,0.0,1.1095303,0.0026978648,0.0049867374,0.0,2.5380533,0.0014516664,0.002363274,0.0,2.1213202,0.0015953409,0.0019841194,0.0,1.6870185,0.0,0.0,0.0,0.0
PRDM16,0.0012822961,0.0016508254,0.0,1.6947167,0.0007055963,0.0006925932,0.0,1.266045,0.00080621097,0.0010049964,0.0,1.5433149,0.010874488,0.017567517,0.0,2.3165638,0.0052097985,0.004333832,0.0,1.0101871
ARHGEF16,0.0020931996,0.0026020946,0.0,2.0129123,0.0014769889,0.0024389876,0.0,1.9503806,0.0012893593,0.0017546444,0.0,1.8598843,0.00019123517,7.141653e-05,0.0,0.37367353,0.0,0.0,0.0,0.0
MEGF6,0.007786298,0.011434611,0.0,2.8317087,0.0047545186,0.00868415,0.0,2.5554028,0.0025008598,0.0045504887,0.0,2.3223517,0.0046025817,0.006703969,0.0,2.1922622,0.040554672,0.0658331,0.0,2.3433619
TPRG1L,0.041349627,0.050327502,0.0,2.3391168,0.026492871,0.04256581,0.0,2.5002618,0.03213713,0.0499148,0.0,2.5894814,0.014630391,0.01571477,0.0,2.4941232,0.018025856,0.015325091,0.0,1.4779831
WRAP73,0.05625359,0.07621869,0.0,2.813113,0.028410403,0.04434691,0.0,2.9793048,0.033744976,0.05132014,0.0,2.5843675,0.07032447,0.077787206,0.0,2.478969,0.06178839,0.080801696,0.0,2.3519182
TP73,0.00056023983,0.0004408494,0.0,1.1323854,0.00010359565,5.449667e-05,0.0,0.5261623,0.0003963196,0.00035576394,0.0,1.0030258,0.0010684744,0.0022294982,0.0,2.0877988,0.0022186437,0.0013290418,0.0,0.60125244
SMIM1,0.027122786,0.041823898,0.0,2.7827249,0.02630528,0.050884265,0.0,2.762336,0.021539241,0.044089828,0.0,3.1698964,0.08956186,0.17964521,0.0,3.337087,0.058440976,0.08838937,0.0,2.6429663
LRRC47,0.056735095,0.07048958,0.0,3.021948,0.07057013,0.11569458,0.0,2.7071173,0.057195242,0.08840347,0.0,2.8622952,0.075640105,0.08615136,0.0,2.692876,0.081743434,0.08819246,0.0,1.7489108
CEP104,0.050033264,0.0677803,0.0,2.8915532,0.04119858,0.06592826,0.0,2.6801276,0.037756722,0.057569344,0.0,2.6915927,0.06221937,0.07016542,0.0,2.7567935,0.046547983,0.06166956,0.0,2.1734056
DFFB,0.0103046475,0.0138875395,0.0,2.9411292,0.008344726,0.0142319705,0.0,2.5510323,0.006715143,0.010788094,0.0,2.5900514,0.015792884,0.021839248,0.0,2.3190393,0.005692008,0.0030016473,0.0,0.6471471
C1orf174,0.08151253,0.09981575,0.0,2.9574163,0.065334894,0.10941053,0.0,2.596922,0.06482403,0.103929825,0.0,2.713668,0.10487055,0.12501034,0.0,2.6321208,0.059026305,0.066388376,0.0,2.0847094
AJAP1,0.0002443793,0.00027415954,0.0,1.1219454,0.0,0.0,0.0,0.0,0.00021794665,0.00021119314,0.0,0.9692088,0.0013202078,0.001165112,0.0,0.9666778,0.0,0.0,0.0,0.0
NPHP4,0.01150534,0.017089516,0.0,2.7630312,0.005626912,0.0084599,0.0,2.4582,0.00861616,0.015471273,0.0,2.422809,0.014692662,0.019694075,0.0,2.5889115,0.003341136,0.0015206916,0.0,0.50377965
KCNAB2,0.12964159,0.16088158,0.0,2.601533,0.11414023,0.18319492,0.0,2.8491673,0.11626203,0.17963658,0.0,2.9061403,0.14351937,0.14391252,0.0,2.5521228,0.18464364,0.24731205,0.0,2.5327032
RPL22,2.356929,0.9520056,0.0,4.446472,2.4153037,1.0738995,0.0,4.5348883,2.3503342,1.0808754,0.0,4.6305428,2.7636733,0.81579214,0.0,4.5289264,2.2618055,1.329075,0.0,4.051736
RNF207,0.010655001,0.012916376,0.0,2.2159302,0.0027226699,0.0038122397,0.0,1.9902167,0.004674071,0.0060145487,0.0,1.9447111,0.012342791,0.014374708,0.0,2.7877176,0.008150766,0.0047530266,0.0,0.73986393
ICMT,0.055127993,0.06760083,0.0,2.4079556,0.027358528,0.042774335,0.0,3.085428,0.04954773,0.073000334,0.0,2.609662,0.050157167,0.05805408,0.0,2.6166916,0.04084466,0.0397047,0.0,1.7026241
LINC00337,0.0006040457,0.00042982516,0.0,0.82622886,0.00029885324,0.0004535278,0.0,1.5178756,0.0,0.0,0.0,0.0,0.00037785087,0.00027883038,0.0,0.7383206,0.0,0.0,0.0,0.0
GPR153,0.004479393,0.0069433176,0.0,2.2395668,0.007725544,0.012179314,0.0,2.2284007,0.008691299,0.015101988,0.0,2.3124542,0.006710754,0.012014022,0.0,2.4931047,0.01322987,0.014333517,0.0,1.5889567
ACOT7,0.1042691,0.16690676,0.0,3.5232596,0.08943395,0.17291209,0.0,3.5905123,0.10566199,0.20288345,0.0,3.9114547,0.19363457,0.35260904,0.0,3.4110446,0.29051244,0.522265,0.0,3.4565136
HES2,0.0009841142,0.0015290512,0.0,1.7942638,0.001805028,0.0027774163,0.0,2.305109,0.0015693324,0.0020747152,0.0,1.9907624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPN,0.0017476848,0.0023651673,0.0,2.219578,0.0,0.0,0.0,0.0,0.0012468171,0.001871999,0.0,1.9145212,0.0,0.0,0.0,0.0,0.0016838688,0.00076556084,0.0,0.45632845
TNFRSF25,0.025444645,0.036944102,0.0,2.5348392,0.0049494286,0.00820853,0.0,2.3190393,0.008015716,0.011122943,0.0,2.0996513,0.015540927,0.022635968,0.0,2.85147,0.017491298,0.020299658,0.0,1.916002
PLEKHG5,0.023323713,0.034330584,0.0,2.7478607,0.0016939479,0.0026225569,0.0,1.8539562,0.0008681925,0.0011273795,0.0,1.4290193,0.0019792418,0.0038344976,0.0,2.038042,0.0,0.0,0.0,0.0
NOL9,0.036939397,0.04692725,0.0,2.8560932,0.029442567,0.04691698,0.0,2.64236,0.028141065,0.041952062,0.0,2.5900514,0.050423834,0.057987116,0.0,2.5327032,0.029190129,0.031318568,0.0,1.4992348
