gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
FAM87B,0.0003392551,0.00052764686,0.0,1.8640168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
LINC00115,0.018057792,0.023158519,0.0,2.595773,0.00487506,0.006813661,0.0,1.8888366,0.051374782,0.08848502,0.0,1.8202345,0.0,0.0,0.0,0.0,,,,
FAM41C,0.004467244,0.0053981445,0.0,2.5412796,0.010766125,0.020721387,0.0,2.8197627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SAMD11,0.15693821,0.20906064,0.0,3.5905123,0.099918514,0.17523219,0.0,3.8355138,0.10741142,0.20008802,0.0,2.4700055,0.0700962,0.058961697,0.0,0.9112506,,,,
NOC2L,0.2717416,0.29080513,0.0,3.0994813,0.19092795,0.27650484,0.0,2.852239,0.104970895,0.19202779,0.0,2.492087,0.34643552,0.45825803,0.0,2.150279,,,,
KLHL17,0.030550042,0.036022626,0.0,2.3897533,0.014491417,0.021730788,0.0,2.2166584,0.0,0.0,0.0,0.0,0.10972072,0.14446363,0.0,1.4263694,,,,
PLEKHN1,0.0004110287,0.00030952098,0.0,0.8561568,0.0016877291,0.0022618377,0.0,1.3535357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
HES4,0.5319266,0.6436509,0.0,3.5829723,0.36121067,0.5080351,0.0,3.3112755,0.2504417,0.41427335,0.0,3.0944374,0.62658733,0.77562267,0.0,2.7834363,,,,
ISG15,0.16268997,0.25990605,0.0,5.057837,0.9069482,1.3238047,0.0,4.711056,0.5483493,1.0437375,0.0,3.988516,0.90109825,0.9884528,0.0,2.7149842,,,,
AGRN,0.22262713,0.26954666,0.0,3.262313,0.048764672,0.07198793,0.0,2.7707157,0.042590912,0.063620456,0.0,1.7830627,0.41987708,0.4464247,0.0,1.8630965,,,,
RNF223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
C1orf159,0.034352936,0.040233213,0.0,2.7019117,0.027058637,0.0448987,0.0,2.7721202,0.043186236,0.064969964,0.0,1.7830627,0.11367093,0.15505296,0.0,1.477722,,,,
TTLL10,0.0005761921,0.0005072716,0.0,1.172683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
TNFRSF18,0.001092018,0.0013881399,0.0,1.6644288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
TNFRSF4,0.002795128,0.0056018084,0.0,2.7805936,0.009350479,0.014653218,0.0,2.2232423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SDF4,0.33435175,0.36763668,0.0,3.685376,0.4890638,0.6107874,0.0,3.0696275,0.1920711,0.2966728,0.0,2.5305724,0.53731763,0.6788559,0.0,2.1929693,,,,
B3GALT6,0.092926,0.10330961,0.0,2.609662,0.03683942,0.054894943,0.0,2.305922,0.035006978,0.04113232,0.0,1.2597711,0.0,0.0,0.0,0.0,,,,
UBE2J2,0.22882694,0.24621092,0.0,3.2911303,0.22505862,0.31646878,0.0,2.8138494,0.09710412,0.12303781,0.0,1.5983311,0.11367093,0.15505296,0.0,1.477722,,,,
SCNN1D,0.010740553,0.012973763,0.0,2.563105,0.0040989784,0.0073003056,0.0,2.2232423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACAP3,0.2246988,0.25593507,0.0,2.9565516,0.051177047,0.0762372,0.0,2.7417293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
PUSL1,0.0663727,0.07128679,0.0,2.743088,0.03854171,0.056946516,0.0,2.5380533,0.018257553,0.022666987,0.0,1.2597711,0.0,0.0,0.0,0.0,,,,
TAS1R3,0.0010606921,0.0012050662,0.0,1.4218193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
DVL1,0.065100886,0.075253144,0.0,2.7963428,0.034439273,0.057598952,0.0,2.7176223,0.0,0.0,0.0,0.0,0.079411775,0.075674765,0.0,1.032353,,,,
MXRA8,0.42669576,0.5404194,0.0,3.7161772,0.87922657,0.95194143,0.0,3.5248573,0.61458284,0.8344191,0.0,2.5305724,0.7359656,0.6904479,0.0,2.0694437,,,,
AURKAIP1,0.6249742,0.5572415,0.0,3.454533,0.604193,0.7049453,0.0,3.4320538,0.6191882,0.84137934,0.0,2.617869,0.4888267,0.59079075,0.0,2.1929693,,,,
CCNL2,0.3606501,0.38611072,0.0,3.4301243,0.25609228,0.3832285,0.0,3.2556958,0.17456383,0.2515602,0.0,2.4455945,0.3214808,0.36045635,0.0,1.6517023,,,,
MRPL20,0.58978266,0.5456814,0.0,3.358264,0.53294533,0.6575647,0.0,2.9831536,0.61726886,0.7932621,0.0,2.8094404,0.78827477,0.6320492,0.0,2.1929693,,,,
ANKRD65,0.047913197,0.060537085,0.0,2.7777603,0.030460497,0.043411624,0.0,2.2662368,0.10493232,0.18494739,0.0,2.1817312,0.0,0.0,0.0,0.0,,,,
VWA1,0.23174109,0.3666206,0.0,3.8742707,0.69293123,0.82184845,0.0,3.4049265,0.805878,1.0628061,0.0,3.1830988,0.18102942,0.18983474,0.0,1.4263694,,,,
ATAD3C,0.009122757,0.012743069,0.0,2.968732,0.02552036,0.04049038,0.0,2.6166916,0.10243424,0.1894336,0.0,2.6776004,0.0,0.0,0.0,0.0,,,,
ATAD3B,0.05665071,0.06751338,0.0,2.7777603,0.032113228,0.050852243,0.0,2.7637272,0.056995254,0.118051365,0.0,2.5305724,0.0,0.0,0.0,0.0,,,,
ATAD3A,0.08335905,0.09158121,0.0,3.2911303,0.046077713,0.06449201,0.0,2.4504204,0.012468205,0.010571014,0.0,0.86030614,0.0,0.0,0.0,0.0,,,,
SSU72,0.44649038,0.44018698,0.0,3.331867,0.48812774,0.5981047,0.0,3.2689776,0.33189029,0.52206564,0.0,3.245364,0.44255093,0.46760386,0.0,1.8630965,,,,
AL645728.1,0.017289564,0.022329945,0.0,2.4982107,0.02131994,0.03364711,0.0,2.390654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
MIB2,0.09488086,0.10996675,0.0,2.7202682,0.07036267,0.1037477,0.0,2.7499142,0.047196217,0.07464666,0.0,1.6582079,0.27158487,0.42847198,0.0,2.150279,,,,
MMP23B,0.008798946,0.011732808,0.0,2.3306916,0.006591024,0.010180533,0.0,2.0123506,0.039598197,0.10662501,0.0,2.7322755,0.10617879,0.13528723,0.0,1.3803242,,,,
CDK11B,0.13846603,0.15120175,0.0,2.8468707,0.058840178,0.08405501,0.0,2.866975,0.1664063,0.31553173,0.0,2.7934585,0.0700962,0.058961697,0.0,0.9112506,,,,
SLC35E2B,0.101457335,0.12120585,0.0,2.774231,0.0521368,0.081329435,0.0,2.7336197,0.0783673,0.10211592,0.0,1.5821656,0.2751268,0.43647665,0.0,2.150279,,,,
CDK11A,0.0808155,0.092264384,0.0,2.7202682,0.069885805,0.102282315,0.0,2.5686498,0.019591806,0.026101053,0.0,1.3518347,0.32251585,0.63096815,0.0,2.7149842,,,,
NADK,0.07979417,0.08703684,0.0,2.5889115,0.058010396,0.08484122,0.0,2.3997154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
GNB1,0.44644302,0.4574607,0.0,3.0755208,0.26561916,0.36987856,0.0,2.966982,0.43672168,0.5835956,0.0,2.4829838,0.30075037,0.31020448,0.0,1.477722,,,,
TMEM52,0.009931899,0.012047975,0.0,2.4246843,0.004589136,0.0056723543,0.0,1.5434114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
GABRD,0.004770944,0.0062139486,0.0,2.5071347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
PRKCZ,0.08159457,0.095701955,0.0,2.6801276,0.0503152,0.07338208,0.0,2.5554028,0.054706596,0.06618088,0.0,1.3712598,0.1433151,0.24647069,0.0,1.8630965,,,,
