gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
RPL22,B_Plasma,0.0,0.0,0.5840635000000001,high,UC_inflamed,Colitis_inflamed,321721473.0,0.0,18710,45708,0.0
RPL22,B_Plasma,0.0,0.0,0.5840635000000001,high,UC_inflamed,CD_inflamed,53702156.0,3.084242631721438e-158,18710,7299,5.1404043862023966e-157
RPL22,B_Plasma,0.0,0.0,0.5840635000000001,high,UC_inflamed,UC_non_inflamed,161548592.5,1.494155003740108e-146,18710,14841,2.2767874288233924e-145
RPL22,B_Plasma,0.0,0.0,0.5840635000000001,high,Healthy,UC_inflamed,565360635.0,1.536656193822375e-67,55715,18710,1.0829620165197512e-66
SRM,B_Plasma,0.0,0.0,0.63708587,high,UC_inflamed,UC_non_inflamed,109312832.0,0.0,18710,14841,0.0
SRM,B_Plasma,0.0,0.0,0.63708587,high,UC_inflamed,Colitis_inflamed,497091147.0,0.0,18710,45708,0.0
SRM,B_Plasma,0.0,0.0,0.63708587,high,UC_inflamed,CD_inflamed,81286079.5,2.1792763122621262e-206,18710,7299,4.972689856755674e-205
SRM,B_Plasma,0.0,0.0,0.63708587,high,Healthy,UC_inflamed,462701507.0,1.6687398461287533e-203,55715,18710,3.736279052120613e-202
PRDM2,B_Plasma,0.0,0.0,0.32400794,medium,UC_inflamed,UC_non_inflamed,154792636.5,5.6090887876481e-163,18710,14841,9.673846104634038e-162
PRDM2,B_Plasma,0.0,0.0,0.32400794,medium,UC_inflamed,CD_inflamed,60157672.0,2.749946439447559e-83,18710,7299,2.3389430899024523e-82
PRDM2,B_Plasma,0.0,0.0,0.32400794,medium,UC_inflamed,Colitis_inflamed,400205261.0,3.620813497947437e-59,18710,45708,2.277058900560095e-58
PRDM2,B_Plasma,0.0,0.0,0.32400794,medium,Healthy,UC_inflamed,502166015.5,1.3281111316573488e-26,55715,18710,4.837222347311412e-26
CAPZB,B_Plasma,0.0,0.0,0.4160792,medium,UC_inflamed,Colitis_inflamed,344607564.5,0.0,18710,45708,0.0
CAPZB,B_Plasma,0.0,0.0,0.4160792,medium,UC_inflamed,CD_inflamed,54496302.5,5.9307598775931495e-176,18710,7299,1.1172638651144894e-174
CAPZB,B_Plasma,0.0,0.0,0.4160792,medium,Healthy,UC_inflamed,568631337.5,5.5464519364333005e-96,55715,18710,5.400254424536503e-95
CAPZB,B_Plasma,0.0,0.0,0.4160792,medium,UC_inflamed,UC_non_inflamed,151029870.0,8.89135428962103e-62,18710,14841,5.7971442789501104e-61
HP1BP3,B_Plasma,0.0,0.0,0.3021364599999999,medium,UC_inflamed,Colitis_inflamed,373415430.0,1.6783815147325408e-204,18710,45708,3.7788807905448856e-203
HP1BP3,B_Plasma,0.0,0.0,0.3021364599999999,medium,UC_inflamed,CD_inflamed,56187174.0,1.1317688292939616e-173,18710,7299,2.0974841191920888e-172
HP1BP3,B_Plasma,0.0,0.0,0.3021364599999999,medium,Healthy,UC_inflamed,546279511.5,3.737352342610197e-37,55715,18710,1.667730444646511e-36
HP1BP3,B_Plasma,0.0,0.0,0.3021364599999999,medium,UC_inflamed,UC_non_inflamed,146578504.5,4.3574841590245735e-35,18710,14841,1.8755955308181195e-34
HNRNPR,B_Plasma,0.0,0.0,0.31820947,medium,UC_inflamed,Colitis_inflamed,372522143.5,1.1405544849762898e-197,18710,45708,2.460963287854119e-196
HNRNPR,B_Plasma,0.0,0.0,0.31820947,medium,UC_inflamed,CD_inflamed,56090626.0,4.3361361030569736e-162,18710,7299,7.437796564035846e-161
HNRNPR,B_Plasma,0.0,0.0,0.31820947,medium,UC_inflamed,UC_non_inflamed,147899826.5,1.4313010421516605e-42,18710,14841,7.015583675884133e-42
HNRNPR,B_Plasma,0.0,0.0,0.31820947,medium,Healthy,UC_inflamed,543845957.0,3.180276426018293e-28,55715,18710,1.1994930173542064e-27
ID3,B_Plasma,0.0,0.0,0.43143027,medium,UC_inflamed,CD_inflamed,54811530.5,7.703755209814116e-211,18710,7299,1.8009722405872602e-209
ID3,B_Plasma,0.0,0.0,0.43143027,medium,UC_inflamed,Colitis_inflamed,383031962.5,1.336134802758815e-143,18710,45708,1.988215004936775e-142
ID3,B_Plasma,0.0,0.0,0.43143027,medium,Healthy,UC_inflamed,559840144.5,2.555085864831117e-80,55715,18710,2.1023684592604678e-79
ID3,B_Plasma,0.0,0.0,0.43143027,medium,UC_inflamed,UC_non_inflamed,150130023.0,3.5579724685765823e-76,18710,14841,2.788919819255615e-75
PNRC2,B_Plasma,0.0,0.0,0.753442632,high,UC_inflamed,UC_non_inflamed,160426887.0,0.0,18710,14841,0.0
PNRC2,B_Plasma,0.0,0.0,0.753442632,high,UC_inflamed,Colitis_inflamed,323949411.0,0.0,18710,45708,0.0
PNRC2,B_Plasma,0.0,0.0,0.753442632,high,UC_inflamed,CD_inflamed,42682884.5,0.0,18710,7299,0.0
PNRC2,B_Plasma,0.0,0.0,0.753442632,high,Healthy,UC_inflamed,586484700.5,7.018773845041963e-245,55715,18710,1.9932525617069442e-243
SRSF10,B_Plasma,0.0,0.0,0.77557817,high,UC_inflamed,UC_non_inflamed,164789607.0,0.0,18710,14841,0.0
SRSF10,B_Plasma,0.0,0.0,0.77557817,high,UC_inflamed,Colitis_inflamed,306620320.0,0.0,18710,45708,0.0
SRSF10,B_Plasma,0.0,0.0,0.77557817,high,UC_inflamed,CD_inflamed,45274836.0,0.0,18710,7299,0.0
SRSF10,B_Plasma,0.0,0.0,0.77557817,high,Healthy,UC_inflamed,578448300.0,1.8301058587820656e-156,55715,18710,3.013070420740663e-155
SRRM1,B_Plasma,0.0,0.0,0.32324768,medium,UC_inflamed,Colitis_inflamed,368657218.0,6.263124997203799e-202,18710,45708,1.3926222294624764e-200
SRRM1,B_Plasma,0.0,0.0,0.32324768,medium,UC_inflamed,CD_inflamed,58025175.5,1.8714411316646733e-102,18710,7299,1.9408564251052583e-101
SRRM1,B_Plasma,0.0,0.0,0.32324768,medium,UC_inflamed,UC_non_inflamed,150644938.0,8.568972911255526e-60,18710,14841,5.434912914924789e-59
SRRM1,B_Plasma,0.0,0.0,0.32324768,medium,Healthy,UC_inflamed,534597835.5,8.692687764477473e-10,55715,18710,2.017869302183829e-09
