gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
TNFRSF9,CD8T,0.0,0.0,0.304026426,medium,Healthy,UC_inflamed,121172460.5,7.172765932629043e-294,23962,11609,1.4104688076311449e-291
TNFRSF9,CD8T,0.0,0.0,0.304026426,medium,UC_inflamed,Colitis_inflamed,81214666.0,8.840150513055875e-264,11609,12212,1.4138095731158378e-261
TNFRSF9,CD8T,0.0,0.0,0.304026426,medium,UC_inflamed,UC_non_inflamed,46637472.0,1.7137272901862156e-229,11609,6890,2.1494998448947817e-227
TNFRSF9,CD8T,0.0,0.0,0.304026426,medium,UC_inflamed,CD_inflamed,13174370.5,4.9731322412960824e-57,11609,1979,7.222679659669347e-56
RPL11,CD8T,0.0,0.0,0.7162300999999998,high,UC_inflamed,UC_non_inflamed,26162184.5,0.0,11609,6890,0.0
RPL11,CD8T,0.0,0.0,0.7162300999999998,high,Healthy,UC_inflamed,151395891.0,7.452056592438755e-42,23962,11609,7.578003907773704e-41
RPL11,CD8T,0.0,0.0,0.7162300999999998,high,UC_inflamed,Colitis_inflamed,65631990.5,4.113848165438313e-23,11609,12212,2.4668078302324827e-22
RPL11,CD8T,0.0,0.0,0.7162300999999998,high,UC_inflamed,CD_inflamed,12771710.0,1.6587337415729513e-15,11609,1979,7.530771828723923e-15
CD52,CD8T,0.0,0.0,0.6162958999999999,high,Healthy,UC_inflamed,164356891.5,1.4166651377840834e-170,23962,11609,1.0470579184953034e-168
CD52,CD8T,0.0,0.0,0.6162958999999999,high,UC_inflamed,UC_non_inflamed,32517847.5,1.0417865698967348e-100,11609,6890,3.2982057613892102e-99
CD52,CD8T,0.0,0.0,0.6162958999999999,high,UC_inflamed,CD_inflamed,13418271.5,4.1060171809120005e-33,11609,1979,3.333538675131712e-32
CD52,CD8T,0.0,0.0,0.6162958999999999,high,UC_inflamed,Colitis_inflamed,75127814.5,1.1582069959859754e-15,11609,12212,5.292960946157639e-15
SNHG12,CD8T,0.0,0.0,0.6538265,high,UC_inflamed,UC_non_inflamed,50047739.0,0.0,11609,6890,0.0
SNHG12,CD8T,0.0,0.0,0.6538265,high,UC_inflamed,CD_inflamed,9492107.0,1.3510814305279932e-47,11609,1979,1.5898850240138338e-46
SNHG12,CD8T,0.0,0.0,0.6538265,high,UC_inflamed,Colitis_inflamed,76795881.0,1.5964864330234046e-44,11609,12212,1.7359674568794765e-43
SNHG12,CD8T,0.0,0.0,0.6538265,high,Healthy,UC_inflamed,132515138.5,2.9669833891148607e-19,23962,11609,1.5553436456511565e-18
