gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
CD74,Endothelial,0.0,0.0,2.1459007000000003,high,Healthy,UC_inflamed,13962244.5,1.098881067837642e-271,6113,7072,2.082056423238262e-268
CD74,Endothelial,0.0,0.0,2.1459007000000003,high,UC_inflamed,UC_non_inflamed,2476269.5,4.391754805641317e-37,7072,940,2.7291013946567226e-35
CD74,Endothelial,0.0,0.0,2.1459007000000003,high,UC_inflamed,Colitis_inflamed,63780.5,2.3065280532638575e-07,7072,36,2.161992489930028e-06
RPL27A,Endothelial,0.0,0.0,1.6863829,high,Healthy,UC_inflamed,12529074.0,0.0,6113,7072,0.0
RPL27A,Endothelial,0.0,0.0,1.6863829,high,UC_inflamed,Colitis_inflamed,230485.0,4.328255582250092e-17,7072,36,1.0146514723746397e-15
RPL27A,Endothelial,0.0,0.0,1.6863829,high,UC_inflamed,UC_non_inflamed,2880788.0,2.9157393025664216e-11,7072,940,4.291012622707788e-10
CD59,Endothelial,0.0,0.0,1.3987134,high,Healthy,UC_inflamed,10258692.5,0.0,6113,7072,0.0
CD59,Endothelial,0.0,0.0,1.3987134,high,UC_inflamed,UC_non_inflamed,2681806.5,5.449965164342848e-22,7072,940,1.712061553414985e-20
CD59,Endothelial,0.0,0.0,1.3987134,high,UC_inflamed,Colitis_inflamed,190637.5,2.477387928300792e-07,7072,36,2.310491222002756e-06
RPS17,Endothelial,0.0,0.0,2.23938681,high,Healthy,UC_inflamed,10708737.5,0.0,6113,7072,0.0
RPS17,Endothelial,0.0,0.0,2.23938681,high,UC_inflamed,UC_non_inflamed,5958511.0,0.0,7072,940,0.0
RPS17,Endothelial,0.0,0.0,2.23938681,high,UC_inflamed,Colitis_inflamed,208229.5,3.678191143141943e-11,7072,36,5.355991714312929e-10
RPL13A,Endothelial,0.0,0.0,1.7933752,high,Healthy,UC_inflamed,13297253.0,0.0,6113,7072,0.0
