gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
ISG15,Epithelial,0.0,0.0,0.47035928,medium,UC_inflamed,Healthy,655877471.5,4.940905990165216e-213,20419,58478,1.112446399714956e-211
ISG15,Epithelial,0.0,0.0,0.47035928,medium,UC_inflamed,Colitis_inflamed,97536741.0,1.3709752246560284e-180,20419,8287,2.4985352487365998e-179
ISG15,Epithelial,0.0,0.0,0.47035928,medium,UC_inflamed,UC_non_inflamed,197063555.0,2.2192534966282765e-37,20419,18287,9.897833720077095e-37
ISG15,Epithelial,0.0,0.0,0.47035928,medium,UC_inflamed,CD_inflamed,39108885.0,1.1199701742890382e-19,20419,4115,3.4957690673730944e-19
MRPL20,Epithelial,0.0,0.0,0.43495168,medium,UC_inflamed,Colitis_inflamed,105093494.5,0.0,20419,8287,0.0
MRPL20,Epithelial,0.0,0.0,0.43495168,medium,UC_inflamed,CD_inflamed,52867668.0,1.42645821831718e-203,20419,4115,3.0323534326819142e-202
MRPL20,Epithelial,0.0,0.0,0.43495168,medium,UC_inflamed,UC_non_inflamed,163583559.5,2.685388338643873e-115,20419,18287,2.9828387608703743e-114
MRPL20,Epithelial,0.0,0.0,0.43495168,medium,UC_inflamed,Healthy,546648791.0,1.7634561611523624e-84,20419,58478,1.4652252734539956e-83
SSU72,Epithelial,0.0,0.0,0.3005226499999999,medium,UC_inflamed,Colitis_inflamed,101715751.5,2.466246511605604e-221,20419,8287,5.824739708081572e-220
SSU72,Epithelial,0.0,0.0,0.3005226499999999,medium,UC_inflamed,CD_inflamed,50929072.5,2.419161805273336e-136,20419,4115,3.2161631891965564e-135
SSU72,Epithelial,0.0,0.0,0.3005226499999999,medium,UC_inflamed,UC_non_inflamed,168169532.5,2.666826490291469e-75,20419,18287,1.9978249430711746e-74
SSU72,Epithelial,0.0,0.0,0.3005226499999999,medium,UC_inflamed,Healthy,574804082.0,2.5686183437092232e-18,20419,58478,7.743551051146912e-18
CDK11A,Epithelial,0.0,0.0,0.38977223,medium,UC_inflamed,Healthy,637017726.5,5.304382370704597e-130,20419,58478,6.703317489029939e-129
CDK11A,Epithelial,0.0,0.0,0.38977223,medium,UC_inflamed,UC_non_inflamed,199246829.0,1.4913747242737732e-75,20419,18287,1.1205836490822577e-74
CDK11A,Epithelial,0.0,0.0,0.38977223,medium,UC_inflamed,CD_inflamed,37826378.0,7.913508909042824e-49,20419,4115,4.2090908213657865e-48
CDK11A,Epithelial,0.0,0.0,0.38977223,medium,UC_inflamed,Colitis_inflamed,80695051.5,1.911051761972433e-19,20419,8287,5.929352231214679e-19
RER1,Epithelial,0.0,0.0,0.36808098,medium,UC_inflamed,Colitis_inflamed,103992054.5,1.904038773662073e-288,20419,8287,6.567689965694515e-287
RER1,Epithelial,0.0,0.0,0.36808098,medium,UC_inflamed,CD_inflamed,51956083.0,4.282337220387664e-171,20419,4115,7.289614304443855e-170
RER1,Epithelial,0.0,0.0,0.36808098,medium,UC_inflamed,UC_non_inflamed,165947840.0,7.621962830362679e-94,20419,18287,6.962660883890581e-93
RER1,Epithelial,0.0,0.0,0.36808098,medium,UC_inflamed,Healthy,572683908.0,1.0826544294589741e-21,20419,58478,3.5471050505404785e-21
RPL22,Epithelial,0.0,0.0,1.0408952,high,UC_inflamed,Healthy,502095224.0,1.2650602946254076e-253,20419,58478,3.6040679364836713e-252
RPL22,Epithelial,0.0,0.0,1.0408952,high,UC_inflamed,CD_inflamed,54720507.5,3.6748836358843994e-213,20419,4115,8.280957178664928e-212
RPL22,Epithelial,0.0,0.0,1.0408952,high,UC_inflamed,UC_non_inflamed,156483882.5,1.4383959770774498e-168,20419,18287,2.40754180116736e-167
RPL22,Epithelial,0.0,0.0,1.0408952,high,UC_inflamed,Colitis_inflamed,98907394.0,1.1543899978811592e-115,20419,8287,1.286783701264955e-114
CAMTA1,Epithelial,0.0,0.0,0.41253069,medium,UC_inflamed,Colitis_inflamed,103754067.0,4.6801466138772726e-284,20419,8287,1.5775169781601816e-282
CAMTA1,Epithelial,0.0,0.0,0.41253069,medium,UC_inflamed,CD_inflamed,52775434.0,1.3200256948291118e-202,20419,4115,2.785145265979673e-201
CAMTA1,Epithelial,0.0,0.0,0.41253069,medium,UC_inflamed,UC_non_inflamed,161655605.0,4.5930054581630404e-136,20419,18287,6.095118070510527e-135
CAMTA1,Epithelial,0.0,0.0,0.41253069,medium,UC_inflamed,Healthy,543864976.5,3.384173337323821e-95,20419,58478,3.1265552775126285e-94
PARK7,Epithelial,0.0,0.0,0.6986421500000001,high,UC_inflamed,Colitis_inflamed,109368168.5,0.0,20419,8287,0.0
PARK7,Epithelial,0.0,0.0,0.6986421500000001,high,UC_inflamed,CD_inflamed,55690155.0,4.106591015756405e-303,20419,4115,1.5281110977069524e-301
PARK7,Epithelial,0.0,0.0,0.6986421500000001,high,UC_inflamed,UC_non_inflamed,157924475.0,2.2116194766373773e-168,20419,18287,3.695977137205039e-167
PARK7,Epithelial,0.0,0.0,0.6986421500000001,high,UC_inflamed,Healthy,536661081.0,4.983602736339186e-114,20419,58478,5.484176431072265e-113
ENO1,Epithelial,0.0,0.0,0.8143901600000001,high,UC_inflamed,Colitis_inflamed,107986928.0,0.0,20419,8287,0.0
ENO1,Epithelial,0.0,0.0,0.8143901600000001,high,UC_inflamed,CD_inflamed,55340809.0,2.6817246944286656e-253,20419,4115,7.629248578656361e-252
ENO1,Epithelial,0.0,0.0,0.8143901600000001,high,UC_inflamed,UC_non_inflamed,159370688.5,1.837889271813574e-142,20419,18287,2.5607065250071468e-141
ENO1,Epithelial,0.0,0.0,0.8143901600000001,high,UC_inflamed,Healthy,556467783.5,1.6110695197121517e-49,20419,58478,8.656549099177326e-49
SDHB,Epithelial,0.0,0.0,0.46635158,medium,UC_inflamed,Colitis_inflamed,102608685.0,7.723438664009265e-263,20419,8287,2.3189034243823493e-261
SDHB,Epithelial,0.0,0.0,0.46635158,medium,UC_inflamed,UC_non_inflamed,152816577.5,2.3784134682190357e-249,20419,18287,6.607615819504499e-248
SDHB,Epithelial,0.0,0.0,0.46635158,medium,UC_inflamed,Healthy,515269890.0,2.9274381949827696e-222,20419,58478,6.9445267536010455e-221
SDHB,Epithelial,0.0,0.0,0.46635158,medium,UC_inflamed,CD_inflamed,52004468.0,2.0599381870259552e-182,20419,4115,3.793631160898e-181
AKR7A2,Epithelial,0.0,0.0,0.3114938399999999,medium,UC_inflamed,Colitis_inflamed,100478062.5,2.9763473664959268e-233,20419,8287,7.537989359556046e-232
AKR7A2,Epithelial,0.0,0.0,0.3114938399999999,medium,UC_inflamed,CD_inflamed,50585038.5,4.181114504623735e-152,20419,4115,6.21934507222363e-151
AKR7A2,Epithelial,0.0,0.0,0.3114938399999999,medium,UC_inflamed,UC_non_inflamed,162674490.0,9.939566042269844e-141,20419,18287,1.3677094250748103e-139
AKR7A2,Epithelial,0.0,0.0,0.3114938399999999,medium,UC_inflamed,Healthy,538919033.5,5.009384474775831e-126,20419,58478,6.114607925289128e-125
CAPZB,Epithelial,0.0,0.0,0.4248331000000001,medium,UC_inflamed,Colitis_inflamed,105851247.0,0.0,20419,8287,0.0
CAPZB,Epithelial,0.0,0.0,0.4248331000000001,medium,UC_inflamed,CD_inflamed,52964974.5,7.618245038398839e-192,20419,4115,1.4940554839675269e-190
CAPZB,Epithelial,0.0,0.0,0.4248331000000001,medium,UC_inflamed,UC_non_inflamed,168715342.5,1.6429491326130447e-67,20419,18287,1.1234585504727024e-66
CAPZB,Epithelial,0.0,0.0,0.4248331000000001,medium,UC_inflamed,Healthy,567661970.5,6.346740758627723e-29,20419,58478,2.428642096554744e-28
NBL1,Epithelial,0.0,0.0,0.5516899000000001,high,UC_inflamed,Colitis_inflamed,107314165.0,0.0,20419,8287,0.0
NBL1,Epithelial,0.0,0.0,0.5516899000000001,high,UC_inflamed,CD_inflamed,54799800.0,2.6311838303245777e-251,20419,4115,7.400491719765513e-250
NBL1,Epithelial,0.0,0.0,0.5516899000000001,high,UC_inflamed,UC_non_inflamed,165493553.5,1.85628902785886e-90,20419,18287,1.6380217409274522e-89
NBL1,Epithelial,0.0,0.0,0.5516899000000001,high,UC_inflamed,Healthy,641090294.0,6.178226076759513e-65,20419,58478,4.08625589183622e-64
