gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
GNLY,ILC,0.0,0.0,2.6052583,high,UC_inflamed,Healthy,1378208.0,3.4707275022254353e-150,1268,1393,3.7017262532013657e-147
GNLY,ILC,0.0,0.0,2.6052583,high,UC_inflamed,Colitis_inflamed,2545221.5,4.333033827881091e-136,1268,2730,3.672816305159209e-133
GNLY,ILC,0.0,0.0,2.6052583,high,UC_inflamed,CD_inflamed,607870.5,8.544266344264943e-82,1268,626,2.2016865515901905e-79
GNLY,ILC,0.0,0.0,2.6052583,high,UC_inflamed,UC_non_inflamed,565702.5,3.0088958372411404e-09,1268,1041,2.4138613927157448e-08
FGFBP2,ILC,0.0,0.0,1.4389346,high,UC_inflamed,Colitis_inflamed,2441391.5,9.567597904154782e-217,1268,2730,2.853447486044681e-213
FGFBP2,ILC,0.0,0.0,1.4389346,high,UC_inflamed,Healthy,1231885.0,1.4295073980660884e-119,1268,1393,8.622553050881781e-117
FGFBP2,ILC,0.0,0.0,1.4389346,high,UC_inflamed,CD_inflamed,530560.5,9.170056958754857e-45,1268,626,7.531233067650642e-43
FGFBP2,ILC,0.0,0.0,1.4389346,high,UC_inflamed,UC_non_inflamed,573987.5,8.150335844949621e-09,1268,1041,6.206494812185617e-08
HLA-C,ILC,0.0,0.0,0.9784612000000004,high,UC_inflamed,Colitis_inflamed,2491740.0,3.621813606780173e-111,1268,2730,1.881590585070796e-108
HLA-C,ILC,0.0,0.0,0.9784612000000004,high,UC_inflamed,Healthy,1212045.0,5.357984121555943e-62,1268,1393,7.931096900520079e-60
HLA-C,ILC,0.0,0.0,0.9784612000000004,high,UC_inflamed,CD_inflamed,276021.0,3.625475000988335e-27,1268,626,1.286652157137883e-25
HLA-C,ILC,0.0,0.0,0.9784612000000004,high,UC_inflamed,UC_non_inflamed,544767.0,4.880106375369178e-13,1268,1041,5.914668360575001e-12
TNFAIP3,ILC,0.0,0.0,1.79858698,high,UC_inflamed,Colitis_inflamed,807404.5,1.8105877095152776e-173,1268,2730,2.777096672547004e-170
TNFAIP3,ILC,0.0,0.0,1.79858698,high,UC_inflamed,CD_inflamed,175850.0,6.120209727218865e-104,1268,626,2.7228170623441932e-101
TNFAIP3,ILC,0.0,0.0,1.79858698,high,UC_inflamed,Healthy,563063.0,1.1678252474127234e-70,1268,1393,2.22052250408287e-68
TNFAIP3,ILC,0.0,0.0,1.79858698,high,UC_inflamed,UC_non_inflamed,744434.0,5.2945551711784604e-14,1268,1041,7.028537376967506e-13
EEF1G,ILC,0.0,0.0,2.2059893180000003,high,UC_inflamed,Colitis_inflamed,376147.0,0.0,1268,2730,0.0
EEF1G,ILC,0.0,0.0,2.2059893180000003,high,UC_inflamed,CD_inflamed,109728.5,3.3853515767233496e-189,1268,626,6.6489130662353105e-186
EEF1G,ILC,0.0,0.0,2.2059893180000003,high,UC_inflamed,Healthy,588119.0,2.064509599628204e-73,1268,1393,4.246350843168867e-71
EEF1G,ILC,0.0,0.0,2.2059893180000003,high,UC_inflamed,UC_non_inflamed,743580.0,5.965878481959568e-29,1268,1041,2.340001776715998e-27
KLRK1,ILC,0.0,0.0,1.3779060280000002,high,UC_inflamed,CD_inflamed,119691.0,1.865760819551101e-199,1268,626,4.17334416650979e-196
KLRK1,ILC,0.0,0.0,1.3779060280000002,high,UC_inflamed,Colitis_inflamed,1008387.5,3.1230908206179107e-134,1268,2730,2.52750641537947e-131
KLRK1,ILC,0.0,0.0,1.3779060280000002,high,UC_inflamed,Healthy,709952.5,1.6586149004301446e-38,1268,1393,1.0533120256872037e-36
KLRK1,ILC,0.0,0.0,1.3779060280000002,high,UC_inflamed,UC_non_inflamed,704957.5,4.5100105048582035e-14,1268,1041,6.021697826292602e-13
RPS17,ILC,0.0,0.0,1.11901746,high,UC_inflamed,Colitis_inflamed,927942.5,5.875925504982231e-146,1268,2730,5.951684292939549e-143
RPS17,ILC,0.0,0.0,1.11901746,high,UC_inflamed,CD_inflamed,171981.0,2.69192995553846e-125,1268,626,1.8215769720145758e-122
RPS17,ILC,0.0,0.0,1.11901746,high,UC_inflamed,Healthy,612022.5,2.3126237029062266e-63,1268,1393,3.543749261208827e-61
RPS17,ILC,0.0,0.0,1.11901746,high,UC_inflamed,UC_non_inflamed,736234.0,1.0867788744369498e-21,1268,1041,2.6922894589766308e-20
ATP6V0C,ILC,0.0,0.0,1.536158935,high,UC_inflamed,CD_inflamed,105646.0,1.768453335470869e-202,1268,626,4.250886711605723e-199
ATP6V0C,ILC,0.0,0.0,1.536158935,high,UC_inflamed,Colitis_inflamed,769984.5,8.06071376181683e-202,1268,2730,1.9090852225597065e-198
ATP6V0C,ILC,0.0,0.0,1.536158935,high,UC_inflamed,Healthy,654871.0,2.1984413533021963e-51,1268,1393,2.300578167312012e-49
ATP6V0C,ILC,0.0,0.0,1.536158935,high,UC_inflamed,UC_non_inflamed,735255.5,1.460314254331241e-28,1268,1041,5.6290955160374906e-27
RNASEK,ILC,0.0,0.0,1.49206971,high,UC_inflamed,Colitis_inflamed,630410.0,3.404307577156157e-251,1268,2730,1.4427993034236818e-247
