gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
PNRC2,Myeloid,0.0,0.0,0.604028169,high,UC_inflamed,Colitis_inflamed,3673630.0,4.934913885094533e-219,5079,1954,3.455512526932498e-216
PNRC2,Myeloid,0.0,0.0,0.604028169,high,UC_inflamed,CD_inflamed,418584.5,4.3318164177078355e-172,5079,271,1.921870617277815e-169
PNRC2,Myeloid,0.0,0.0,0.604028169,high,UC_inflamed,Healthy,10416227.0,7.071752531618645e-79,5079,4591,8.512001085330214e-77
PNRC2,Myeloid,0.0,0.0,0.604028169,high,UC_inflamed,UC_non_inflamed,11509064.5,1.8198039028393922e-09,5079,4447,1.0671403238868489e-08
CTSS,Myeloid,0.0,0.0,1.56098456,high,UC_inflamed,Colitis_inflamed,7466700.5,1.8818235947914493e-242,5079,1954,1.7518363580414041e-239
CTSS,Myeloid,0.0,0.0,1.56098456,high,UC_inflamed,Healthy,15586645.0,4.1603122893407415e-183,5079,4591,2.048985609169194e-180
CTSS,Myeloid,0.0,0.0,1.56098456,high,UC_inflamed,CD_inflamed,1112858.0,1.0845753152695845e-66,5079,271,9.998331684268262e-65
CTSS,Myeloid,0.0,0.0,1.56098456,high,UC_inflamed,UC_non_inflamed,12335250.5,5.092497957230839e-15,5079,4447,4.7566801763834054e-14
S100A9,Myeloid,0.0,0.0,2.3479617200000003,high,UC_inflamed,Healthy,17934379.5,0.0,5079,4591,0.0
S100A9,Myeloid,0.0,0.0,2.3479617200000003,high,UC_inflamed,Colitis_inflamed,7628716.0,2.0169801770063505e-300,5079,1954,2.6625791598924e-297
S100A9,Myeloid,0.0,0.0,2.3479617200000003,high,UC_inflamed,CD_inflamed,1072538.0,3.5703294425608053e-57,5079,271,2.5142175632899764e-55
S100A9,Myeloid,0.0,0.0,2.3479617200000003,high,UC_inflamed,UC_non_inflamed,13007604.5,1.6420931637096156e-39,5079,4447,6.109011411767928e-38
S100A12,Myeloid,0.0,0.0,1.19198959,high,UC_inflamed,Healthy,16359273.5,0.0,5079,4591,0.0
S100A12,Myeloid,0.0,0.0,1.19198959,high,UC_inflamed,Colitis_inflamed,6774585.5,1.884912243183032e-178,5079,1954,8.748274258346607e-176
S100A12,Myeloid,0.0,0.0,1.19198959,high,UC_inflamed,UC_non_inflamed,13049157.0,7.463686739782047e-53,5079,4447,4.5721823866181006e-51
S100A12,Myeloid,0.0,0.0,1.19198959,high,UC_inflamed,CD_inflamed,941552.0,1.1784107641982896e-30,5079,271,2.921087479977444e-29
S100A8,Myeloid,0.0,0.0,2.28077219,high,UC_inflamed,Healthy,17725620.0,0.0,5079,4591,0.0
S100A8,Myeloid,0.0,0.0,2.28077219,high,UC_inflamed,Colitis_inflamed,7284625.5,3.76705136128932e-245,5079,1954,3.5687271866802647e-242
S100A8,Myeloid,0.0,0.0,2.28077219,high,UC_inflamed,UC_non_inflamed,13185710.0,7.630860792884113e-51,5079,4447,4.361072145826779e-49
S100A8,Myeloid,0.0,0.0,2.28077219,high,UC_inflamed,CD_inflamed,1027390.0,4.838825837978794e-47,5079,271,2.4164120967642936e-45
S100A6,Myeloid,0.0,0.0,1.7116621000000003,high,UC_inflamed,Healthy,19052546.5,0.0,5079,4591,0.0
S100A6,Myeloid,0.0,0.0,1.7116621000000003,high,UC_inflamed,Colitis_inflamed,6875542.5,4.197347865392502e-139,5079,1954,1.2925102748020311e-136
S100A6,Myeloid,0.0,0.0,1.7116621000000003,high,UC_inflamed,UC_non_inflamed,12671034.0,7.276759290306906e-25,5079,4447,1.3069277168550544e-23
S100A6,Myeloid,0.0,0.0,1.7116621000000003,high,UC_inflamed,CD_inflamed,867654.0,4.294677039595737e-13,5079,271,3.46834689212162e-12
S100A4,Myeloid,0.0,0.0,1.3617802,high,UC_inflamed,Healthy,17751659.5,0.0,5079,4591,0.0
S100A4,Myeloid,0.0,0.0,1.3617802,high,UC_inflamed,Colitis_inflamed,6901984.5,2.4326974466435868e-143,5079,1954,7.835718475638994e-141
S100A4,Myeloid,0.0,0.0,1.3617802,high,UC_inflamed,CD_inflamed,994828.0,2.8603891820912136e-35,5079,271,8.843649026219812e-34
S100A4,Myeloid,0.0,0.0,1.3617802,high,UC_inflamed,UC_non_inflamed,12872404.5,3.1315584235300267e-32,5079,4447,8.411232223307384e-31
RPS27,Myeloid,0.0,0.0,0.7485637999999999,high,UC_inflamed,Colitis_inflamed,7371787.5,4.530108258028175e-219,5079,1954,3.1998856796291124e-216
RPS27,Myeloid,0.0,0.0,0.7485637999999999,high,UC_inflamed,Healthy,15644395.5,7.656781576777237e-186,5079,4591,3.8899831953942395e-183
RPS27,Myeloid,0.0,0.0,0.7485637999999999,high,UC_inflamed,CD_inflamed,1054888.0,1.4418745481632075e-49,5079,271,7.850368356378787e-48
RPS27,Myeloid,0.0,0.0,0.7485637999999999,high,UC_inflamed,UC_non_inflamed,12246784.5,1.0676479820876765e-12,5079,4447,8.356566267263818e-12
CSTA,Myeloid,0.0,0.0,1.06162787,high,UC_inflamed,Healthy,16542153.5,0.0,5079,4591,0.0
CSTA,Myeloid,0.0,0.0,1.06162787,high,UC_inflamed,Colitis_inflamed,6709506.5,1.0167810727546692e-135,5079,1954,2.966532459549628e-133
CSTA,Myeloid,0.0,0.0,1.06162787,high,UC_inflamed,CD_inflamed,987054.0,2.101030303733011e-37,5079,271,7.155232193195208e-36
CSTA,Myeloid,0.0,0.0,1.06162787,high,UC_inflamed,UC_non_inflamed,12877653.0,1.2260967858108585e-36,5079,4447,4.040574736133389e-35
RPL34,Myeloid,0.0,0.0,0.7101421000000001,high,UC_inflamed,Healthy,17371338.5,0.0,5079,4591,0.0
RPL34,Myeloid,0.0,0.0,0.7101421000000001,high,UC_inflamed,Colitis_inflamed,6922447.5,1.130502590529654e-145,5079,1954,3.7462436667654484e-143
RPL34,Myeloid,0.0,0.0,0.7101421000000001,high,UC_inflamed,CD_inflamed,1074526.0,8.028287275485289e-55,5079,271,5.205135530261295e-53
RPL34,Myeloid,0.0,0.0,0.7101421000000001,high,UC_inflamed,UC_non_inflamed,12487097.5,4.830043846143226e-19,5079,4447,6.0160754943647855e-18
VCAN,Myeloid,0.0,0.0,0.92696296,high,UC_inflamed,Healthy,15885989.5,0.0,5079,4591,0.0
VCAN,Myeloid,0.0,0.0,0.92696296,high,UC_inflamed,Colitis_inflamed,6592776.0,3.3501682836847704e-146,5079,1954,1.117069569539197e-143
VCAN,Myeloid,0.0,0.0,0.92696296,high,UC_inflamed,CD_inflamed,938964.5,1.154352175447429e-30,5079,271,2.8636540027080776e-29
VCAN,Myeloid,0.0,0.0,0.92696296,high,UC_inflamed,UC_non_inflamed,12528685.5,5.5087612032392954e-27,5079,4447,1.111761894463269e-25
LST1,Myeloid,0.0,0.0,1.41141476,high,UC_inflamed,Colitis_inflamed,7384861.0,6.950009933547404e-228,5079,1954,5.596495498989048e-225
LST1,Myeloid,0.0,0.0,1.41141476,high,UC_inflamed,Healthy,15379476.0,6.602152546894913e-165,5079,4591,2.73335904287256e-162
LST1,Myeloid,0.0,0.0,1.41141476,high,UC_inflamed,CD_inflamed,1083466.5,3.351764743335117e-58,5079,271,2.4326350243989207e-56
LST1,Myeloid,0.0,0.0,1.41141476,high,UC_inflamed,UC_non_inflamed,12102725.0,1.128083768452873e-09,5079,4447,6.743546672704621e-09
RPS10,Myeloid,0.0,0.0,1.33569295,high,UC_inflamed,Colitis_inflamed,7854436.5,0.0,5079,1954,0.0
RPS10,Myeloid,0.0,0.0,1.33569295,high,UC_inflamed,UC_non_inflamed,13381941.0,2.251181461202191e-57,5079,4447,1.5929383757759788e-55
RPS10,Myeloid,0.0,0.0,1.33569295,high,UC_inflamed,CD_inflamed,1046951.5,2.609683712715393e-49,5079,271,1.4065915727336482e-47
RPS10,Myeloid,0.0,0.0,1.33569295,high,UC_inflamed,Healthy,12674791.0,5.4561562974533436e-14,5079,4591,4.714889583650057e-13
MRPS24,Myeloid,0.0,0.0,0.4146369116,medium,UC_inflamed,Colitis_inflamed,3326060.5,0.0,5079,1954,0.0
MRPS24,Myeloid,0.0,0.0,0.4146369116,medium,UC_inflamed,CD_inflamed,502294.5,6.627427941138494e-134,5079,271,1.885772561696739e-131
MRPS24,Myeloid,0.0,0.0,0.4146369116,medium,UC_inflamed,Healthy,11356122.5,1.359873579394254e-13,5079,4591,1.1398929889212752e-12
MRPS24,Myeloid,0.0,0.0,0.4146369116,medium,UC_inflamed,UC_non_inflamed,11433836.0,4.7391562297346136e-08,5079,4447,2.402471311022568e-07
HSPB1,Myeloid,0.0,0.0,0.71202053,high,UC_inflamed,Healthy,7316634.5,2.3027572253652078e-290,5079,4591,2.830985123244784e-287
